,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Lat,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Long,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,43.04,43.92,41.15,42.86,43.65,43.67,43.23,42.56,44.82,43.57,45.75,47.88,41.4,42.33,45.94,46.51,49.41,51.54,52.3,38.16,42.54,39.93,44.68,51.15,52.46,51.87,53.79,53.99,46.74,52.35,52.14,56.85,54.89,55.83,56.85,60.11,54.17,52.7,57.23,60.83,63.08,54,57.28,52.11,57.53,55.4,52.91,46.36,45.76,51.7,57.43,61.85,64.32,64.18,59.81
apparentTemperatureHighTime,1579690260,1579772940,1579859940,1579946100,1580032080,1580118540,1580204820,1580291340,1580377740,1580464140,1580552220,1580636940,1580723400,1580809860,1580896260,1580982660,1581068880,1581155280,1581241680,1581325800,1581407880,1581516540,1581580680,1581673680,1581760080,1581846600,1581929820,1582019220,1582105800,1582192320,1582285680,1582364880,1582444860,1582537620,1582625160,1582710480,1582787760,1582880700,1582973280,1583056260,1583144460,1583216400,1583315940,1583401500,1583488260,1583574660,1583660580,1583748180,1583833740,1583919900,1584006480,1584093000,1584179280,1584265560,1584349320
apparentTemperatureLow,22.91,33.26,24.14,17.43,20.65,10.35,11.01,15.24,19.67,17.74,18.64,31.75,11.78,15.94,17.42,20.36,24.79,26.99,30.99,35.62,38.41,33.06,22.54,26.91,22.54,26.77,30.2,24.3,21.2,29.83,34.25,35.28,36.63,33.1,39.01,44.48,40.03,33.8,36.29,36.38,42.52,38.12,37.44,28.91,33.22,23.49,36.88,38.4,23.72,29.95,32.82,34.9,40.83,47.19,46.57
apparentTemperatureLowTime,1579748040,1579812900,1579921140,1580006700,1580093880,1580179560,1580265600,1580351280,1580439240,1580521740,1580606400,1580676480,1580783340,1580867940,1580956380,1581039540,1581125820,1581213300,1581299760,1581345000,1581478200,1581562560,1581645120,1581733560,1581818100,1581904380,1581990900,1582080660,1582163400,1582238160,1582336320,1582423200,1582512660,1582598400,1582670820,1582768260,1582858740,1582944060,1583029320,1583115240,1583197440,1583289180,1583365500,1583461140,1583548680,1583624940,1583722500,1583798040,1583895120,1583978340,1584064740,1584148620,1584227700,1584323160,1584408420
apparentTemperatureMax,43.04,43.92,41.15,42.86,43.65,43.67,43.23,42.56,44.82,43.57,45.75,47.88,41.4,42.33,45.94,46.51,49.41,51.54,52.3,38.26,42.54,39.93,44.68,51.15,52.46,51.87,53.79,53.99,46.74,52.35,52.14,56.85,54.89,55.83,56.85,60.11,54.17,52.7,57.23,60.83,63.08,54,57.28,52.11,57.53,55.4,52.91,46.36,45.76,51.7,57.43,61.85,64.32,64.18,59.81
apparentTemperatureMaxTime,1579690260,1579772940,1579859940,1579946100,1580032080,1580118540,1580204820,1580291340,1580377740,1580464140,1580552220,1580636940,1580723400,1580809860,1580896260,1580982660,1581068880,1581155280,1581241680,1581359400,1581407880,1581516540,1581580680,1581673680,1581760080,1581846600,1581929820,1582019220,1582105800,1582192320,1582285680,1582364880,1582444860,1582537620,1582625160,1582710480,1582787760,1582880700,1582973280,1583056260,1583144460,1583216400,1583315940,1583401500,1583488260,1583574660,1583660580,1583748180,1583833740,1583919900,1584006480,1584093000,1584179280,1584265560,1584349320
apparentTemperatureMin,21.71,22.91,32.44,22.66,17.43,18.15,10.35,11.01,15.24,19.67,17.74,18.64,23.55,11.78,15.94,17.42,20.36,24.79,26.99,30.99,38.66,36.69,25.65,22.54,26.91,22.54,26.77,30.2,24.3,21.2,29.83,34.25,35.28,36.63,33.1,39.01,42.86,40.03,33.8,36.29,36.38,41.35,38.12,37.44,28.91,31.89,23.49,36.88,37.1,23.72,29.95,32.82,34.9,40.83,47.19
apparentTemperatureMinTime,1579661460,1579748040,1579890600,1579977000,1580006700,1580149800,1580179560,1580265600,1580351280,1580439240,1580521740,1580606400,1580754600,1580783340,1580867940,1580956380,1581039540,1581125820,1581213300,1581299760,1581444240,1581486600,1581618600,1581645120,1581733560,1581818100,1581904380,1581990900,1582080660,1582163400,1582238160,1582336320,1582423200,1582512660,1582598400,1582670820,1582828200,1582858740,1582944060,1583029320,1583115240,1583260200,1583289180,1583365500,1583461140,1583605800,1583624940,1583722500,1583865000,1583895120,1583978340,1584064740,1584148620,1584227700,1584323160
cloudCover,0.42,0.69,0.95,0.12,0.09,0.38,0,0,0.12,0.45,0,0.05,0.96,0.17,0.32,0,0,0,0.66,0.88,0.98,1,0.24,0.02,0.26,0.22,0.28,0.43,0.01,0.01,0.72,0.05,0.32,0.23,0.31,0.91,0.47,0.41,0,0,0,0.64,0.34,0.94,0.02,0,0.32,0.97,0.98,0.9,0.79,0.14,0.48,0.86,0.91
dewPoint,19.4,20.69,30.13,23.56,18.07,17.99,8.51,3.42,6.92,12.8,14.99,16.02,27.83,11.22,11.12,12.72,9.32,16.08,19.98,30.24,36.63,38.45,26.45,14.52,17.89,13.44,15.97,21.45,18,12.05,23.16,27.65,30.98,33.26,29.1,31.24,35.93,35.57,33.63,31.56,26.04,33.14,35.12,34.48,26.87,23.8,19.8,28.33,32.26,19.23,26.67,27.03,23.94,29.26,36.44
