,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria
Lat,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339,28.0339
Long,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596,1.6596
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,78.25,77.58,77.36,76.27,80.03,73.13,70.67,70.64,75.61,78.38,79.01,75.61,75.05,79.57,81.48,72.64,72.89,76.01,76.64,81.08,82.67,79.67,79.14,80.37,79.95,80.65,80.49,76.4,76.58,78.12,80.58,79.35,75.79,76.63,78.65,81.48,80.92,82.81,84.95,87.14,87.56,84.36,85.08,87.92,90.94,76.02,72.31,74.23,77.07,75.97,80.01,84.1,88.46,90.09,85.1
apparentTemperatureHighTime,1579700880,1579787820,1579873920,1579953900,1580046720,1580133600,1580219820,1580307000,1580392560,1580478840,1580565120,1580651760,1580737980,1580824860,1580910780,1580997240,1581084060,1581170580,1581256380,1581342900,1581430920,1581513840,1581602100,1581688200,1581774720,1581861240,1581947460,1582034280,1582122420,1582207140,1582293420,1582379520,1582466160,1582552860,1582638720,1582728420,1582811580,1582898100,1582984500,1583070600,1583157000,1583243940,1583330400,1583416800,1583502780,1583589660,1583676000,1583762460,1583848020,1583935380,1584021900,1584111120,1584195120,1584279420,1584367500
apparentTemperatureLow,50.15,53.1,54.47,57.95,50.4,50.14,39.36,37.4,42.48,45.99,52.22,50.55,51.82,52.07,50.75,40.77,40.4,43.69,52.98,52.24,62.75,57.33,57.83,57.35,58.38,54.27,53.13,42.42,52.43,54.42,56.07,53.59,41.28,51.26,48.36,50.52,52.63,53.58,55.42,57.37,58.89,56.02,56.62,61.11,60.63,44.39,39.13,44.08,50.64,52.74,54.31,57.17,60.42,60.96,57.4
apparentTemperatureLowTime,1579755240,1579841640,1579924440,1580010900,1580101200,1580190060,1580273820,1580360160,1580446140,1580533140,1580619240,1580705820,1580792100,1580878380,1580965320,1581051900,1581137640,1581224340,1581310500,1581396960,1581481620,1581570900,1581655920,1581742680,1581828960,1581915420,1582001700,1582087560,1582174500,1582261260,1582344300,1582434000,1582520340,1582606320,1582689720,1582779360,1582865760,1582952220,1583038500,1583124900,1583211540,1583297460,1583381340,1583467560,1583557440,1583643600,1583729820,1583816040,1583902620,1583988960,1584075720,1584161640,1584248100,1584335340,1584420840
apparentTemperatureMax,78.25,77.58,77.36,76.27,80.03,73.13,70.67,70.64,75.61,78.38,79.01,75.61,75.05,79.57,81.48,72.64,72.89,76.01,76.64,81.08,82.67,79.67,79.14,80.37,79.95,80.65,80.49,76.4,76.58,78.12,80.58,79.35,75.79,76.63,78.65,81.48,80.92,82.81,84.95,87.14,87.56,84.36,85.08,87.92,90.94,76.02,72.31,74.23,77.07,75.97,80.01,84.1,88.46,90.09,85.1
apparentTemperatureMaxTime,1579700880,1579787820,1579873920,1579953900,1580046720,1580133600,1580219820,1580307000,1580392560,1580478840,1580565120,1580651760,1580737980,1580824860,1580910780,1580997240,1581084060,1581170580,1581256380,1581342900,1581430920,1581513840,1581602100,1581688200,1581774720,1581861240,1581947460,1582034280,1582122420,1582207140,1582293420,1582379520,1582466160,1582552860,1582638720,1582728420,1582811580,1582898100,1582984500,1583070600,1583157000,1583243940,1583330400,1583416800,1583502780,1583589660,1583676000,1583762460,1583848020,1583935380,1584021900,1584111120,1584195120,1584279420,1584367500
