,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra
Lat,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063,42.5063
Long,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218,1.5218
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,41.63,42.69,47.1,43.12,45.81,47.4,50.4,53.44,54.15,55.69,56.96,62.31,61.77,50.77,53.01,53.58,54.5,53.64,52.43,63.45,57.87,52.65,56.17,60.84,61.77,62.06,58.8,54.84,58.27,61.62,62.5,65.69,69.26,68.65,57.81,44.91,53.95,59.49,56.47,51.18,39.43,38.12,53.6,51.1,38.01,40.57,58.17,42.99,62.41,70.5,65.82,59.68,60.83,60.01,43.97
apparentTemperatureHighTime,1579690620,1579784880,1579874160,1579958400,1580046540,1580133000,1580219160,1580304480,1580392380,1580476920,1580565000,1580649600,1580734620,1580810400,1580910420,1580995800,1581083160,1581168420,1581254460,1581342600,1581429840,1581515340,1581599640,1581688080,1581774240,1581860760,1581938160,1582033740,1582120440,1582204860,1582292760,1582378140,1582464000,1582550700,1582638840,1582714560,1582806540,1582897680,1582980000,1583070900,1583135280,1583254320,1583328180,1583405940,1583487780,1583589120,1583673540,1583761980,1583848440,1583933220,1584021180,1584104280,1584191640,1584280140,1584375720
apparentTemperatureLow,33.76,28.74,29.93,32.95,28.35,30.47,25.38,32.77,37.78,33.26,36.19,39.73,36.87,23.29,31.31,33.18,35.2,30.2,37.3,38.05,35.18,37.74,31.52,37.48,38.73,40.11,27.44,26.27,34.9,32.1,37.32,43.15,41.01,38.13,31.16,28.81,37.71,33.89,35.74,33.56,24.77,30.23,39.59,25.28,22.71,28.24,29.35,30.05,40.57,49.15,45.28,38.16,41.3,38.41,38.32
apparentTemperatureLowTime,1579762800,1579846200,1579921980,1579997400,1580104800,1580188140,1580268120,1580340060,1580440020,1580537040,1580620200,1580709960,1580782440,1580875380,1580966820,1581052980,1581141480,1581228240,1581309300,1581398220,1581487500,1581574020,1581659760,1581746100,1581831720,1581918420,1582005300,1582091700,1582154520,1582264140,1582348080,1582436820,1582523520,1582610820,1582694520,1582783020,1582869660,1582956300,1583044020,1583119200,1583214900,1583280540,1583366820,1583462040,1583559720,1583646660,1583734080,1583788740,1583905320,1583992260,1584079440,1584165600,1584252240,1584338280,1584424440
apparentTemperatureMax,41.63,42.69,47.1,43.12,45.81,47.4,50.4,53.44,54.15,55.69,56.96,62.31,61.77,50.77,53.01,53.58,54.5,53.64,52.43,63.45,57.87,52.65,56.17,60.84,61.77,62.06,58.8,54.84,58.27,61.62,62.5,65.69,69.26,68.65,57.81,44.91,53.95,59.49,56.47,51.18,39.43,38.12,53.6,51.1,38.01,40.57,58.17,42.99,62.41,70.5,65.82,59.68,60.83,60.01,43.97
apparentTemperatureMaxTime,1579690620,1579784880,1579874160,1579958400,1580046540,1580133000,1580219160,1580304480,1580392380,1580476920,1580565000,1580649600,1580734620,1580810400,1580910420,1580995800,1581083160,1581168420,1581254460,1581342600,1581429840,1581515340,1581599640,1581688080,1581774240,1581860760,1581938160,1582033740,1582120440,1582204860,1582292760,1582378140,1582464000,1582550700,1582638840,1582714560,1582806540,1582897680,1582980000,1583070900,1583135280,1583254320,1583328180,1583405940,1583487780,1583589120,1583673540,1583761980,1583848440,1583933220,1584021180,1584104280,1584191640,1584280140,1584375720
