,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Lat,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608,17.0608
Long,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964,-61.7964
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and partly cloudy throughout the day.,Humid throughout the day.,Possible drizzle in the morning.,Humid throughout the day.,Possible light rain in the morning and overnight.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,Possible light rain in the morning and overnight.,Possible light rain in the morning.,Possible light rain in the morning.,Possible drizzle in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible drizzle in the morning.,Clear throughout the day.
icon,partly-cloudy-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,clear-day,clear-day,rain,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,rain,rain,clear-day
sunriseTime,1579689660,1579776060,1579862460,1579948860,1580035260,1580121660,1580208060,1580294460,1580380800,1580467200,1580553600,1580640000,1580726400,1580812740,1580899140,1580985540,1581071880,1581158280,1581244680,1581331020,1581417420,1581503760,1581590160,1581676500,1581762900,1581849300,1581935640,1582022040,1582108380,1582194720,1582281120,1582367460,1582453860,1582540200,1582626540,1582712940,1582799280,1582885680,1582972020,1583058360,1583144760,1583231100,1583317440,1583403780,1583490180,1583576520,1583662860,1583749260,1583835600,1583921940,1584008280,1584094620,1584181020,1584267360,1584353700
sunsetTime,1579730280,1579816740,1579903140,1579989600,1580076060,1580162460,1580248920,1580335320,1580421780,1580508180,1580594640,1580681040,1580767500,1580853900,1580940360,1581026760,1581113220,1581199620,1581286080,1581372480,1581458940,1581545340,1581631800,1581718200,1581804600,1581891060,1581977460,1582063920,1582150320,1582236720,1582323180,1582409580,1582495980,1582582440,1582668840,1582755240,1582841700,1582928100,1583014500,1583100900,1583187360,1583273760,1583360160,1583446560,1583533020,1583619420,1583705820,1583792220,1583878680,1583965080,1584051480,1584137880,1584224280,1584310740,1584397140
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
