,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
Lat,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161,-38.4161
Long,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167,-63.6167
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,98.37,100,91.11,90.45,85.53,87.97,92.49,82.9,94.01,95.92,102.38,93.85,95.69,78.66,84.72,79.14,83.62,80.67,80.71,86.7,89.28,95.85,78.91,88.81,95.08,92.49,79.51,86.37,77.29,75.45,76.04,83.92,91.11,81,80.51,91.28,94.53,93.57,95.13,102.51,99.05,99.09,97.66,93.81,95.6,92.97,86.09,86.4,86.59,85.66,90.93,91.41,78.26,80.68,84.26
apparentTemperatureHighTime,1579723140,1579809660,1579896000,1579982220,1580068500,1580155500,1580232060,1580327940,1580414400,1580500740,1580586840,1580674020,1580746440,1580850000,1580930460,1581018960,1581105420,1581189000,1581278340,1581364680,1581450780,1581537240,1581622800,1581710220,1581796800,1581883020,1581969300,1582055820,1582131660,1582217940,1582315140,1582401600,1582487760,1582574160,1582659900,1582746960,1582832160,1582919760,1583006280,1583092620,1583178240,1583265180,1583351040,1583437140,1583524620,1583610660,1583697120,1583783520,1583868840,1583957940,1584042900,1584118620,1584215640,1584302040,1584386880
apparentTemperatureLow,72.83,70.13,68.81,67.12,51.37,69.33,56.65,56.08,69.74,66.71,69.19,68.53,69.09,59.18,66.93,60.21,63.01,52.42,53.89,62.02,69.35,63.84,56.79,63.66,63.62,65.78,52.25,66.11,46.25,44.79,44.73,56.73,65.46,52.7,52.45,58.38,59.51,59.99,65.06,74.68,75.77,70.01,71.75,66.2,74.64,62.51,54.57,58.82,64.85,62.36,71.13,58.43,50.77,53.52,67.3
apparentTemperatureLowTime,1579766880,1579853280,1579939140,1580021520,1580112120,1580198280,1580286300,1580370480,1580457960,1580543820,1580631180,1580719680,1580803260,1580889360,1580983980,1581062940,1581148860,1581236340,1581321540,1581408600,1581494520,1581579300,1581667440,1581753840,1581840180,1581927000,1582013520,1582099560,1582187940,1582272960,1582358400,1582444740,1582534800,1582617840,1582703880,1582789680,1582877220,1582963620,1583050080,1583136600,1583222760,1583309340,1583395620,1583478900,1583574960,1583654820,1583740800,1583828040,1583913180,1584000600,1584086760,1584176880,1584260280,1584346440,1584442560
apparentTemperatureMax,98.37,100,91.11,90.45,85.53,87.97,92.49,82.9,94.01,95.92,102.38,93.85,95.69,78.66,84.72,79.14,83.62,80.67,80.71,86.7,89.28,95.85,78.91,88.81,95.08,92.49,79.51,86.37,77.29,75.45,76.04,83.92,91.11,81,80.51,91.28,94.53,93.57,95.13,102.51,99.05,99.09,97.66,93.81,95.6,92.97,86.09,86.4,86.59,85.66,90.93,91.41,78.26,80.68,84.26
apparentTemperatureMaxTime,1579723140,1579809660,1579896000,1579982220,1580068500,1580155500,1580232060,1580327940,1580414400,1580500740,1580586840,1580674020,1580746440,1580850000,1580930460,1581018960,1581105420,1581189000,1581278340,1581364680,1581450780,1581537240,1581622800,1581710220,1581796800,1581883020,1581969300,1582055820,1582131660,1582217940,1582315140,1582401600,1582487760,1582574160,1582659900,1582746960,1582832160,1582919760,1583006280,1583092620,1583178240,1583265180,1583351040,1583437140,1583524620,1583610660,1583697120,1583783520,1583868840,1583957940,1584042900,1584118620,1584215640,1584302040,1584386880
apparentTemperatureMin,64.22,72.83,70.13,68.81,65.66,51.37,69.33,56.65,56.08,69.74,66.71,69.19,68.53,66.77,59.18,66.93,60.21,63.01,52.42,53.89,62.02,69.35,63.84,56.79,63.66,63.62,64.52,52.25,59.84,46.25,44.79,44.73,56.73,61.54,52.7,52.45,58.38,59.51,59.99,65.06,74.68,75.77,70.01,71.75,66.2,71.88,62.51,54.57,58.82,64.85,62.36,71.13,58.43,50.77,53.52
apparentTemperatureMinTime,1579680660,1579766880,1579853280,1579939140,1580090400,1580112120,1580198280,1580286300,1580370480,1580457960,1580543820,1580631180,1580719680,1580826960,1580889360,1580983980,1581062940,1581148860,1581236340,1581321540,1581408600,1581494520,1581579300,1581667440,1581753840,1581840180,1581991200,1582013520,1582164000,1582187940,1582272960,1582358400,1582444740,1582596000,1582617840,1582703880,1582789680,1582877220,1582963620,1583050080,1583136600,1583222760,1583309340,1583395620,1583478900,1583632800,1583654820,1583740800,1583828040,1583913180,1584000600,1584086760,1584176880,1584260280,1584346440
cloudCover,0.03,0.09,0.11,0.25,0.53,0.08,0.58,0.53,0.06,0.08,0.12,0.17,0.33,0.84,0.58,0.76,0.04,0.54,0,0.24,0,0.05,0.67,0,0,0.05,0.44,0,0.02,0,0,0,0.01,0.39,0.23,0.14,0.2,0.24,0,0.06,0.17,0.05,0.01,0.59,0.68,0.83,0.56,0.53,0.65,0.45,0.45,0.49,0.34,0.06,0.09
dewPoint,46.67,54.38,41.26,30.64,32.13,28.28,41.35,35.18,23.97,33.12,45.61,36.67,57.47,63.44,49.16,64.83,55.21,56.14,44.44,38.96,36.31,47.74,60.16,37.45,23.78,28.79,49.66,29.27,23.03,21.91,37.89,35.7,42.57,33.7,31.36,30.49,27.2,38.26,46.19,43.95,38.88,41.6,35.84,44.26,54.13,47.09,21.02,35.76,46.68,61.83,56.81,62.35,25.82,38.59,43.48
humidity,0.4,0.36,0.32,0.19,0.23,0.33,0.27,0.39,0.26,0.21,0.33,0.25,0.47,0.8,0.51,0.79,0.62,0.63,0.54,0.39,0.3,0.34,0.73,0.45,0.15,0.18,0.48,0.35,0.18,0.29,0.49,0.45,0.35,0.31,0.32,0.34,0.21,0.35,0.38,0.34,0.22,0.24,0.22,0.28,0.45,0.35,0.15,0.39,0.42,0.7,0.6,0.59,0.22,0.48,0.42
icon,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,wind,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain,rain,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,wind,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day
