,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia
Lat,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691,40.0691
Long,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382,45.0382
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,16.37,13.85,4.34,12.18,18.31,24.85,22.12,21.16,16.49,18.73,18.61,15.47,18.69,12.08,17.81,24.09,17.99,13.14,4.33,-3.35,2.29,2.72,7.64,4.5,18.58,26.24,14.68,23.49,28.52,30.02,24.26,27.61,24.81,23.73,20.28,27.49,33.98,29.28,31.2,32.68,29.98,34.72,39.36,39.16,41.06,36.5,40.34,41.48,38.93,39.57,37.29,38.98,32.21,36.02,30.16
apparentTemperatureHighTime,1579689600,1579775820,1579841040,1579946280,1580032200,1580118780,1580205300,1580291160,1580377980,1580464560,1580535600,1580637360,1580723460,1580810100,1580898780,1580982720,1581070020,1581155700,1581224700,1581331560,1581403920,1581501060,1581587820,1581674160,1581760620,1581846840,1581930180,1582019820,1582106220,1582192440,1582279020,1582365060,1582451700,1582537920,1582616700,1582711020,1582797480,1582886520,1582973640,1583056860,1583146080,1583229780,1583319000,1583402220,1583488440,1583574540,1583661240,1583747700,1583834340,1583920560,1584007020,1584093660,1584182880,1584266220,1584368220
apparentTemperatureLow,1.68,2.5,-6.72,1.62,4.28,6.39,9.47,5.68,8.3,12.39,-0.47,4.28,3.93,6.68,13.09,13.27,9.39,-4.19,-18.83,-16.52,-14.54,-3.24,-3.79,-6,8.81,5.39,7.63,12.63,17.05,15.8,13.77,15.63,13.54,12.22,1.61,10.84,17.17,15.66,19.18,10.91,17.5,16.62,20.63,23.76,20.06,21.68,21.06,21.79,23.67,22.95,27.72,26.55,27.68,22.64,22.79
apparentTemperatureLowTime,1579749180,1579833300,1579891140,1579976040,1580072580,1580159520,1580266380,1580332620,1580408400,1580495100,1580612820,1580666760,1580774580,1580859000,1580926080,1581016320,1581134400,1581218340,1581304020,1581361440,1581455580,1581540840,1581650160,1581713760,1581793200,1581909420,1581968040,1582050960,1582167300,1582257600,1582310880,1582394880,1582513920,1582598160,1582683060,1582761180,1582858800,1582934280,1583032260,1583118240,1583181960,1583290020,1583376360,1583448960,1583550060,1583607600,1583722320,1583808960,1583895180,1583981940,1584047640,1584147240,1584198000,1584328260,1584390000
apparentTemperatureMax,16.37,13.85,11.67,12.18,18.31,24.85,22.12,21.16,16.49,18.73,20.5,15.47,18.69,12.08,17.81,24.09,18.01,16.06,5.31,-3.35,2.29,2.72,11.18,4.5,18.58,26.24,14.68,23.49,28.52,30.02,24.26,27.61,24.81,23.73,20.28,27.49,33.98,29.28,31.2,32.68,29.98,34.72,39.36,39.16,41.06,36.5,40.34,41.48,38.93,39.57,37.29,38.98,32.21,36.02,30.16
apparentTemperatureMaxTime,1579689600,1579775820,1579810740,1579946280,1580032200,1580118780,1580205300,1580291160,1580377980,1580464560,1580519580,1580637360,1580723460,1580810100,1580898780,1580982720,1581034380,1581105600,1581192000,1581331560,1581403920,1581501060,1581609540,1581674160,1581760620,1581846840,1581930180,1582019820,1582106220,1582192440,1582279020,1582365060,1582451700,1582537920,1582616700,1582711020,1582797480,1582886520,1582973640,1583056860,1583146080,1583229780,1583319000,1583402220,1583488440,1583574540,1583661240,1583747700,1583834340,1583920560,1584007020,1584093660,1584182880,1584266220,1584368220
