,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735,-35.4735
Long,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124,149.0124
Province/State,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory
apparentTemperatureHigh,84.02,83.15,81.29,84.59,87.68,90.06,89.65,88.73,94.97,101.57,100.69,91.35,80.78,76.57,82.44,74.37,71.69,69.88,59.93,77.79,79.76,82.34,77.14,79.57,79.55,75.49,74.8,84.76,67.99,72.93,75.36,72.13,77.34,82.11,80.88,78.1,78.07,77.6,79.19,82.62,83.02,70.73,63.09,62.81,74.79,70.44,62.63,66.99,68.09,72.1,73.02,74.55,61.72,66.95,67.81
apparentTemperatureHighTime,1579670580,1579739820,1579841220,1579924860,1580011080,1580100600,1580184000,1580273400,1580360040,1580446020,1580532300,1580608320,1580704260,1580791440,1580878080,1580955120,1581038640,1581127080,1581206460,1581306540,1581396120,1581478980,1581558060,1581646680,1581726060,1581825060,1581914880,1582000500,1582084620,1582173840,1582260360,1582344000,1582429740,1582509720,1582596120,1582682760,1582777800,1582863720,1582950420,1583036820,1583113380,1583201460,1583308800,1583389020,1583459940,1583553600,1583632380,1583726100,1583805720,1583899200,1583987100,1584071520,1584161820,1584247500,1584324240
apparentTemperatureLow,63.15,58.32,55.96,59.77,56.03,60.95,58.43,57.02,64.88,74.6,75.02,54.22,39.53,48.78,58.54,60.16,59.11,57.89,58.95,62.05,61.26,64.59,61.78,61.76,60.93,58.84,60.06,53.81,46.96,54.66,53.11,56.89,55.82,56.68,61.83,52.13,44.12,54.41,53.82,61.52,53.89,56.69,61.73,59.65,54.63,52.86,51.4,47.48,50.25,49.13,48.89,41.01,35.84,41.54,44.65
apparentTemperatureLowTime,1579711500,1579805160,1579885620,1579972980,1580061060,1580142420,1580233200,1580317440,1580403900,1580490540,1580577120,1580666400,1580754660,1580838900,1580925780,1581002760,1581088200,1581195600,1581235200,1581362880,1581445020,1581531180,1581623820,1581703200,1581797520,1581882900,1581959880,1582049160,1582138380,1582212000,1582315020,1582401420,1582483200,1582568040,1582650180,1582746180,1582829700,1582920000,1582996680,1583091840,1583171940,1583269200,1583351880,1583437800,1583525820,1583613480,1583700000,1583782320,1583869800,1583954700,1584042180,1584133200,1584215640,1584287220,1584378960
apparentTemperatureMax,84.02,83.15,81.29,84.59,87.68,90.06,89.65,88.73,94.97,101.57,100.69,91.35,80.78,76.57,82.44,74.37,71.69,69.88,61.14,77.79,79.76,82.34,77.14,79.57,79.55,75.49,74.8,84.76,67.99,72.93,75.36,72.13,77.34,82.11,80.88,78.1,78.07,77.6,79.19,82.62,83.02,70.73,63.58,63.04,74.79,70.44,62.63,66.99,68.09,72.1,73.02,74.55,61.72,66.95,67.81
apparentTemperatureMaxTime,1579670580,1579739820,1579841220,1579924860,1580011080,1580100600,1580184000,1580273400,1580360040,1580446020,1580532300,1580608320,1580704260,1580791440,1580878080,1580955120,1581038640,1581127080,1581166800,1581306540,1581396120,1581478980,1581558060,1581646680,1581726060,1581825060,1581914880,1582000500,1582084620,1582173840,1582260360,1582344000,1582429740,1582509720,1582596120,1582682760,1582777800,1582863720,1582950420,1583036820,1583113380,1583201460,1583315940,1583326800,1583459940,1583553600,1583632380,1583726100,1583805720,1583899200,1583987100,1584071520,1584161820,1584247500,1584324240
