,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437,35.4437
Long,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638,139.638
Province/State,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess,From Diamond Princess
apparentTemperatureHigh,47.2,45.91,56.67,51.01,43.81,43.55,44.12,61.95,60.47,52.05,54.6,54.83,59.73,53.26,58.68,34.69,41.49,53.91,39.74,48.67,52.25,60.81,62.54,59.61,61.63,53.13,61.39,53.38,54.35,56.26,57.19,62.36,59.79,58.65,59.96,51.12,51.63,50.7,56.47,61.78,43.1,59.79,53.43,54.78,56.46,53.92,50.44,63.69,61.14,65.51,58.61,64.71,42.9,51.37,55.72
apparentTemperatureHighTime,1579679880,1579755120,1579841640,1579927380,1580021880,1580100600,1580205600,1580274000,1580360460,1580445840,1580532960,1580619240,1580706360,1580792280,1580878860,1580960520,1581059580,1581138180,1581232560,1581318960,1581398220,1581484620,1581578520,1581651840,1581740880,1581847200,1581912480,1582002060,1582088280,1582174620,1582265280,1582350060,1582433340,1582520640,1582606560,1582692960,1582779000,1582866900,1582953360,1583038260,1583143200,1583211600,1583308860,1583379900,1583467500,1583560560,1583659260,1583736720,1583823960,1583901600,1583988720,1584082140,1584143160,1584258720,1584329640
apparentTemperatureLow,36.83,40.56,39.22,32.77,33.75,28.96,41.48,47.58,39.25,35.79,36.81,38.07,37.33,35.98,26.5,23.12,31.18,25.93,26.64,30.96,32.77,52.3,46.52,42.17,45.83,50.09,32.23,30.33,34.19,39.84,46.91,43.84,35.82,38.18,41.95,35.64,29.51,37.32,40.39,41.25,38.94,44.32,43.14,32.56,37.4,38.64,41.59,54.36,55.7,38.82,47.07,42.5,33.43,34.3,31.01
apparentTemperatureLowTime,1579723500,1579791300,1579904220,1579988220,1580068920,1580151420,1580217600,1580328060,1580423400,1580489700,1580587200,1580678460,1580760900,1580846280,1580939220,1581018900,1581091740,1581198480,1581276540,1581365100,1581454440,1581548400,1581623880,1581710040,1581790920,1581858840,1581965700,1582055940,1582142040,1582229160,1582315200,1582401300,1582487460,1582574280,1582668120,1582739880,1582833240,1582921320,1583006460,1583100600,1583178660,1583272380,1583338680,1583437740,1583531760,1583608920,1583679840,1583783100,1583875680,1583956860,1584044220,1584134520,1584180000,1584301860,1584388560
apparentTemperatureMax,47.2,45.91,56.67,51.01,43.81,43.55,52.4,61.95,60.47,52.05,54.6,54.83,59.73,53.26,58.68,34.69,41.52,53.91,39.74,48.67,52.25,60.81,62.54,59.61,61.63,54.27,61.39,53.38,54.35,56.26,57.19,62.36,59.79,58.65,59.96,51.12,51.63,50.7,56.47,61.78,53.57,59.79,53.44,54.78,56.46,53.92,50.85,63.69,63.07,65.51,58.61,64.71,52.47,51.37,55.72
apparentTemperatureMaxTime,1579679880,1579755120,1579841640,1579927380,1580021880,1580100600,1580211600,1580274000,1580360460,1580445840,1580532960,1580619240,1580706360,1580792280,1580878860,1580960520,1581076320,1581138180,1581232560,1581318960,1581398220,1581484620,1581578520,1581651840,1581740880,1581853320,1581912480,1582002060,1582088280,1582174620,1582265280,1582350060,1582433340,1582520640,1582606560,1582692960,1582779000,1582866900,1582953360,1583038260,1583074800,1583211600,1583321940,1583379900,1583467500,1583560560,1583667660,1583736720,1583848800,1583901600,1583988720,1584082140,1584111600,1584258720,1584329640
