,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688,-33.8688
Long,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093,151.2093
Province/State,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales,New South Wales
apparentTemperatureHigh,88.34,101.18,84.64,87.45,99.9,88.14,93.13,82.47,87.34,95.69,104.81,92.08,89.04,71.84,77.37,77.28,71.35,73.17,72.94,83.48,87.26,78.97,80.06,78.47,79.89,78.26,77.79,89.35,81.14,73.29,75.82,74.55,78.11,81.82,83.73,91.47,76.53,76.38,78.64,85.96,92.66,74.11,77.41,77.79,80.15,74.25,72.58,71.97,73.46,75.56,75.41,75.85,65.82,68.98,70.42
apparentTemperatureHighTime,1579666020,1579753200,1579841100,1579916760,1580001840,1580099580,1580175600,1580269380,1580348280,1580435160,1580521140,1580608920,1580699820,1580781900,1580874780,1580960520,1581047040,1581123660,1581224760,1581299220,1581386400,1581469680,1581556620,1581645180,1581730500,1581816060,1581903900,1582001580,1582077900,1582163580,1582248840,1582347120,1582421040,1582519140,1582593900,1582682340,1582779360,1582853880,1582941900,1583028060,1583115180,1583200080,1583297580,1583365920,1583454360,1583555280,1583638260,1583721180,1583814600,1583898180,1583978580,1584065580,1584133020,1584247920,1584334080
apparentTemperatureLow,71.92,76.43,73.82,74.39,73.71,74.92,73.45,69.6,74.09,76.59,77.94,75.39,63.78,65.67,69.69,69,69.42,69.74,71.67,71.67,72.83,72.68,70.38,65.02,70.53,70.02,71.72,68.82,65.35,66.33,65.99,67.92,67.21,70.01,73.84,66.65,63.8,67.37,68.42,68.26,69.16,68.68,72.95,71.32,67.51,64.76,63.33,63.14,61.42,64.16,59.84,63.54,60.17,62.91,62.08
apparentTemperatureLowTime,1579713180,1579808940,1579886040,1579964580,1580062020,1580145060,1580232120,1580318160,1580403300,1580489820,1580588460,1580662320,1580755620,1580835300,1580921700,1581022800,1581094800,1581191700,1581277860,1581363180,1581443880,1581526500,1581613500,1581700680,1581786420,1581872760,1581958980,1582056540,1582138740,1582218060,1582303680,1582390920,1582483980,1582567560,1582659240,1582739160,1582833540,1582912500,1582998960,1583091600,1583165160,1583241780,1583332260,1583437800,1583523180,1583608080,1583687820,1583776560,1583863620,1583950200,1584042300,1584120840,1584215280,1584284640,1584382320
apparentTemperatureMax,88.34,101.18,91.11,87.45,99.9,88.14,93.13,82.47,87.34,95.69,104.81,92.45,89.04,71.84,77.37,77.28,71.35,73.17,73.01,83.48,87.26,78.97,80.06,78.47,79.89,78.26,77.79,89.35,81.14,73.29,75.82,74.55,78.11,81.82,83.73,91.47,76.53,76.38,78.64,85.96,92.66,74.11,77.41,77.79,80.15,74.25,72.58,71.97,73.46,75.56,75.41,75.85,67.38,68.98,70.42
apparentTemperatureMaxTime,1579666020,1579753200,1579784400,1579916760,1580001840,1580099580,1580175600,1580269380,1580348280,1580435160,1580521140,1580562000,1580699820,1580781900,1580874780,1580960520,1581047040,1581123660,1581247080,1581299220,1581386400,1581469680,1581556620,1581645180,1581730500,1581816060,1581903900,1582001580,1582077900,1582163580,1582248840,1582347120,1582421040,1582519140,1582593900,1582682340,1582779360,1582853880,1582941900,1583028060,1583115180,1583200080,1583297580,1583365920,1583454360,1583555280,1583638260,1583721180,1583814600,1583898180,1583978580,1584065580,1584104400,1584247920,1584334080
