,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167,-28.0167
Long,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4,153.4
apparentTemperatureLow,81.61,81.11,79.06,77.25,76.15,75.38,75.82,77.08,78.24,76.76,75.31,76.97,77.65,72.85,72.79,73.88,74.83,75.8,75.73,76.53,76.17,75.19,74.89,75.19,76.92,76.82,76.54,79.99,77.81,74.73,74.72,73.63,74.04,73.65,73.29,75.76,72.81,74.73,72.96,72.14,74.23,75.98,76.66,78.87,75.52,73.6,73,68.76,70.06,69.8,69.16,67.59,67.61,67.9,67.14
precipIntensity,0.0001,0.0016,0.004,0.006,0.0019,0.0018,0.0026,0.0002,0.0002,0.0002,0.0002,0.0001,0.0024,0.0168,0.005,0.0738,0.0513,0.0334,0.0759,0.0156,0.0187,0.0735,0.0846,0.0037,0.0042,0.0012,0.0005,0.0003,0.0027,0.0017,0.0038,0.003,0.0022,0.0144,0.0088,0.0098,0.0098,0.0052,0.0019,0.0001,0.0001,0.0018,0.0106,0.0026,0.0149,0.0017,0.0009,0.0461,0.032,0.0018,0.0129,0.004,0.0011,0.0041,0.0006
temperatureHighTime,1579661280,1579744680,1579831260,1579914840,1580003700,1580088420,1580183400,1580262300,1580346780,1580436000,1580521260,1580609220,1580701020,1580772420,1580867280,1580965500,1581052440,1581127200,1581223560,1581297840,1581383040,1581469980,1581569040,1581642900,1581732240,1581815700,1581903240,1581990840,1582086480,1582163640,1582247220,1582342560,1582423380,1582516200,1582592880,1582679220,1582767420,1582852740,1582939920,1583026800,1583114820,1583200440,1583286480,1583373720,1583459460,1583543400,1583632620,1583711400,1583805540,1583891700,1583973180,1584063840,1584151980,1584237060,1584324060
temperatureMax,91.33,87.58,89.55,85.07,84.21,85.64,85.12,89.7,86.11,86.55,88.23,89.5,92.52,79.14,78.59,75.17,79.26,82.01,81.09,84.62,83.31,81.64,80.07,85.34,87.55,87.91,87.12,87.81,90.35,86.41,82.7,81.97,81.09,79.88,82.25,84.19,85.07,85.38,83.25,85.94,89.17,87.36,82.77,84.65,86.69,85.19,82.01,73.7,76.81,80.12,77.71,80.24,80.47,79.38,78.7
windSpeed,8.99,11.29,10.24,7.59,7.2,7.22,6.13,7.72,5.37,6.4,7.37,10.26,10.64,16.48,14.67,9.34,5.98,7.67,7.24,5.78,5.91,6.73,8.22,6.75,6.01,6.21,6.9,5.64,10.69,9.87,7.63,13.05,12.19,8.5,9.22,5.12,5.62,6.2,11.07,6.73,6.51,7.77,9.5,9.51,7.52,13.75,15.17,15.24,14.89,17.15,17.34,13.68,14.12,19.25,18.83
apparentTemperatureMin,77.47,81.61,80.35,78.83,77.25,76.15,75.38,75.82,77.08,78.24,76.76,75.31,76.97,73.6,72.85,72.79,74.12,74.83,75.8,75.73,76.53,76.17,75.19,74.89,75.19,76.92,76.82,76.54,79.99,76.91,74.73,74.17,73.63,74.05,73.65,73.29,75.63,72.81,74.73,72.96,72.14,74.23,75.98,76.66,78.2,74.86,73.6,69.37,68.76,69.96,69.6,69.16,67.59,67.61,67.9
