,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285,-34.9285
Long,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007,138.6007
Province/State,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia,South Australia
apparentTemperatureHigh,74.36,66.58,73.34,76.3,76.43,77.41,82.74,94.76,102.97,100.01,73.15,73.76,70.83,75.02,78.8,82.79,84.87,87.73,84.9,84.26,81.93,76.99,85.45,75.59,75.85,75.52,80.34,71.14,70.87,71.83,74.54,77.22,85.21,86.63,77.98,71.04,69,73.69,78.21,81.4,70.43,68.3,74.51,71.24,71.94,75.06,75.89,76.75,81.77,86.47,86.41,71.91,69.47,73.27,80.62
apparentTemperatureHighTime,1579652100,1579754640,1579841940,1579928040,1580011680,1580100420,1580183940,1580273940,1580360160,1580446140,1580502600,1580619000,1580705220,1580792160,1580878140,1580961480,1581048420,1581137460,1581222480,1581309840,1581392520,1581483300,1581565500,1581646740,1581741960,1581828660,1581914520,1581991320,1582087740,1582174320,1582260540,1582344240,1582433700,1582517580,1582605180,1582689240,1582779000,1582864680,1582952100,1583026260,1583125020,1583208060,1583296560,1583380140,1583471280,1583556660,1583642340,1583728860,1583815980,1583902260,1583989380,1584064860,1584161100,1584248460,1584334320
apparentTemperatureLow,60.67,59.66,61.7,60.83,57.61,56.56,64.87,77.5,85.84,71.99,60.94,60.86,52.26,56.27,59.64,66.56,70.89,72.06,68.47,64.15,63.22,65.29,65.71,62.81,59.14,56.18,62.78,59.31,53.89,55.68,55.27,58.29,66.51,61.65,62.14,52.43,58.64,54.89,64.76,58.5,52.74,58.94,56.75,57.57,55.91,55.7,57.55,60.38,65.12,72.95,66.09,51.05,51.15,56.6,68.27
apparentTemperatureLowTime,1579726560,1579795860,1579894380,1579978680,1580068020,1580154000,1580240400,1580326860,1580405940,1580506200,1580578500,1580666700,1580759760,1580846280,1580932320,1581017520,1581105600,1581191640,1581278280,1581364140,1581435060,1581537300,1581623220,1581709980,1581796620,1581882480,1581967500,1582048980,1582142100,1582228620,1582315260,1582400400,1582486860,1582574220,1582660140,1582746780,1582818240,1582919700,1582991400,1583093580,1583179020,1583265300,1583350200,1583423700,1583525400,1583611560,1583697720,1583783700,1583869320,1583956560,1584047100,1584129180,1584216300,1584302040,1584387900
apparentTemperatureMax,74.36,66.58,73.34,76.3,76.43,77.41,82.74,94.76,102.97,100.01,79.67,73.76,70.83,75.02,78.8,82.79,84.87,87.73,84.9,84.26,81.93,76.99,85.45,75.59,75.85,75.52,80.34,71.14,70.87,71.83,74.54,77.22,85.21,86.63,77.98,71.04,69,73.69,78.21,81.4,70.43,68.3,74.51,71.24,71.94,75.06,75.89,76.75,81.77,86.47,86.41,78.41,69.47,73.27,80.62
apparentTemperatureMaxTime,1579652100,1579754640,1579841940,1579928040,1580011680,1580100420,1580183940,1580273940,1580360160,1580446140,1580477400,1580619000,1580705220,1580792160,1580878140,1580961480,1581048420,1581137460,1581222480,1581309840,1581392520,1581483300,1581565500,1581646740,1581741960,1581828660,1581914520,1581991320,1582087740,1582174320,1582260540,1582344240,1582433700,1582517580,1582605180,1582689240,1582779000,1582864680,1582952100,1583026260,1583125020,1583208060,1583296560,1583380140,1583471280,1583556660,1583642340,1583728860,1583815980,1583902260,1583989380,1584020280,1584161100,1584248460,1584334320
