,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136,-37.8136
Long,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631,144.9631
Province/State,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria
apparentTemperatureHigh,87.57,69.62,73.45,79.94,76.25,73.99,76.82,83.95,100,105.56,95.03,74.07,63.18,69.38,70.76,80.86,79.11,84.25,81.68,76.68,81.61,81.96,88.64,91.86,70.63,77.6,82.3,70.76,65.49,65.45,67.41,72.98,86.46,78.88,87.28,65.13,69.88,70.07,74.81,88.05,64.55,69.39,76.42,67.83,65.76,69.04,70.56,70.49,73.88,83.29,84.21,82.69,62.84,68.34,79.03
apparentTemperatureHighTime,1579665960,1579755060,1579842480,1579924740,1580004300,1580099940,1580184840,1580276880,1580360220,1580443560,1580514780,1580615940,1580700000,1580791500,1580877960,1580961540,1581047400,1581136560,1581214260,1581315060,1581393600,1581483600,1581569640,1581644340,1581724560,1581828780,1581914040,1581986580,1582087860,1582174320,1582260660,1582343640,1582431660,1582520040,1582596480,1582688520,1582779240,1582865460,1582951380,1583038740,1583114700,1583209860,1583297760,1583380380,1583467140,1583557620,1583642940,1583727300,1583814120,1583899800,1583986380,1584065880,1584155640,1584247920,1584334320
apparentTemperatureLow,58.67,54.99,59.28,60.81,56.91,57.35,60.36,63.77,72.34,75.53,58.38,58.12,54.46,52.62,54.7,63.77,65.39,66.3,65.95,66.61,65.71,67.87,70.32,67.58,63.33,59.77,63.6,57.07,55.75,54.49,52.7,54.93,62.52,65.03,60.41,51.43,57.77,56.04,57.14,59,56.27,53.84,63.56,60.36,58.39,55.76,52.99,50.99,55.3,64.85,67.92,54.48,53.3,47.19,56.62
apparentTemperatureLowTime,1579721100,1579799220,1579893060,1579978440,1580065980,1580145060,1580239380,1580318340,1580403660,1580489760,1580587080,1580672760,1580749200,1580844660,1580930580,1581017880,1581096120,1581191340,1581267120,1581354780,1581449040,1581535140,1581614160,1581709860,1581774180,1581882540,1581959700,1582048800,1582140120,1582223280,1582314300,1582401000,1582487760,1582559520,1582664400,1582746480,1582825920,1582919880,1583005860,1583093160,1583178300,1583264820,1583341140,1583438520,1583523960,1583610600,1583697000,1583783520,1583869800,1583956140,1584042840,1584123180,1584215880,1584302400,1584379020
apparentTemperatureMax,87.57,69.62,73.45,79.94,76.25,73.99,76.82,83.95,100,105.56,95.03,74.07,63.18,69.38,70.76,80.86,79.11,84.25,81.68,76.68,81.61,81.96,88.64,91.86,72.78,77.6,82.3,70.76,65.49,65.45,67.41,72.98,86.46,78.88,87.28,65.13,69.88,70.07,74.81,88.05,68.84,69.39,76.42,67.83,65.76,69.04,70.56,70.49,73.88,83.29,84.21,82.69,62.84,68.34,79.03
apparentTemperatureMaxTime,1579665960,1579755060,1579842480,1579924740,1580004300,1580099940,1580184840,1580276880,1580360220,1580443560,1580514780,1580615940,1580700000,1580791500,1580877960,1580961540,1581047400,1581136560,1581214260,1581315060,1581393600,1581483600,1581569640,1581644340,1581685200,1581828780,1581914040,1581986580,1582087860,1582174320,1582260660,1582343640,1582431660,1582520040,1582596480,1582688520,1582779240,1582865460,1582951380,1583038740,1583067600,1583209860,1583297760,1583380380,1583467140,1583557620,1583642940,1583727300,1583814120,1583899800,1583986380,1584065880,1584155640,1584247920,1584334320
