,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505,-31.9505
Long,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605,115.8605
Province/State,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia
apparentTemperatureHigh,75.27,82.07,85.09,88.06,90.53,96.31,89.57,81.98,72.46,73.18,79.74,91.74,97.67,101.68,94.65,87.62,82.75,83.27,79.54,88.32,92.42,90.33,92.52,99.42,81.94,77.91,86.7,89.82,93.68,91.2,86.32,86.81,90.19,91.77,96.91,90.08,86.86,90.24,79.74,83.66,84.03,88.25,89.3,86.2,77.15,77.48,86.63,90.04,90.48,90.5,85.27,88.72,84.94,82.84,77.31
apparentTemperatureHighTime,1579672560,1579754820,1579840560,1579925100,1580021280,1580100900,1580182560,1580272320,1580359800,1580446740,1580541060,1580628960,1580715660,1580798460,1580878560,1580964300,1581052620,1581132420,1581224700,1581321240,1581404760,1581484140,1581568860,1581655560,1581737640,1581829080,1581925860,1582011600,1582088460,1582174920,1582257660,1582355820,1582434180,1582520160,1582606860,1582699800,1582795020,1582868640,1582951200,1583039340,1583135160,1583219820,1583298000,1583382300,1583470860,1583556540,1583642760,1583734740,1583822820,1583901960,1583990820,1584084540,1584165540,1584247380,1584334320
apparentTemperatureLow,62.03,64.21,65.31,69.48,74.84,72.8,65.53,66.06,57.77,58.75,63.52,67.26,77.09,79.31,70.98,68.47,66.95,59.78,60.14,73.49,67.2,71.65,78.58,70.81,65.21,64.5,63.78,75.52,76.82,76.23,72.83,70.92,71.16,71.11,72.41,73.33,76.28,70.47,69.37,59.77,66.63,68.86,66.78,68.11,69.88,66.69,73.17,71.75,72.19,67.08,65.36,76.33,69.8,68.92,68.07
apparentTemperatureLowTime,1579723680,1579809360,1579896540,1579983060,1580069160,1580155560,1580241900,1580334240,1580416020,1580501100,1580592480,1580680200,1580766960,1580849160,1580932500,1581018120,1581105540,1581198000,1581284580,1581364920,1581451560,1581537240,1581624420,1581710520,1581805740,1581884280,1581975660,1582061700,1582148400,1582234800,1582327140,1582406760,1582494600,1582580880,1582660800,1582753860,1582844340,1582919400,1583005320,1583099460,1583185860,1583266320,1583351880,1583438520,1583524200,1583611980,1583698140,1583790360,1583876940,1583963040,1584051420,1584130560,1584215460,1584302460,1584388560
apparentTemperatureMax,75.27,82.07,85.09,88.06,90.53,96.31,89.57,81.98,72.46,73.18,79.74,91.74,97.67,101.68,94.65,87.62,82.75,83.27,79.54,88.32,92.42,90.33,92.52,99.42,81.94,77.91,86.7,89.82,93.68,91.2,86.32,86.81,90.19,91.77,96.91,90.08,86.86,90.24,79.74,83.66,84.03,88.25,89.3,86.2,77.15,77.48,86.63,90.04,90.48,90.5,85.27,88.72,84.94,82.84,77.31
apparentTemperatureMaxTime,1579672560,1579754820,1579840560,1579925100,1580021280,1580100900,1580182560,1580272320,1580359800,1580446740,1580541060,1580628960,1580715660,1580798460,1580878560,1580964300,1581052620,1581132420,1581224700,1581321240,1581404760,1581484140,1581568860,1581655560,1581737640,1581829080,1581925860,1582011600,1582088460,1582174920,1582257660,1582355820,1582434180,1582520160,1582606860,1582699800,1582795020,1582868640,1582951200,1583039340,1583135160,1583219820,1583298000,1583382300,1583470860,1583556540,1583642760,1583734740,1583822820,1583901960,1583990820,1584084540,1584165540,1584247380,1584334320
