,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
Lat,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162,47.5162
Long,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501,14.5501
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,43.83,38.76,45.82,42.41,42.42,43.22,41.9,32.46,41.42,44.13,48.78,45.83,35.01,37.63,18.2,30.04,36.15,42.22,43.32,40.87,35.26,33.64,37.59,31.53,42.86,45.28,50.36,38.97,40.79,39.98,34.04,49.57,46.62,41.01,53.7,31.99,38.61,25.3,37.35,43.78,42.07,36.53,37.41,36.15,40.69,33.1,43.19,41.77,43.17,47.57,57.19,40.37,42.9,43.01,54.92
apparentTemperatureHighTime,1579690800,1579783620,1579864200,1579950300,1580038980,1580126820,1580209740,1580298840,1580392020,1580475600,1580562120,1580641920,1580727420,1580796000,1580892360,1580996880,1581083160,1581165600,1581246360,1581333540,1581433620,1581514680,1581599760,1581696480,1581772680,1581851460,1581937620,1582027260,1582109820,1582207080,1582291140,1582376280,1582466580,1582552980,1582632240,1582728000,1582807260,1582901160,1582984140,1583063160,1583149800,1583228820,1583330160,1583412540,1583495940,1583578500,1583675340,1583750700,1583841360,1583934240,1584018840,1584109320,1584183120,1584278100,1584365520
apparentTemperatureLow,18.16,22.67,26.49,29.77,25.9,24.74,19.79,21.64,25.67,32.85,34.87,33.92,32.08,17.78,11.63,14.19,14.6,21.67,20.76,28.42,19.8,20.96,26.06,25.54,26.06,31.23,30.39,26.68,23.55,25.94,24.77,30.4,30.27,31.64,27.33,19.9,20.05,12.42,23.6,30.73,32.07,25.73,14.94,28.09,26.19,26.42,21.93,30.35,35.44,33.3,34.1,26.46,21.77,20.14,32.32
apparentTemperatureLowTime,1579761000,1579822320,1579930440,1580018820,1580104860,1580190960,1580278020,1580363880,1580418780,1580518860,1580624040,1580710860,1580799600,1580885220,1580964780,1581036300,1581137040,1581227760,1581283320,1581369120,1581487740,1581573600,1581660900,1581746400,1581801480,1581918660,1582006620,1582063620,1582155660,1582239360,1582329540,1582433340,1582525260,1582592280,1582700400,1582783620,1582873200,1582933320,1583014800,1583124840,1583218800,1583291700,1583385660,1583434980,1583562000,1583624640,1583701380,1583820240,1583863200,1583974800,1584082800,1584165000,1584252360,1584337320,1584402600
apparentTemperatureMax,43.83,38.76,45.82,42.41,42.42,43.22,41.9,32.46,41.42,44.13,48.78,45.83,40.87,38.79,22.37,30.04,36.15,42.22,43.32,40.87,35.44,33.64,37.59,33.99,42.86,45.28,50.36,38.97,40.79,39.98,34.04,49.57,46.62,42.77,53.7,35.33,38.61,26.37,37.35,43.78,42.07,39.29,37.41,36.15,40.69,33.16,43.19,41.77,43.17,47.57,57.19,40.37,42.9,43.01,54.92
apparentTemperatureMaxTime,1579690800,1579783620,1579864200,1579950300,1580038980,1580126820,1580209740,1580298840,1580392020,1580475600,1580562120,1580641920,1580684400,1580789880,1580867460,1580996880,1581083160,1581165600,1581246360,1581333540,1581385620,1581514680,1581599760,1581711360,1581772680,1581851460,1581937620,1582027260,1582109820,1582207080,1582291140,1582376280,1582466580,1582498800,1582632240,1582671600,1582807260,1582844400,1582984140,1583063160,1583149800,1583195280,1583330160,1583412540,1583495940,1583544360,1583675340,1583750700,1583841360,1583934240,1584018840,1584109320,1584183120,1584278100,1584365520
