,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
Lat,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685,23.685
Long,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563,90.3563
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,76.27,74.94,74.64,75.14,74.69,73.98,77.31,76.8,74.86,77.91,78.05,75.2,75.92,78.06,79.53,78.14,79.51,80.71,80.27,80.69,80.33,81.43,80.25,81.59,84.37,83.41,83.99,83.69,84.9,84.3,87.03,86.81,88.97,86.47,77.39,78.56,81.9,83.88,85.71,87.39,88.81,86.42,88.45,88.34,88.48,82.05,89.79,84.95,87.04,89.65,92.19,93.65,93.53,92.25,92.06
apparentTemperatureHighTime,1579682280,1579766100,1579852800,1579938840,1580025300,1580111760,1580198400,1580284740,1580363640,1580457720,1580543820,1580630460,1580716680,1580803260,1580889360,1580976060,1581062280,1581148500,1581235320,1581321240,1581407940,1581494160,1581580620,1581667380,1581752880,1581839640,1581925740,1582012800,1582099140,1582185360,1582271940,1582358580,1582444620,1582530360,1582609800,1582703880,1582789380,1582879500,1582963140,1583049480,1583135700,1583222580,1583308140,1583394960,1583475180,1583569500,1583653740,1583741040,1583827140,1583913420,1584000840,1584085020,1584166140,1584258000,1584348720
apparentTemperatureLow,54.72,53.84,51.75,52.74,55.24,55.72,58.55,59.11,62.02,56.64,55.81,51.5,51.05,55.1,58.06,56.61,62.92,64.11,56.63,54.61,56.69,54.24,56.31,62.98,59.37,57.64,59.43,60.58,61.54,62.17,61.53,60.73,64.21,66.66,64.22,61.27,60.25,61.45,63.01,64.21,66.82,68.26,68.2,67.46,68.35,65.38,67.33,61.88,65.28,68.31,70.87,72.58,67.35,70.11,68.62
apparentTemperatureLowTime,1579729980,1579820280,1579906920,1579993200,1580080260,1580165160,1580248560,1580334900,1580424300,1580511960,1580594400,1580684640,1580770620,1580857500,1580939760,1581028560,1581116820,1581202920,1581286440,1581375420,1581459600,1581548580,1581631500,1581721860,1581807540,1581893820,1581980040,1582064220,1582149960,1582236360,1582326120,1582412160,1582495560,1582581600,1582671480,1582755120,1582844220,1582927680,1583014140,1583100300,1583190120,1583272920,1583359320,1583448600,1583532360,1583618460,1583708400,1583794680,1583883240,1583969760,1584054000,1584137820,1584223800,1584310680,1584401700
apparentTemperatureMax,76.27,74.94,74.64,75.14,74.69,73.98,77.31,76.8,74.86,77.91,78.05,75.2,75.92,78.06,79.53,78.14,79.51,80.71,80.27,80.69,80.33,81.43,80.25,81.59,84.37,83.41,83.99,83.69,84.9,84.3,87.03,86.81,88.97,86.47,77.39,78.56,81.9,83.88,85.71,87.39,88.81,86.42,88.45,88.34,88.48,82.05,89.79,84.95,87.04,89.65,92.19,93.65,93.53,92.25,92.06
apparentTemperatureMaxTime,1579682280,1579766100,1579852800,1579938840,1580025300,1580111760,1580198400,1580284740,1580363640,1580457720,1580543820,1580630460,1580716680,1580803260,1580889360,1580976060,1581062280,1581148500,1581235320,1581321240,1581407940,1581494160,1581580620,1581667380,1581752880,1581839640,1581925740,1582012800,1582099140,1582185360,1582271940,1582358580,1582444620,1582530360,1582609800,1582703880,1582789380,1582879500,1582963140,1583049480,1583135700,1583222580,1583308140,1583394960,1583475180,1583569500,1583653740,1583741040,1583827140,1583913420,1584000840,1584085020,1584166140,1584258000,1584348720
