,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus
Lat,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098,53.7098
Long,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534,27.9534
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,29.89,25.56,26.59,31.83,29.04,28.66,29.41,26.58,27.99,30.14,31.28,38.87,26.72,31.5,21.46,29.05,15.05,26.21,26.44,26.62,29.7,27.21,28.24,34.57,38.18,31.59,50.46,42.39,36.29,38.85,34.19,34.58,32.75,31.49,32.88,43.02,30.99,29.16,31.38,32.5,40.39,45.71,46.56,39.38,37.65,42.06,43.92,44.42,43.4,39.18,53.01,41.71,26.73,30.63,38.97
apparentTemperatureHighTime,1579690980,1579785780,1579863480,1579958040,1580037120,1580122860,1580212200,1580313600,1580382240,1580486400,1580558520,1580618520,1580727780,1580814060,1580908080,1580987640,1581080340,1581169860,1581246180,1581350400,1581414960,1581508260,1581591180,1581685440,1581764400,1581858540,1581937320,1582023660,1582121460,1582197300,1582283340,1582369260,1582455480,1582542360,1582631280,1582727220,1582800840,1582898160,1582984860,1583056140,1583148240,1583242560,1583334600,1583380800,1583481960,1583590080,1583668680,1583761740,1583848800,1583938440,1584019380,1584108540,1584161640,1584281040,1584364080
apparentTemperatureLow,17.61,18.37,24.95,21.77,24.05,24.49,24.82,21.79,22.34,26.51,30.76,24.65,21.97,9.29,12.85,9.07,12,15.46,15.9,26.62,24.62,23.5,21.64,17.94,18.16,28,33.46,27.01,23.27,23.9,26.89,28.23,21.03,18.8,27.17,28.68,19.36,23.09,23.86,27.36,31.74,34.37,34.82,31.93,32.74,34.5,29.95,33.45,28.96,25.46,24.95,26.37,13.27,15.05,28.38
apparentTemperatureLowTime,1579753680,1579821600,1579899900,1580011740,1580082420,1580169420,1580254980,1580360400,1580436120,1580533200,1580572800,1580706000,1580792400,1580878320,1580946600,1581041580,1581109800,1581224400,1581292560,1581350400,1581462360,1581534420,1581656400,1581742320,1581828840,1581875700,1582001820,1582088400,1582174560,1582261020,1582335240,1582397220,1582520400,1582604100,1582646400,1582779600,1582864560,1582948740,1583031840,1583124600,1583191320,1583298000,1583384400,1583470800,1583546160,1583643480,1583710980,1583816400,1583883780,1583988900,1584071520,1584155760,1584237420,1584316320,1584418080
apparentTemperatureMax,31.25,25.56,26.59,31.83,29.04,28.66,29.41,28.26,27.99,31.14,37.27,39.55,27,31.5,21.46,29.05,15.05,26.21,26.44,31.43,31.35,27.21,28.24,34.57,38.18,31.59,50.46,42.39,36.29,38.85,34.19,34.58,33.17,31.49,32.88,43.02,35.64,29.16,31.38,32.5,40.39,45.71,46.56,43.63,37.69,42.09,43.92,44.42,43.4,39.18,53.01,41.71,31.31,30.63,38.97
apparentTemperatureMaxTime,1579640580,1579785780,1579863480,1579958040,1580037120,1580122860,1580212200,1580322480,1580382240,1580494980,1580587200,1580605440,1580691900,1580814060,1580908080,1580987640,1581080340,1581169860,1581246180,1581364800,1581368400,1581508260,1581591180,1581685440,1581764400,1581858540,1581937320,1582023660,1582121460,1582197300,1582283340,1582369260,1582419420,1582542360,1582631280,1582727220,1582763580,1582898160,1582984860,1583056140,1583148240,1583242560,1583334600,1583373420,1583442000,1583604240,1583668680,1583761740,1583848800,1583938440,1584019380,1584108540,1584133200,1584281040,1584364080
