,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
Lat,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333,50.8333
Long,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,36.38,38.55,39.31,37.34,43.35,44.14,35.69,42.41,51.34,54.73,52.78,54.05,54.02,37.69,48.22,48.83,51.25,52.46,56.31,40.2,37.05,40.56,44.16,50.98,55.57,62.08,52.07,42.56,41.69,51.77,42.27,53.54,55.67,53.22,42.28,36.29,29.46,35.41,51.16,50.08,41.85,41.96,45.22,41.2,38.13,51.96,44.21,51.49,54.21,56.66,50.06,51.82,44.68,54.98,56.45
apparentTemperatureHighTime,1579701900,1579787280,1579874040,1579960980,1580044740,1580130660,1580217720,1580305800,1580405100,1580479260,1580536800,1580647260,1580736180,1580839200,1580909520,1580996760,1581082320,1581162300,1581271020,1581339360,1581425160,1581515340,1581599280,1581688800,1581775260,1581861360,1581946080,1582034880,1582121460,1582205580,1582289700,1582389480,1582465260,1582547280,1582634940,1582726440,1582823580,1582894380,1582972260,1583071200,1583155980,1583243880,1583330220,1583408340,1583484540,1583587860,1583684760,1583760720,1583863200,1583934900,1584017940,1584108720,1584184740,1584287820,1584366900
apparentTemperatureLow,24.48,25.91,24.47,26.89,36.7,32.25,28.46,30.71,41.52,52.5,37.81,42.9,30.4,32.59,28.49,24.32,34.67,35.76,34.73,29.01,30.27,32.19,33.97,36.8,54.55,35.59,32.88,31.97,36.49,27.66,31.43,40.95,35.12,36.23,26.54,27.54,23.83,31.51,30.32,30.53,25.97,28.31,36.3,33.54,26.33,36.92,35.43,35.2,52.09,39.79,32.81,34.5,38.33,38.38,30.7
apparentTemperatureLowTime,1579762800,1579842960,1579925460,1580012280,1580067900,1580194800,1580272200,1580360760,1580454000,1580540400,1580609760,1580704500,1580791620,1580875020,1580966400,1581052680,1581106200,1581231600,1581318000,1581378780,1581470940,1581545040,1581663600,1581742500,1581789600,1581916200,1582002540,1582088460,1582145220,1582260480,1582343880,1582423020,1582524300,1582614000,1582689600,1582773780,1582867020,1582912800,1583038080,1583113740,1583212080,1583298600,1583356980,1583459880,1583557740,1583647560,1583727420,1583796900,1583910000,1583993820,1584064020,1584147780,1584246660,1584338220,1584422760
apparentTemperatureMax,36.38,38.55,39.31,37.34,43.35,44.14,38.23,42.41,54.36,54.73,53.44,54.05,54.02,39.7,48.22,48.83,51.25,52.46,56.31,50.79,37.05,40.56,44.16,50.98,55.57,62.08,52.07,42.56,41.69,51.77,42.27,54.76,55.67,53.22,51.44,36.29,30.98,40.81,51.27,50.08,41.85,41.96,45.22,41.2,38.13,51.96,44.21,51.49,54.21,56.66,53.88,51.82,44.68,54.98,56.45
apparentTemperatureMaxTime,1579701900,1579787280,1579874040,1579960980,1580044740,1580130660,1580166000,1580305800,1580421540,1580479260,1580511600,1580647260,1580736180,1580846460,1580909520,1580996760,1581082320,1581162300,1581271020,1581289200,1581425160,1581515340,1581599280,1581688800,1581775260,1581861360,1581946080,1582034880,1582121460,1582205580,1582289700,1582398360,1582465260,1582547280,1582587480,1582726440,1582837980,1582927200,1582935660,1583071200,1583155980,1583243880,1583330220,1583408340,1583484540,1583587860,1583684760,1583760720,1583864580,1583934900,1583974800,1584108720,1584184740,1584287820,1584366900
