,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin
Lat,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077,9.3077
Long,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158,2.3158
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,98.24,95.54,95.35,94.58,95.98,96.69,96.92,98.7,98.99,97.97,97.38,96.07,96.24,97.49,96.22,97.23,97.92,99.28,99.32,98.59,96.93,94.92,96.09,98.49,98.88,99.97,100.18,101.14,99.9,100.2,101.1,103.02,102.47,102.37,99.28,102.51,102.06,102.89,105.18,108.97,107.16,107.93,105.74,103.44,101.27,102.33,105.7,107.46,107.82,102.17,105.56,106.15,102.05,100.9,102.43
apparentTemperatureHighTime,1579701540,1579788000,1579874400,1579960620,1580047380,1580133480,1580220060,1580306040,1580392320,1580479080,1580565420,1580651460,1580738160,1580824980,1580911020,1580997300,1581083640,1581170160,1581256800,1581342780,1581431820,1581516120,1581602520,1581688680,1581775680,1581861840,1581948000,1582034040,1582121640,1582207140,1582293660,1582380120,1582465980,1582551960,1582639080,1582726980,1582811940,1582898220,1582985280,1583057700,1583156640,1583236620,1583322240,1583416860,1583504340,1583576160,1583671260,1583754240,1583842080,1583935740,1584020640,1584099900,1584186300,1584264660,1584366600
apparentTemperatureLow,67.18,64.8,64.9,61.24,58.17,61.37,61.44,61.38,60.78,64.09,62.94,58.64,57.22,59.07,63.15,65.41,66.15,66.5,71.54,67.69,68.75,61.32,60.6,63.36,62.85,60.7,63.9,64.12,65.79,67.58,68.71,68.36,70.4,67.74,64.2,68.46,73.02,72.66,72.85,76.12,75.72,74.89,75.14,75.31,74.37,76.8,77.74,76.65,77.93,75.07,79.13,76.87,72.51,69.6,77
apparentTemperatureLowTime,1579755600,1579842360,1579928820,1580011800,1580101080,1580184720,1580273640,1580360040,1580446200,1580533020,1580619660,1580705880,1580792340,1580878620,1580962740,1581048780,1581137700,1581224640,1581312120,1581397740,1581483840,1581569760,1581656220,1581742740,1581829260,1581915660,1582001940,1582088460,1582174740,1582261200,1582344780,1582433880,1582520460,1582606920,1582690560,1582779360,1582865700,1582952220,1583038860,1583124960,1583211480,1583298060,1583384640,1583468040,1583556600,1583643480,1583729580,1583816340,1583902440,1583989920,1584076020,1584162240,1584249480,1584334260,1584421080
apparentTemperatureMax,98.24,95.54,95.35,94.58,95.98,96.69,96.92,98.7,98.99,97.97,97.38,96.07,96.24,97.49,96.22,97.23,97.92,99.28,99.32,98.59,96.93,94.92,96.09,98.49,98.88,99.97,100.18,101.14,99.9,100.2,101.1,103.02,102.47,102.37,99.28,102.51,102.06,102.89,105.18,108.97,107.16,107.93,105.74,103.44,101.27,102.33,105.7,107.46,107.82,102.17,105.56,106.15,102.05,100.9,102.43
apparentTemperatureMaxTime,1579701540,1579788000,1579874400,1579960620,1580047380,1580133480,1580220060,1580306040,1580392320,1580479080,1580565420,1580651460,1580738160,1580824980,1580911020,1580997300,1581083640,1581170160,1581256800,1581342780,1581431820,1581516120,1581602520,1581688680,1581775680,1581861840,1581948000,1582034040,1582121640,1582207140,1582293660,1582380120,1582465980,1582551960,1582639080,1582726980,1582811940,1582898220,1582985280,1583057700,1583156640,1583236620,1583322240,1583416860,1583504340,1583576160,1583671260,1583754240,1583842080,1583935740,1584020640,1584099900,1584186300,1584264660,1584366600
