,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia
Lat,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902,-16.2902
Long,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887,-63.5887
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,93.5,102.43,100.87,108.71,113.52,112.42,97.9,94.17,96.23,92.24,96.93,102.41,99.5,102.85,102.16,105.99,103.88,109.91,95.47,96.4,88.2,98.92,102.63,106.37,110.39,102.89,109.29,109.64,102.01,96.77,91.26,77.39,80.02,94.42,104.91,81.76,95.99,94.63,94.15,95.61,97.01,100.76,100.76,103.09,108.19,104.7,106.46,107.7,111.03,107.54,98.35,113.18,111.89,111.75,94.71
apparentTemperatureHighTime,1579725660,1579811880,1579885380,1579981440,1580048640,1580143980,1580232300,1580331000,1580414280,1580499840,1580588040,1580673540,1580739900,1580833740,1580921460,1581008760,1581106200,1581178500,1581278100,1581354780,1581452940,1581533580,1581613260,1581699780,1581783300,1581883620,1581961980,1582045380,1582132680,1582215900,1582304040,1582401180,1582474380,1582576980,1582649880,1582750860,1582832820,1582914600,1582995900,1583092020,1583178360,1583250960,1583338800,1583421660,1583509380,1583596860,1583690280,1583772600,1583854020,1583942940,1584026280,1584112500,1584205020,1584288660,1584376200
apparentTemperatureLow,74.81,76.73,73.81,77.02,78.89,75.38,73.59,74.54,70.09,71.67,76.25,78.62,76.4,77.29,78.36,74.17,78.58,74.07,74.06,72.14,73.11,74.48,75.03,76.56,77.84,79.71,80.89,76.38,76.47,73.22,70.86,70.25,62.66,74.46,74.31,71.94,67.7,66.5,69.26,68.86,71.6,74.88,73.06,74.88,74.88,75.36,75.21,75.69,76.01,77.17,74.4,75.49,76.55,76.85,73.37
apparentTemperatureLowTime,1579766280,1579852980,1579939140,1580026020,1580113200,1580197860,1580284020,1580372220,1580456220,1580544000,1580629800,1580716200,1580803560,1580889600,1580980320,1581062400,1581149400,1581234960,1581320280,1581407700,1581494280,1581580980,1581666660,1581753420,1581840060,1581926460,1582012500,1582100220,1582184760,1582272180,1582369740,1582452000,1582531020,1582617000,1582703880,1582790160,1582878480,1582962840,1583049060,1583135880,1583221620,1583309160,1583395260,1583482080,1583567700,1583654160,1583741700,1583827620,1583913420,1584000600,1584086760,1584172740,1584259620,1584346200,1584431880
apparentTemperatureMax,93.5,102.43,100.87,108.71,113.52,112.42,97.9,94.17,96.23,92.24,96.93,102.41,99.5,102.85,102.16,105.99,103.88,109.91,95.47,96.4,88.2,98.92,102.63,106.37,110.39,102.89,109.29,109.64,102.01,96.77,91.26,77.39,80.02,94.42,104.91,81.76,95.99,94.63,94.15,95.61,97.01,100.76,100.76,103.09,108.19,104.7,106.46,107.7,111.03,107.54,98.35,113.18,111.89,111.75,94.71
apparentTemperatureMaxTime,1579725660,1579811880,1579885380,1579981440,1580048640,1580143980,1580232300,1580331000,1580414280,1580499840,1580588040,1580673540,1580739900,1580833740,1580921460,1581008760,1581106200,1581178500,1581278100,1581354780,1581452940,1581533580,1581613260,1581699780,1581783300,1581883620,1581961980,1582045380,1582132680,1582215900,1582304040,1582401180,1582474380,1582576980,1582649880,1582750860,1582832820,1582914600,1582995900,1583092020,1583178360,1583250960,1583338800,1583421660,1583509380,1583596860,1583690280,1583772600,1583854020,1583942940,1584026280,1584112500,1584205020,1584288660,1584376200
apparentTemperatureMin,76.19,74.81,76.73,73.81,77.02,78.81,75.38,73.59,72.47,70.09,71.67,76.25,78.5,76.4,77.29,77.74,74.17,75.61,74.07,74.06,72.14,73.11,74.48,75.03,76.56,77.84,79.71,80.89,76.38,76.47,73.22,70.86,67.22,62.66,74.46,74.31,71.94,67.7,66.5,69.26,68.86,71.6,74.88,73.06,74.88,74.88,75.36,75.21,75.69,76.01,77.17,74.4,75.49,76.55,76.04
