,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
Lat,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235,-14.235
Long,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253,-51.9253
apparentTemperatureLow,73.13,74.4,71.56,71.78,72.09,73.83,70.83,69.06,70.81,73.38,74.05,72.32,71.42,69.72,70.69,72.01,71.04,72.39,70.58,67,70.48,70.86,71.86,72.47,70.79,70.55,73.44,73.3,72.83,72.06,70.24,70.39,71.78,72.59,70.95,71.01,72.21,72.26,69.76,71.49,70.71,70.5,72.22,72.25,70.75,71.57,73.81,70.39,71.57,71.37,70.05,71.35,68.74,67.55,69.16
precipIntensity,0.0181,0.0177,0.0188,0.0175,0.0097,0.0386,0.01,0.0041,0.0002,0.0137,0.0086,0.0024,0.0072,0.0197,0.0047,0.0074,0.0282,0.0112,0.0072,0.0049,0.0003,0.0119,0.0051,0.008,0.0345,0.0091,0.0017,0.0233,0.0115,0.0053,0.0168,0.0039,0.0018,0.0055,0.0038,0.0098,0.0064,0.0116,0.0464,0.012,0.0257,0.0105,0.0158,0.0307,0.0165,0.008,0.0085,0.0177,0.0178,0.0217,0.0019,0.0056,0.0069,0.0187,0.0052
temperatureHighTime,1579712220,1579797780,1579894740,1579970700,1580067240,1580143860,1580232180,1580317380,1580403600,1580489220,1580576520,1580663280,1580739120,1580831280,1580919360,1581007800,1581095100,1581180600,1581268140,1581348780,1581439620,1581523260,1581612360,1581697860,1581783300,1581871440,1581958380,1582041420,1582133520,1582213680,1582303800,1582388460,1582473660,1582559640,1582648200,1582738320,1582818720,1582907880,1582985760,1583080740,1583165040,1583250540,1583336820,1583423520,1583509680,1583597700,1583683140,1583772000,1583855820,1583947380,1584033000,1584115440,1584204120,1584287640,1584376080
temperatureMax,81.12,79.57,81.47,83.64,85.68,81.84,83.13,86.07,85.28,93.54,92.36,90.31,91.62,86.15,88.1,85.99,80.1,82.37,78.6,78.57,92.21,90.23,90.03,94.26,83.85,91.35,92.36,90.12,88.25,87.46,85.99,89.32,92.03,85.57,88.64,88.66,90.67,88.78,77.61,86.56,85.35,87.22,88.32,87.32,81.48,86.97,88.2,83.78,87.54,80.24,85.34,90.95,84.62,88.53,88.1
windSpeed,4.75,6.46,6.95,5.13,3.48,3.9,5.61,2.54,2,3.03,3.54,3.13,2.57,2.5,4.15,3.45,2.93,6.01,6.7,3.76,2.49,3.37,1.77,1.92,2.59,3.57,2.82,2.92,2.93,3.07,3.94,3.32,2.74,3.52,2.31,3.16,2.27,2.05,3.58,2.01,3.15,3.24,3.07,2.3,2.48,2.52,2.32,2.69,2.78,3.14,2.86,2.32,3.67,2.98,2.44
apparentTemperatureMin,73.53,73.13,74.4,71.56,71.78,72.09,73.83,70.83,69.06,70.81,73.38,74.05,72.32,71.42,69.72,70.69,72.01,71.04,70.89,70.58,67,70.48,70.86,71.86,72.47,70.79,70.55,73.44,73.3,72.83,72.06,70.24,70.39,71.78,72.59,70.95,71.01,72.21,72.26,69.76,71.49,70.71,70.5,72.22,72.25,70.75,71.57,73.41,70.39,71.57,71.37,70.05,71.35,68.74,67.55
