,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei
Lat,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353,4.5353
Long,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277,114.7277
apparentTemperatureLow,74.31,74.74,75.66,76.77,76.11,76.72,77.47,76.3,72.73,73.83,76.87,78.41,78.13,76.55,74.8,71.95,73.12,72.63,74.22,73.82,74.63,76.95,75.53,75.88,76.29,76.86,74.67,75.39,74.64,75.92,75.06,73.67,77.4,75.63,78.06,75.6,77.07,77.11,75.75,78.3,77.54,75.32,76.08,73.67,73.84,73.33,75.29,75.17,74.41,76.34,76.43,77.58,74.79,77.41,74.5
precipIntensity,0.0011,0.0002,0.0004,0.0013,0.0333,0.0111,0.0054,0.0184,0.0058,0.0006,0.001,0.0011,0.0062,0.016,0.0035,0.0003,0.0003,0.0155,0.0344,0.006,0.0001,0.0054,0.0066,0.0244,0.0196,0.0109,0.0038,0.0029,0.0063,0.001,0.0001,0.0001,0.0002,0.0004,0.0032,0.0274,0.0239,0.0234,0.0062,0.004,0.0095,0.0796,0.0311,0.133,0.0055,0.0009,0.0003,0.0063,0.0144,0.0062,0.0107,0.001,0.0176,0.0008,0.0029
temperatureHighTime,1579671240,1579755720,1579841820,1579928940,1580010480,1580097480,1580183640,1580274480,1580368020,1580446980,1580533500,1580618940,1580705880,1580786760,1580878740,1580964900,1581047940,1581137220,1581223800,1581310680,1581397320,1581483660,1581569820,1581656220,1581742140,1581829320,1581915300,1582002000,1582087860,1582174800,1582261140,1582348200,1582433820,1582520760,1582606860,1582687980,1582776720,1582866000,1582952220,1583038740,1583120640,1583211420,1583307420,1583373840,1583471280,1583556900,1583643480,1583728140,1583812200,1583899560,1583985540,1584075720,1584161460,1584248220,1584331440
temperatureMax,91.87,91.86,92.28,91.07,90.4,87.95,91.47,86.24,85.39,89.72,89.56,91.15,90.17,86.82,87.33,90.67,90.45,92.93,91.42,90.54,91.39,93.95,93.8,93.46,93.62,88.82,87.78,91.59,91.71,92.93,93.86,93.46,95.48,91.26,96.37,87.54,88.17,89.26,92.18,92.59,90.33,86.8,82.68,77.7,87.07,90.36,91.24,87.64,86,93.85,93.7,97.4,95.63,92.41,93.05
windSpeed,2.92,2.91,2.51,2.72,2,2.38,2.71,3.08,4.09,3.02,3.42,2.93,2.93,2.05,4.32,2.99,2.73,2.72,2.43,2.61,2.73,2.91,2.61,2.51,2.01,2.67,3.7,3.76,3.05,3.32,3.63,3.18,3.73,3.22,2.64,2.12,3.04,2.35,2.5,2.77,2.45,2.28,1.86,2.06,2.68,2.68,2.23,2.38,2.47,2.79,2.24,2.43,2.35,3.44,2.72
apparentTemperatureMin,75.06,74.31,74.74,75.66,76.77,76.11,76.72,77.47,75.36,72.73,73.83,76.87,78.41,77.14,76.55,74.8,71.95,73.12,72.63,74.22,73.82,74.63,76.95,75.53,75.88,76.29,75.5,74.67,75.39,74.64,75.92,75.06,73.67,77.4,75.63,77.75,75.6,77.07,77.11,75.75,78.3,77.54,75.32,75.39,73.67,73.84,73.33,75.29,75.17,74.41,76.34,76.43,76.75,74.79,77.33
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,cloudy,cloudy,rain,rain,rain,rain,cloudy,partly-cloudy-day,rain,rain,rain,cloudy,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,cloudy,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain
apparentTemperatureMax,98.24,97.63,96.93,98.86,101.87,99.4,104.45,97.56,92.91,94.14,96.47,98.77,98.86,97.42,94.96,95.82,96.78,100.59,99.7,97.82,96.2,99.87,101.63,102.12,103.67,101.36,94.74,95.88,98.12,96.91,96.27,94.95,98.69,99.5,103.28,98.35,99.65,102.26,103.27,104.72,102.99,98.09,90.33,79.31,94.34,98.22,98.7,98.75,95.43,105.58,107.95,105.56,103.6,100.72,103.25
apparentTemperatureHigh,98.24,97.63,96.93,98.86,101.87,99.4,104.45,97.56,92.91,94.14,96.47,98.77,98.86,97.42,94.96,95.82,96.78,100.59,99.7,97.82,96.2,99.87,101.63,102.12,103.67,101.36,94.74,95.88,98.12,96.91,96.27,94.95,98.69,99.5,103.28,98.35,99.65,102.26,103.27,104.72,102.99,98.09,90.33,79.31,94.34,98.22,98.7,98.75,95.43,105.58,107.95,105.56,103.6,100.72,103.25
temperatureMinTime,1579637940,1579723260,1579809360,1579905420,1579981920,1580068320,1580154960,1580241840,1580396400,1580413740,1580500560,1580587320,1580673600,1580828400,1580836260,1580931360,1581019740,1581105780,1581198720,1581285180,1581365100,1581450180,1581537360,1581624120,1581710160,1581785880,1581951600,1581969300,1582055940,1582142640,1582229160,1582315560,1582402020,1582486680,1582574160,1582729200,1582753980,1582833240,1582924020,1583006520,1583092920,1583171640,1583272440,1583420400,1583437920,1583524080,1583611320,1583697720,1583783520,1583870520,1583956620,1584043440,1584198000,1584215520,1584370800
summary,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle overnight.,Rain and humid throughout the day.,Possible light rain until evening.,Possible light rain overnight.,Possible light rain until evening.,Possible light rain in the morning and afternoon.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Possible light rain in the afternoon and evening.,Possible drizzle in the morning.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Light rain starting in the afternoon.,Rain and humid throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Possible light rain in the morning.,Possible light rain in the evening.,Rain starting in the afternoon.,Rain starting in the afternoon.,Light rain starting in the afternoon.,Possible drizzle in the morning.,Possible drizzle overnight.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Light rain starting in the afternoon.,Light rain until evening.,Possible light rain until evening.,Possible light rain in the morning and afternoon.,Humid and overcast throughout the day.,Possible light rain starting in the afternoon.,Rain and humid throughout the day.,Rain and humid throughout the day.,Heavy rain and humid throughout the day.,Light rain in the morning.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain until evening.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon.,Humid throughout the day.,Possible light rain in the evening and overnight.,Humid throughout the day.,Humid and partly cloudy throughout the day.
sunriseTime,1579646220,1579732620,1579819020,1579905420,1579991820,1580078220,1580164680,1580251080,1580337480,1580423880,1580510280,1580596680,1580683080,1580769480,1580855880,1580942280,1581028680,1581115080,1581201480,1581287880,1581374280,1581460680,1581547080,1581633480,1581719820,1581806220,1581892620,1581979020,1582065420,1582151820,1582238160,1582324560,1582410960,1582497360,1582583700,1582670100,1582756500,1582842840,1582929240,1583015640,1583102040,1583188380,1583274780,1583361120,1583447520,1583533920,1583620260,1583706660,1583793060,1583879400,1583965800,1584052140,1584138540,1584224940,1584311280
windBearing,24,352,342,323,17,0,9,30,23,26,24,5,6,8,10,3,1,8,345,27,34,10,9,273,82,269,17,27,25,24,31,25,16,2,356,325,8,344,17,332,359,226,200,201,207,14,8,347,36,358,348,25,350,22,7
uvIndex,9,9,8,8,7,8,11,9,6,6,6,6,6,7,6,6,8,6,6,6,6,7,8,12,11,9,9,10,10,7,8,13,8,6,13,6,6,6,6,6,6,6,6,6,6,6,8,8,14,11,13,14,12,11,8
