,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria
Lat,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339,42.7339
Long,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858,25.4858
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,43.05,24.01,33.54,46.42,47.29,41.92,41.17,35.98,24.42,41.18,47.04,52.05,53.26,42.27,20.04,8.57,19.45,23.38,34.63,34.71,40.02,33.22,37.11,36.5,26.84,39.21,46.02,50.71,39.69,32.85,30.56,26.02,45.07,42.41,46.85,52.36,43.79,36.13,31.9,42.46,55.24,54.83,50.05,33.31,42.24,53.33,45.25,47.19,34.67,47.39,56.34,62.64,45.37,30.93,30.29
apparentTemperatureHighTime,1579690860,1579776780,1579863660,1579950180,1580033040,1580123220,1580216640,1580285700,1580381700,1580468520,1580562300,1580638080,1580727540,1580804460,1580878800,1581008400,1581073260,1581159360,1581245760,1581332100,1581426060,1581501060,1581587700,1581685560,1581763980,1581850440,1581943980,1582019760,1582121280,1582174800,1582291980,1582377180,1582462980,1582529700,1582636200,1582714800,1582791900,1582896960,1582985940,1583068320,1583154660,1583234040,1583319600,1583415840,1583500740,1583583240,1583664480,1583755080,1583834280,1583928240,1584014640,1584097140,1584180240,1584248400,1584363480
apparentTemperatureLow,13.68,19.42,26.79,31.96,29.93,24.78,31.78,18.39,17.87,33.46,38.64,37.1,34.38,19.8,2.19,8.57,2.73,14.29,23.81,26.84,22.27,21.05,21.36,23.55,23.89,25.58,29.6,33.18,31.55,22.77,18.15,22.02,35.97,25.89,35.07,36.09,19.88,13.58,20.92,27.83,37.88,34.34,26.62,28.26,35.02,38.71,35.28,28.69,31.95,36.91,40.99,37.34,30.39,14.71,23.94
apparentTemperatureLowTime,1579759200,1579802280,1579885200,1580015220,1580104800,1580187600,1580259840,1580364000,1580409840,1580497380,1580619660,1580704260,1580787540,1580882400,1580961660,1581008400,1581127920,1581198120,1581271380,1581391860,1581447540,1581563640,1581659340,1581746400,1581802740,1581914100,1581972240,1582091520,1582178400,1582259700,1582350060,1582414440,1582506300,1582606620,1582677180,1582764720,1582836720,1582955880,1583011500,1583123700,1583207760,1583296800,1583388000,1583443740,1583538420,1583616060,1583733600,1583818980,1583872740,1583982240,1584068580,1584160200,1584252000,1584328920,1584401580
apparentTemperatureMax,43.05,32.45,33.54,46.42,47.29,41.92,41.17,35.98,27.63,41.18,47.04,52.05,53.26,42.27,38.04,10.67,19.45,23.38,34.63,34.71,40.02,33.22,37.11,36.5,28.97,39.21,46.02,50.71,39.69,33.85,30.56,26.76,45.07,42.41,46.85,52.36,43.79,36.13,31.9,42.46,55.24,54.83,50.05,40.73,42.24,53.33,45.25,47.19,34.67,47.39,56.34,62.64,45.37,36.84,30.29
apparentTemperatureMaxTime,1579690860,1579730400,1579863660,1579950180,1580033040,1580123220,1580216640,1580285700,1580346840,1580468520,1580562300,1580638080,1580727540,1580804460,1580853600,1581022800,1581073260,1581159360,1581245760,1581332100,1581426060,1581501060,1581587700,1581685560,1581721020,1581850440,1581943980,1582019760,1582121280,1582160340,1582291980,1582402560,1582462980,1582529700,1582636200,1582714800,1582791900,1582896960,1582985940,1583068320,1583154660,1583234040,1583319600,1583363580,1583500740,1583583240,1583664480,1583755080,1583834280,1583928240,1584014640,1584097140,1584180240,1584223620,1584363480
