,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Lat,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383,12.2383
Long,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616,-1.5616
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,96.71,96.86,94.52,97.35,95.46,94.39,95.71,97.84,98.5,98.34,96.87,95.44,94.76,94.58,93.93,94.23,94.52,95.57,96.14,97.55,96.11,94.1,93.57,96.05,97.26,98.73,100.25,100.26,100.13,99.74,100.36,102.39,102.4,100.08,97.45,97.86,99.93,100.07,101.66,103.25,103.21,103.83,103.56,103.82,104.78,103.76,104.09,104.48,101.59,103.81,105.57,104.21,103.19,103.8,104.56
apparentTemperatureHighTime,1579701540,1579788240,1579874520,1579961160,1580047500,1580133900,1580220300,1580306280,1580394540,1580479380,1580565300,1580651640,1580737860,1580824320,1580911020,1580997600,1581083760,1581170400,1581257220,1581343500,1581432420,1581516480,1581602940,1581689040,1581775320,1581862140,1581948300,1582034640,1582123200,1582207380,1582293840,1582380240,1582466520,1582552740,1582639320,1582727220,1582811880,1582898400,1582984560,1583071080,1583157660,1583243700,1583330520,1583416680,1583502420,1583589060,1583676120,1583763240,1583849760,1583935020,1584021720,1584111840,1584199500,1584280860,1584367200
apparentTemperatureLow,71.75,68.39,65.67,65.99,62.14,63.64,62.69,62.76,64.53,65.35,62.67,60.77,59.55,60.92,63.7,61.93,60.88,63.76,70.31,72.32,72.74,68.8,61.57,61.38,62.92,63.56,65.51,65.36,66.12,68.43,71.09,75.59,70.61,69.14,65.76,66.42,68.85,67.75,67.62,67.72,69.72,70.42,71.93,69.12,66.11,68.14,71.83,74.42,75.67,75.77,70.41,74.01,73.64,77.74,78.21
apparentTemperatureLowTime,1579755840,1579842120,1579928400,1580011740,1580101320,1580184540,1580273820,1580360220,1580446620,1580533140,1580619600,1580706000,1580792400,1580878800,1580962800,1581048720,1581137880,1581224040,1581310080,1581397800,1581483600,1581569940,1581656460,1581742440,1581829140,1581915300,1582001580,1582088220,1582174560,1582261140,1582344300,1582433880,1582520340,1582606620,1582690020,1582779480,1582865820,1582952280,1583038560,1583124780,1583211840,1583297760,1583381340,1583467140,1583557020,1583643300,1583730000,1583817900,1583902740,1583989920,1584075540,1584162240,1584248160,1584341520,1584421740
apparentTemperatureMax,96.71,96.86,94.52,97.35,95.46,94.39,95.71,97.84,98.5,98.34,96.87,95.44,94.76,94.58,93.93,94.23,94.52,95.57,96.14,97.55,96.11,94.1,93.57,96.05,97.26,98.73,100.25,100.26,100.13,99.74,100.36,102.39,102.4,100.08,97.45,97.86,99.93,100.07,101.66,103.25,103.21,103.83,103.56,103.82,104.78,103.76,104.09,104.48,101.59,103.81,105.57,104.21,103.19,103.8,104.56
apparentTemperatureMaxTime,1579701540,1579788240,1579874520,1579961160,1580047500,1580133900,1580220300,1580306280,1580394540,1580479380,1580565300,1580651640,1580737860,1580824320,1580911020,1580997600,1581083760,1581170400,1581257220,1581343500,1581432420,1581516480,1581602940,1581689040,1581775320,1581862140,1581948300,1582034640,1582123200,1582207380,1582293840,1582380240,1582466520,1582552740,1582639320,1582727220,1582811880,1582898400,1582984560,1583071080,1583157660,1583243700,1583330520,1583416680,1583502420,1583589060,1583676120,1583763240,1583849760,1583935020,1584021720,1584111840,1584199500,1584280860,1584367200
