,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia
Lat,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55
Long,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167,104.9167
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,100.57,99.16,95.32,99.76,99.28,96.9,95.06,98.78,91.23,92.69,94.28,91.81,93.07,93.83,93.61,93.36,94.65,95.78,91.96,91.33,99.66,101.51,102.6,101.73,104.39,103.2,103.6,97.04,95.46,95.26,96.65,96.03,95.37,95,94.87,98.54,98.91,96.01,97.82,101.65,104.34,101.75,104.94,104.09,102.77,105.2,109.95,108.83,109.74,107.83,106.56,106.94,107.83,103.69,104.77
apparentTemperatureHighTime,1579676160,1579762860,1579850460,1579935720,1580020200,1580108820,1580197920,1580283120,1580371140,1580457360,1580543820,1580630460,1580716740,1580802660,1580889600,1580975580,1581062520,1581148320,1581235320,1581321960,1581407880,1581493980,1581580320,1581666720,1581752340,1581832740,1581925560,1582012200,1582099140,1582185720,1582271760,1582358400,1582444860,1582531260,1582617540,1582703880,1582789380,1582876860,1582962300,1583049060,1583135400,1583221560,1583308620,1583395140,1583481360,1583567220,1583647440,1583740560,1583810820,1583913120,1583999400,1584086280,1584172740,1584258600,1584345300
apparentTemperatureLow,73.71,72.31,71.94,73.77,74.32,70.62,72.94,74.36,71.43,68.85,67.91,66.16,68.55,71.01,68.04,67.71,65.85,75.55,74.04,71.93,75.99,73.58,76.36,74.46,74.35,77.51,73.93,71.61,71.32,71.13,72.6,72.31,71.47,68.69,72.24,75.15,73.31,74.3,74.84,76.96,75.88,75.82,75.29,75.3,75.84,77.76,79.12,78.24,79.57,76.78,78.25,78.41,75.6,78.4,76.99
apparentTemperatureLowTime,1579730700,1579817040,1579906260,1579992900,1580076720,1580165040,1580249700,1580339460,1580424540,1580511300,1580594820,1580681460,1580770380,1580854920,1580941020,1581027900,1581115440,1581199620,1581285600,1581375300,1581459240,1581545220,1581632520,1581717840,1581806880,1581893160,1581979740,1582064580,1582150560,1582236840,1582323120,1582412220,1582501260,1582581480,1582667940,1582755180,1582844040,1582927440,1583013840,1583100120,1583186460,1583272920,1583359380,1583445180,1583532300,1583618580,1583707260,1583793840,1583877960,1583964420,1584053160,1584137820,1584223260,1584310680,1584395460
apparentTemperatureMax,100.57,99.16,95.32,99.76,99.28,96.9,95.06,98.78,91.23,92.69,94.28,91.81,93.07,93.83,93.61,93.36,94.65,95.78,91.96,91.33,99.66,101.51,102.6,101.73,104.39,103.2,103.6,97.04,95.46,95.26,96.65,96.03,95.37,95,94.87,98.54,98.91,96.01,97.82,101.65,104.34,101.75,104.94,104.09,102.77,105.2,109.95,108.83,109.74,107.83,106.56,106.94,107.83,103.69,104.77
apparentTemperatureMaxTime,1579676160,1579762860,1579850460,1579935720,1580020200,1580108820,1580197920,1580283120,1580371140,1580457360,1580543820,1580630460,1580716740,1580802660,1580889600,1580975580,1581062520,1581148320,1581235320,1581321960,1581407880,1581493980,1581580320,1581666720,1581752340,1581832740,1581925560,1582012200,1582099140,1582185720,1582271760,1582358400,1582444860,1582531260,1582617540,1582703880,1582789380,1582876860,1582962300,1583049060,1583135400,1583221560,1583308620,1583395140,1583481360,1583567220,1583647440,1583740560,1583810820,1583913120,1583999400,1584086280,1584172740,1584258600,1584345300
