,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333,53.9333
Long,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765,-116.5765
apparentTemperatureLow,9.84,21.65,18.18,7.8,12.57,6.18,7.55,14.24,17.58,20.17,2.21,-5.55,-5.61,10.9,14.21,8.98,3.66,7.72,8.63,18.06,-3.62,3.33,6.97,0.73,4.71,-17,-12.49,-0.94,8.6,13.21,15.03,2.36,0.43,5.51,12.33,20.48,18.27,19.18,2.49,15.21,14.68,12.71,7.3,2.26,-4.83,-10.73,-0.53,7.16,11.14,7.82,-23.93,-19.82,-20.64,0.41,7.18
precipIntensity,0.0013,0.0004,0.0009,0.0001,0.0001,0.0001,0.0001,0.0006,0.0001,0.0053,0.0013,0.0026,0.0002,0.0005,0.0018,0.0004,0.0003,0.0002,0.0007,0.0002,0.0143,0.0007,0.0055,0.0028,0.0009,0.0006,0.0048,0.0004,0.0001,0.0001,0.0002,0.0004,0.0001,0.0002,0.0002,0.0005,0.0001,0.0003,0.0158,0.0016,0.0011,0.0075,0.0023,0.0001,0.0032,0.0054,0.0003,0.0002,0.0015,0.0038,0.0027,0.0009,0.0003,0.0001,0.0001
temperatureHighTime,1579723440,1579816500,1579896180,1579982640,1580069400,1580155380,1580247600,1580336580,1580420700,1580500920,1580565600,1580674260,1580766720,1580853480,1580943660,1581019200,1581106140,1581198540,1581272700,1581372420,1581446400,1581544260,1581630720,1581688800,1581805260,1581883560,1581979920,1582062840,1582149000,1582235280,1582315140,1582400880,1582494420,1582581000,1582667760,1582753620,1582833660,1582919160,1583005380,1583099400,1583185920,1583265780,1583351820,1583445600,1583503200,1583617680,1583707740,1583792700,1583877360,1583963400,1584028380,1584136860,1584223200,1584309300,1584395640
temperatureMax,33.17,37.27,37.54,36.08,29.17,34.45,29.57,35.62,34.16,33.26,37.99,20.08,14.62,27.42,31.26,29.55,27.31,25.05,30.09,32.13,30.79,20.95,32.96,22.35,31.09,20.38,7.73,24.65,37.27,35.91,38.54,28.79,28.08,27.19,31.78,37.31,40.85,36.56,29.05,33.72,32.64,33.07,29.6,35.13,27.82,11.66,26.66,32.93,36.31,28.64,21.35,2.59,4.75,24.71,39.33
windSpeed,4.89,5.69,3.55,4.78,4.67,5.66,4.05,7.29,9.96,7.37,11.66,6.37,4.59,8.47,7.32,9.61,4.54,5.57,13.59,7.73,8.67,4.42,6.16,6.3,5.02,4.81,4.49,3.15,4.98,7.37,8.04,9.41,3.94,2.62,3.87,8.37,8.75,6.36,7.35,8.28,13.37,10.05,10.52,5.54,6.73,3.22,3.3,7.75,9.17,10.64,8.21,6.54,4.98,3.8,4.32
apparentTemperatureMin,14.47,9.84,21.65,15.15,7.8,12.57,6.18,7.55,14.24,17.57,3.45,-0.06,-5.55,-5.61,10.9,13.44,8.98,3.66,7.72,8.63,4.42,-3.62,7.97,-1.36,1.92,1.01,-17,-12.49,-0.94,8.6,13.21,9.68,2.36,0.43,5.51,12.33,20.48,18.27,3.23,2.49,15.08,14.68,11.05,7.3,-2.59,-4.83,-10.73,-0.53,7.16,10.45,-10.06,-23.99,-19.94,-20.64,0.41
