,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827,49.2827
Long,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207,-123.1207
apparentTemperatureLow,37.67,43.26,39.93,39.28,39.7,37,39.69,36.84,37.99,40.11,26.95,29.41,26.41,28.07,35.88,33.68,33.06,29.99,32.27,33.71,39.22,35.6,33.43,34.27,31.65,29.67,29.47,28.77,30.45,31.11,36.39,32.48,30.64,32.16,38.61,38.89,35.79,32.38,33.35,34.01,37.57,34.1,36.32,32.4,30.37,31.47,30.82,32.25,32.9,31.88,32.3,22.1,20.65,29.64,32.39
precipIntensity,0.0344,0.0919,0.0376,0.0106,0.0281,0.0192,0.0078,0.0541,0.027,0.1064,0.018,0.0082,0.0022,0.0318,0.0103,0.0069,0.0255,0.0046,0.0009,0.0009,0.0026,0.0013,0.0193,0.0035,0.0267,0.0015,0.0008,0.001,0.0009,0.0011,0.0022,0.0172,0.029,0.0009,0.0043,0.0025,0.005,0.0229,0.0071,0.0022,0.0256,0.0076,0.0015,0.0174,0.001,0.0054,0.0012,0.0008,0.0209,0.0016,0.0008,0.0008,0.0008,0.0006,0.0007
temperatureHighTime,1579719840,1579824000,1579895940,1579992000,1580068740,1580155560,1580248320,1580341560,1580421180,1580521740,1580569200,1580680680,1580770320,1580866980,1580948280,1581019320,1581124020,1581199320,1581285660,1581375000,1581458400,1581544800,1581635580,1581717360,1581807480,1581893280,1581978540,1582063320,1582149960,1582236240,1582322400,1582415280,1582499580,1582581300,1582661220,1582761780,1582844640,1582920120,1583012940,1583092740,1583200800,1583271960,1583361600,1583437680,1583532060,1583618940,1583708160,1583794320,1583881560,1583963700,1584053820,1584129660,1584224580,1584317820,1584396540
temperatureMax,45.49,50.02,50.29,48.49,51.04,47.89,48.4,48.84,47.61,52.31,50.8,41.84,41.2,35.79,40.97,43.07,46.35,47.7,42.54,44.64,46.46,46.89,45.66,48.57,45.95,45.46,44.84,45.2,47.44,48.96,49.8,45.82,46.72,46.17,43.79,47.38,49.22,47.12,48.5,45.13,44.38,47.66,48.61,46.58,46.69,44.96,45.21,47.14,44.38,49.68,47.69,46.86,41.41,46.95,52.49
windSpeed,6.9,7.91,6.33,5,8.64,7,4.16,7.11,5.99,8.75,11.21,5.72,3.96,6.24,3.74,3.02,5.97,5,3.09,2.56,3.84,2.1,5.72,5.51,5.58,5.79,3.93,3.86,3.47,3.18,3.96,4.99,10.01,7.68,3.91,2.87,4.95,6.75,8.17,3.67,5.39,6.8,6.17,6.34,3.6,3.96,3.62,3.09,6.82,10.67,4.86,6.67,9.64,6.61,4.45
apparentTemperatureMin,37.67,38.77,41.12,39.93,39.28,37.39,37,37.44,36.84,39.04,32.6,26.95,29.41,26.41,29.75,35.88,33.68,33.06,29.97,32.27,33.71,37.72,35.58,33.43,34.27,31.65,29.67,29.47,28.77,30.45,31.11,36.39,32.48,30.64,32.16,38.85,38.89,35.79,32.38,33.35,34.01,36.61,34.1,36.32,32.4,30.37,31.47,30.82,32.25,32.9,31.88,30.61,22.1,20.65,29.64
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,partly-cloudy-day,rain,clear-day,clear-day,clear-day
