,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess,Grand Princess
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489,37.6489
Long,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655,-122.6655
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Light rain in the morning.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Windy until evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Windy in the afternoon and evening.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible drizzle overnight.,Light rain throughout the day.,"Light rain until afternoon, starting again overnight.",Light rain in the morning and overnight.
icon,rain,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,wind,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,partly-cloudy-day,cloudy,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain
sunriseTime,1579706580,1579792920,1579879320,1579965660,1580052000,1580138400,1580224740,1580311080,1580397420,1580483820,1580570160,1580656500,1580742840,1580829180,1580915520,1581001860,1581088200,1581174540,1581260880,1581347220,1581433560,1581519900,1581606240,1581692580,1581778920,1581865260,1581951540,1582037880,1582124220,1582210560,1582296840,1582383180,1582469520,1582555800,1582642140,1582728480,1582814760,1582901100,1582987440,1583073720,1583160060,1583246340,1583332680,1583419020,1583505300,1583591640,1583677920,1583764260,1583850540,1583936880,1584023160,1584109500,1584195780,1584282120,1584368400
sunsetTime,1579742640,1579829100,1579915560,1580002020,1580088480,1580175000,1580261460,1580347920,1580434380,1580520840,1580607300,1580693760,1580780220,1580866740,1580953200,1581039660,1581126120,1581212580,1581299040,1581385500,1581471960,1581558420,1581644940,1581731400,1581817860,1581904320,1581990780,1582077240,1582163700,1582250160,1582336620,1582423080,1582509540,1582596000,1582682460,1582768920,1582855380,1582941840,1583028300,1583114760,1583201220,1583287680,1583374140,1583460600,1583547060,1583633520,1583719980,1583806440,1583892900,1583979360,1584065820,1584152280,1584238740,1584325200,1584411600
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
