,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609,53.7609
Long,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139,-98.8139
time,1579672800,1579759200,1579845600,1579932000,1580018400,1580104800,1580191200,1580277600,1580364000,1580450400,1580536800,1580623200,1580709600,1580796000,1580882400,1580968800,1581055200,1581141600,1581228000,1581314400,1581400800,1581487200,1581573600,1581660000,1581746400,1581832800,1581919200,1582005600,1582092000,1582178400,1582264800,1582351200,1582437600,1582524000,1582610400,1582696800,1582783200,1582869600,1582956000,1583042400,1583128800,1583215200,1583301600,1583388000,1583474400,1583560800,1583647200,1583730000,1583816400,1583902800,1583989200,1584075600,1584162000,1584248400,1584334800
summary,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Foggy in the morning.,Foggy in the morning.,Mostly cloudy throughout the day.,"Foggy until morning, starting again in the evening.",Foggy in the morning.,Mostly cloudy throughout the day.,Foggy until evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy until evening.,Mostly cloudy throughout the day.,Foggy throughout the day.,Foggy overnight.,Foggy in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Partly cloudy throughout the day.,Foggy in the evening and overnight.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy overnight.,Snow (< 1 in.) in the morning.,Foggy in the morning.,Foggy in the morning and afternoon.,Partly cloudy throughout the day.,"Foggy until afternoon, starting again overnight.",Foggy until evening.,Foggy overnight.,Snow (2–5 in.) in the morning.,Foggy in the evening.,Foggy overnight.,Foggy in the morning and overnight.,Foggy in the morning.,Mostly cloudy throughout the day.,Foggy overnight.,Foggy throughout the day.,Foggy in the morning and afternoon.,Clear throughout the day.,Foggy throughout the day.,Foggy throughout the day.,Foggy in the morning and afternoon.,Partly cloudy throughout the day.,Foggy in the evening.,Mostly cloudy throughout the day.
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,cloudy,cloudy,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,snow,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,snow,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,snow,partly-cloudy-day,clear-day,snow,snow,cloudy,partly-cloudy-day,partly-cloudy-day,snow
sunriseTime,1579703880,1579790220,1579876500,1579962840,1580049120,1580135460,1580221740,1580308080,1580394360,1580480700,1580566980,1580653260,1580739540,1580825880,1580912160,1580998440,1581084720,1581171000,1581257280,1581343560,1581429840,1581516120,1581602400,1581688680,1581774960,1581861240,1581947520,1582033800,1582120080,1582206360,1582292580,1582378860,1582465140,1582551420,1582637640,1582723920,1582810200,1582896480,1582982700,1583068980,1583155260,1583241480,1583327760,1583413980,1583500260,1583586540,1583672760,1583759040,1583845260,1583931540,1584017820,1584104040,1584190320,1584276540,1584362820
sunsetTime,1579733880,1579820400,1579906920,1579993440,1580079900,1580166420,1580252940,1580339460,1580425980,1580512500,1580599020,1580685540,1580772060,1580858580,1580945100,1581031620,1581118140,1581204660,1581291180,1581377700,1581464220,1581550740,1581637260,1581723780,1581810300,1581896820,1581983340,1582069860,1582156380,1582242900,1582329420,1582415940,1582502460,1582588980,1582675500,1582762020,1582848540,1582935060,1583021580,1583108100,1583194620,1583281140,1583367660,1583454180,1583540640,1583627160,1583713680,1583800200,1583886720,1583973240,1584059760,1584146280,1584232740,1584319260,1584405780
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
