,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355,53.1355
Long,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604,-57.6604
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583722800,1583809200,1583895600,1583982000,1584068400,1584154800,1584241200,1584327600
summary,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy starting in the afternoon.,Foggy throughout the day.,Clear throughout the day.,"Foggy until afternoon, starting again overnight.",Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Dangerously windy overnight.,Dangerously windy throughout the day.,Windy in the morning.,Mostly cloudy throughout the day.,Clear throughout the day.,Foggy overnight.,Foggy in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Foggy in the afternoon.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Foggy in the evening and overnight.,Foggy until evening.,Foggy in the evening.,Clear throughout the day.,Foggy throughout the day.,Foggy in the morning and afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Foggy in the morning.,Windy in the evening and overnight.,Snow (2–5 in.) in the morning and afternoon.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy in the evening and overnight.,Mostly cloudy throughout the day.,Windy overnight.,Snow (6–9 in.) in the morning and afternoon.,Windy and foggy in the morning.,Clear throughout the day.
icon,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,snow,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,wind,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,snow,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,cloudy,snow,partly-cloudy-day,partly-cloudy-day,snow,snow,snow,wind,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,snow,snow,clear-day
sunriseTime,1579693860,1579780140,1579866480,1579952820,1580039100,1580125440,1580211720,1580298060,1580384340,1580470680,1580556960,1580643240,1580729580,1580815860,1580902140,1580988480,1581074760,1581161040,1581247320,1581333600,1581419880,1581506160,1581592440,1581678720,1581765000,1581851280,1581937560,1582023840,1582110120,1582196400,1582282680,1582368900,1582455180,1582541460,1582627740,1582714020,1582800240,1582886520,1582972800,1583059080,1583145300,1583231580,1583317860,1583404080,1583490360,1583576640,1583662860,1583749140,1583835420,1583921640,1584007920,1584094140,1584180420,1584266700,1584352920
sunsetTime,1579724160,1579810680,1579897200,1579983660,1580070180,1580156700,1580243220,1580329740,1580416260,1580502780,1580589300,1580675820,1580762340,1580848860,1580935380,1581021840,1581108360,1581194880,1581281400,1581367920,1581454440,1581540960,1581627480,1581714000,1581800520,1581887040,1581973560,1582060080,1582146600,1582233120,1582319640,1582406160,1582492680,1582579200,1582665660,1582752180,1582838700,1582925220,1583011740,1583098260,1583184780,1583271300,1583357820,1583444280,1583530800,1583617320,1583703840,1583790360,1583876880,1583963340,1584049860,1584136380,1584222900,1584309420,1584395880
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.66,0.7,0.74,0.77
