,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario,Ontario
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538,51.2538
Long,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232,-85.3232
apparentTemperatureLow,-6.01,-14.75,6.59,10.25,2.73,-8.01,-4.6,-16.95,-2.86,13.96,12.88,8.53,-15.15,-20.92,-34.67,-47.13,-37.58,-8.21,-6.78,-3.54,-39.15,-48.9,-40.92,-8.5,-27.82,-27.25,-10.58,-36.3,-24.88,-1.98,16.04,-0.37,-2.5,-8.03,-24.12,-26.47,-25.14,-25.76,-7.05,14.1,1.19,3.04,-16.19,-23.37,-0.64,-25.97,-25.38,-22.36,-15.58,-6.04,17.33,-16.62,-24.88,2.46,4.85
precipIntensity,0.0009,0.0013,0.0008,0.0009,0.0014,0.001,0.0011,0.0007,0.0008,0.0008,0.0019,0.0017,0.0014,0.0009,0.0028,0.0009,0.0007,0.0009,0.0012,0.0011,0.0015,0.0023,0.0006,0.0007,0.0053,0.001,0.0025,0.0016,0.0008,0.0011,0.001,0.0008,0.0038,0.0012,0.0011,0.0008,0.0021,0.0029,0.0006,0.0054,0.0035,0.005,0.0055,0.0006,0.0009,0.0011,0.0074,0.0064,0.0007,0.001,0.0061,0.0268,0.0008,0.0006,0.0035
temperatureHighTime,1579722780,1579808940,1579895940,1579982160,1580057220,1580154420,1580241180,1580327760,1580414340,1580500680,1580586360,1580671860,1580755800,1580846220,1580932800,1581019380,1581106560,1581195720,1581278460,1581368520,1581457560,1581537780,1581627660,1581716160,1581798840,1581887100,1581975360,1582052160,1582146960,1582230120,1582320060,1582401240,1582487340,1582575120,1582660380,1582746900,1582837200,1582923420,1583010060,1583092920,1583150400,1583272320,1583351880,1583438460,1583526720,1583610780,1583695200,1583783520,1583874060,1583958180,1584050760,1584097200,1584216360,1584308640,1584388380
temperatureMax,29.73,14.67,19.08,25.52,22.6,22.44,16.9,17.04,18.08,26.79,32.77,28.78,25.26,11.22,21,-4.81,-7.6,10.66,16.44,22.72,22.65,23.86,-6.29,14.29,23.21,5.81,17.36,12.37,0.58,16.7,32.25,39.59,26.67,23.99,13.98,8.96,5.95,10.59,20.4,31.13,33.84,31.05,24.01,16.54,24.34,36.37,1.31,13.11,16.03,23.82,34.26,31.58,17.09,20.83,35.31
windSpeed,11.64,4.85,3.34,4.07,7.95,5.53,5.19,3.41,4.12,5.7,7.26,5.21,6.24,8.38,10.51,5.23,4.45,7.19,6.1,6.99,8.36,10.44,5.73,7.94,10.98,8.15,5.58,7.72,9.11,11.06,13.09,7.28,8.4,6.31,7.35,5.95,11.1,13.74,5.28,7.57,10.11,6.53,8.05,5.26,5.22,10.46,11.1,8.37,5.73,5.56,7.46,13.6,9.57,4.95,10.19
apparentTemperatureMin,4.75,-10.04,-14.75,7.55,2.73,2.08,-8.37,-9.25,-16.95,2.31,15.75,12.88,0.18,-18.33,-20.92,-36.39,-47.13,-37.58,-6.39,-6.78,-3.54,-41.17,-48.9,-40.92,-10.2,-27.82,-27.25,-20.66,-36.3,-24.88,-1.21,13.1,-0.37,-2.5,-11.6,-24.12,-26.5,-25.14,-25.76,-7.05,6.18,1.19,-3.2,-16.19,-23.37,-11.83,-28.64,-25.38,-22.36,-15.58,-6.04,-0.06,-16.81,-24.88,2.7
