,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399
Long,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491,-73.5491
apparentTemperatureLow,-2.34,-23.1,-16.4,11.89,-15.61,-23.33,-28.58,-25.88,-17.93,-8.9,2.85,6.21,-3.36,-32.3,-23.85,-39.92,-41.22,-35.43,-19.58,-13.08,-17.6,-49.41,-55.61,-44.02,-3.67,-46.02,-26.63,-33.84,-51.29,-31.64,2.54,-11.73,-13.97,-11.23,-23.47,-27.4,-11.06,-18.66,-16.7,-16.28,-5.75,-8.99,-24.41,-27.97,-30.52,-44.93,-46.97,-28.28,-28.09,-31.01,-13.11,0.16,-33.52,-36.89,-6.13
precipIntensity,0.0034,0.002,0.0001,0.0031,0.0047,0.0001,0.0002,0.0001,0.0003,0.0004,0.0012,0.0011,0.0021,0.003,0.0012,0.0009,0.0001,0.0002,0.0026,0.0012,0.0027,0.0043,0.0002,0.0002,0.0049,0.0038,0.0001,0.0064,0.0025,0.0003,0.0034,0.0044,0.0001,0.0047,0.0003,0.0001,0.0007,0.0044,0.0001,0.0001,0.0047,0.0013,0.0001,0.0002,0.0001,0.0021,0.0003,0.0002,0.0015,0.0008,0.0002,0.0128,0.0065,0.0002,0.0004
temperatureHighTime,1579737600,1579780800,1579894500,1579996800,1580067120,1580144580,1580234640,1580326080,1580413620,1580497680,1580585880,1580664000,1580749860,1580831340,1580943600,1580990400,1581103740,1581190440,1581292800,1581363360,1581450600,1581528540,1581622380,1581709680,1581811200,1581854400,1581968940,1582055520,1582113600,1582228980,1582329600,1582389960,1582487220,1582573080,1582658580,1582746660,1582830360,1582919220,1583005740,1583092380,1583186160,1583265180,1583348580,1583437680,1583524500,1583619900,1583697300,1583784540,1583870460,1583956380,1584042900,1584118980,1584183600,1584301980,1584393900
temperatureMax,24.88,23.9,8.26,22.89,28.22,16.01,6.72,0.99,8.65,13.63,18.13,22.86,23.29,15.44,3.05,9.01,-8.84,-5.98,10.82,8.19,21.31,19.74,-15.73,-14.61,15.74,17.57,-2,14.02,10.67,-3.98,20.93,25.18,13.68,29.01,16.47,8.08,15.69,17.14,17.78,14.69,25.38,21.87,19.15,11.75,8.91,19.47,11.2,1.37,15.3,9.23,15.11,22.59,19.95,7.65,15.67
windSpeed,16.1,12.15,6.71,7.14,8.07,9.84,5.57,3.75,7.99,8.04,11.02,9.01,6.41,11.45,12.35,11.12,4.98,7.5,15.1,6.01,12.29,14.59,8.71,8.33,15.59,13.24,9.08,10.2,15.57,12.15,15.54,15.23,3.79,9.57,5.85,4.57,13.1,12.26,4.32,4.15,16.81,9.54,6.86,6.58,4.34,11.63,8.4,4.45,10.65,7.82,6.93,18.92,16.41,7.43,15.56
apparentTemperatureMin,-9.33,-18.71,-23.1,-16.39,3.83,-20.08,-24.9,-28.58,-25.88,-17.93,-8.9,3.03,3.12,-21.85,-32.3,-29.03,-40.04,-41.22,-32.99,-19.58,-9.11,-38.76,-49.41,-55.61,-40.21,-36.53,-46.02,-23.01,-48.13,-51.29,-31.64,-9.8,-13.97,-11.31,-18.11,-27.18,-27.4,-13.41,-18.66,-16.7,-15.1,-5.75,-14.47,-24.41,-27.97,-30.52,-44.93,-46.97,-28.01,-28.09,-31.01,-13.11,-15.87,-33.52,-36.89
