,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Lat,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399,52.9399
Long,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509,-106.4509
time,1579672800,1579759200,1579845600,1579932000,1580018400,1580104800,1580191200,1580277600,1580364000,1580450400,1580536800,1580623200,1580709600,1580796000,1580882400,1580968800,1581055200,1581141600,1581228000,1581314400,1581400800,1581487200,1581573600,1581660000,1581746400,1581832800,1581919200,1582005600,1582092000,1582178400,1582264800,1582351200,1582437600,1582524000,1582610400,1582696800,1582783200,1582869600,1582956000,1583042400,1583128800,1583215200,1583301600,1583388000,1583474400,1583560800,1583647200,1583733600,1583820000,1583906400,1583992800,1584079200,1584165600,1584252000,1584338400
summary,Foggy overnight.,Foggy in the morning.,Partly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Foggy overnight.,Foggy throughout the day.,Foggy in the morning.,Foggy in the morning.,Windy in the morning and afternoon.,Foggy in the evening.,Windy in the morning.,Clear throughout the day.,Clear throughout the day.,Foggy throughout the day.,Foggy overnight.,Foggy in the morning and overnight.,Foggy in the morning.,Mostly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Foggy in the morning and overnight.,Foggy in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Foggy in the evening and overnight.,Partly cloudy throughout the day.,Possible flurries (< 1 in.) in the afternoon.,Mostly cloudy throughout the day.,Foggy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Foggy throughout the day.,Foggy in the morning.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Overcast throughout the day.,Foggy in the morning.,Clear throughout the day.
icon,cloudy,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,cloudy,cloudy,cloudy,partly-cloudy-day,wind,snow,wind,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,snow,snow,snow,snow,snow,partly-cloudy-day,partly-cloudy-day,snow,partly-cloudy-day,clear-day,clear-day,snow,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,clear-day
sunriseTime,1579705500,1579791840,1579878120,1579964460,1580050800,1580137080,1580223420,1580309700,1580396040,1580482320,1580568600,1580654940,1580741220,1580827500,1580913840,1581000120,1581086400,1581172680,1581258960,1581345300,1581431580,1581517860,1581604140,1581690420,1581776700,1581862980,1581949260,1582035540,1582121760,1582208040,1582294320,1582380600,1582466880,1582553160,1582639440,1582725660,1582811940,1582898220,1582984500,1583070720,1583157000,1583243280,1583329500,1583415780,1583502060,1583588280,1583674560,1583760840,1583847060,1583933340,1584019620,1584105840,1584192120,1584278340,1584364620
sunsetTime,1579735920,1579822440,1579908960,1579995480,1580081940,1580168460,1580254980,1580341500,1580428020,1580514540,1580601060,1580687580,1580774100,1580860620,1580947080,1581033600,1581120120,1581206640,1581293160,1581379680,1581466200,1581552720,1581639240,1581725760,1581812280,1581898800,1581985320,1582071840,1582158360,1582244880,1582331400,1582417860,1582504380,1582590900,1582677420,1582763940,1582850460,1582936980,1583023500,1583110020,1583196480,1583283000,1583369520,1583456040,1583542560,1583629080,1583715540,1583802060,1583888580,1583975100,1584061620,1584148080,1584234600,1584321120,1584407640
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
