,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic
Lat,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111,6.6111
Long,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394,20.9394
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,96.86,94.39,94.41,94.44,97.52,98.41,98.94,100.4,100.35,100.69,98.75,99.82,100.85,99.04,98.66,98.96,101.94,103.3,102.13,100.02,98.93,99.13,99.15,100.67,101.92,103.17,102.72,97.03,102.42,101.21,102.21,104.06,102.42,105.15,97.94,101.05,103.35,105.35,105.18,103.68,98.27,100.41,104.73,102.63,104.17,101.16,104.69,101.91,102.04,101.18,95.18,98.43,100.69,101.18,104.61
apparentTemperatureHighTime,1579700520,1579786380,1579872060,1579960080,1580046300,1580132520,1580214960,1580303580,1580388960,1580472540,1580559660,1580645820,1580735400,1580818920,1580908680,1580996340,1581081900,1581168480,1581250980,1581341220,1581429480,1581514140,1581601740,1581688080,1581773460,1581860880,1581944640,1582026360,1582121340,1582207020,1582291380,1582378380,1582460100,1582549200,1582632900,1582722660,1582810500,1582896480,1582984380,1583069100,1583150460,1583243340,1583327580,1583409780,1583503200,1583581680,1583667840,1583751240,1583838480,1583925960,1584011340,1584106980,1584186540,1584279300,1584356880
apparentTemperatureLow,61.1,59.52,59.75,61.81,61.24,63.33,63.25,62.57,65.68,61.98,62.23,64.06,65.61,65.19,66.3,72.97,70.49,72.93,71.79,68.48,62.26,61.96,65.75,67.18,67.87,70.79,75.3,71.7,75.35,69.39,72.65,70.48,68.5,68.66,73,67.52,69.78,76.57,77.2,71.66,70.85,69.54,69.8,72.72,74.14,74.34,74.22,79.04,77.79,75.91,71.93,67,75.72,72.69,74.45
apparentTemperatureLowTime,1579755060,1579841400,1579924860,1580010720,1580100420,1580183520,1580262840,1580359260,1580445240,1580531160,1580617920,1580704440,1580790780,1580868180,1580954460,1581047880,1581137280,1581223260,1581301020,1581396180,1581481740,1581569160,1581654840,1581732180,1581826860,1581904560,1582001400,1582087860,1582173960,1582259340,1582337280,1582432740,1582518840,1582602720,1582689600,1582772040,1582855140,1582951140,1583026980,1583114820,1583200680,1583294100,1583373720,1583459940,1583546340,1583633220,1583727840,1583805480,1583891940,1583968740,1584066300,1584157380,1584247920,1584324480,1584410400
apparentTemperatureMax,96.86,94.39,94.41,94.44,97.52,98.41,98.94,100.4,100.35,100.69,98.75,99.82,100.85,99.04,98.66,98.96,101.94,103.3,102.13,100.02,98.93,99.13,99.15,100.67,101.92,103.17,102.72,97.03,102.42,101.21,102.21,104.06,102.42,105.15,97.94,101.05,103.35,105.35,105.18,103.68,98.27,100.41,104.73,102.63,104.17,101.16,104.69,101.91,102.04,101.18,95.18,98.43,100.69,101.18,104.61
apparentTemperatureMaxTime,1579700520,1579786380,1579872060,1579960080,1580046300,1580132520,1580214960,1580303580,1580388960,1580472540,1580559660,1580645820,1580735400,1580818920,1580908680,1580996340,1581081900,1581168480,1581250980,1581341220,1581429480,1581514140,1581601740,1581688080,1581773460,1581860880,1581944640,1582026360,1582121340,1582207020,1582291380,1582378380,1582460100,1582549200,1582632900,1582722660,1582810500,1582896480,1582984380,1583069100,1583150460,1583243340,1583327580,1583409780,1583503200,1583581680,1583667840,1583751240,1583838480,1583925960,1584011340,1584106980,1584186540,1584279300,1584356880
apparentTemperatureMin,63.21,61.1,59.52,59.75,61.81,61.24,63.33,63.25,62.57,65.68,61.98,62.23,64.06,65.61,65.19,66.3,72.97,70.49,72.93,71.79,68.48,62.26,61.96,65.75,67.18,67.87,70.79,75.3,71.7,75.35,69.39,72.65,70.48,68.5,68.66,73,67.52,69.78,76.57,77.2,71.66,70.85,69.54,69.8,72.72,74.14,74.34,74.22,79.04,77.79,75.91,71.93,67,75.72,72.69
apparentTemperatureMinTime,1579668780,1579755060,1579841400,1579924860,1580010720,1580100420,1580183520,1580262840,1580359260,1580445240,1580531160,1580617920,1580704440,1580790780,1580868180,1580954460,1581047880,1581137280,1581223260,1581301020,1581396180,1581481740,1581569160,1581654840,1581732180,1581826860,1581904560,1582001400,1582087860,1582173960,1582259340,1582337280,1582432740,1582518840,1582602720,1582689600,1582772040,1582855140,1582951140,1583026980,1583114820,1583200680,1583294100,1583373720,1583459940,1583546340,1583633220,1583727840,1583805480,1583891940,1583968740,1584066300,1584157380,1584247920,1584324480
cloudCover,0.44,0.4,0.26,0.65,0.69,0.15,0.42,0.15,0.53,0.47,0.34,0.1,0.28,0.21,0.36,0.49,0.59,0.29,0.84,0.34,0.25,0.5,0.18,0.03,0.5,0.48,0.28,0.78,0.78,0.64,0.32,0.31,0.39,0.49,0.54,0.46,0.23,0.3,0.55,0.4,0.81,0.32,0.06,0.39,0.16,0.75,0.86,0.44,0.6,0.77,0.74,0.73,0.82,0.36,0.61
dewPoint,20.39,16.01,15.23,17.77,25.5,31.1,26.06,20.46,22.73,21.11,23.66,30.83,33.44,31.83,37.2,42.68,34.63,37.31,34.09,33.72,28.06,24.53,29.04,28.87,29.97,31.44,48.32,61.58,64.62,59.01,36.15,32.62,27.72,24.41,45.35,34.88,32.82,32.67,36.27,34.84,54.05,58.73,38.93,46.09,49.24,63.06,64.87,62.33,64.7,63.36,60.68,55.44,36.83,53.17,55.14
humidity,0.12,0.11,0.11,0.12,0.15,0.2,0.16,0.12,0.14,0.12,0.14,0.19,0.21,0.19,0.23,0.27,0.19,0.2,0.17,0.17,0.15,0.15,0.18,0.16,0.16,0.16,0.29,0.48,0.57,0.46,0.19,0.15,0.13,0.12,0.27,0.2,0.18,0.16,0.17,0.17,0.37,0.47,0.23,0.26,0.29,0.48,0.53,0.5,0.49,0.48,0.49,0.5,0.21,0.33,0.37
icon,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day
