,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
Lat,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751,-35.6751
Long,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543,-71.543
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,89.84,88.39,94.18,93.36,92.8,93.7,88.35,87.42,92.95,94.89,89.28,92.51,88.36,82.54,82.05,83.74,89.9,93.9,95.28,94.17,92.89,86.37,82.01,88.01,89.4,87.71,77.41,91.74,91.17,94.46,87.98,86.22,84.54,77.15,88.22,92.21,92.33,92.4,95,88.91,89.03,91.42,92.62,93.95,93.34,88.5,89.31,92.46,92.93,90.39,86.77,83.54,86.45,87.32,83.41
apparentTemperatureHighTime,1579719000,1579808940,1579896000,1579982280,1580068560,1580154720,1580231820,1580328240,1580414100,1580500800,1580582040,1580671500,1580760000,1580846400,1580932920,1581019140,1581105420,1581191760,1581278280,1581364620,1581451020,1581536100,1581623700,1581709800,1581796620,1581882720,1581969360,1582055820,1582141740,1582228260,1582314180,1582401600,1582487040,1582574400,1582660620,1582747020,1582833300,1582919760,1583005980,1583092200,1583179320,1583265540,1583352000,1583438040,1583524740,1583610600,1583697660,1583783760,1583870220,1583956020,1584042840,1584129600,1584215700,1584302220,1584388620
apparentTemperatureLow,57.49,58.49,53.45,58.65,59.04,58.96,51.95,52.52,53.42,57.5,54.85,45,50.23,44.32,45.98,44.53,47.93,54.8,55.53,56.42,53.5,45.81,42.4,47.15,48.6,53.97,43.85,49.04,46.92,52.15,51.11,50.2,46.8,44.38,47.4,50.48,51.56,53.02,54.5,52.36,52.08,50.72,52.01,52.25,51.91,48.94,51.01,51.85,52.36,52.92,52.77,47.77,44.32,44.35,47.48
apparentTemperatureLowTime,1579766520,1579853520,1579945560,1580026800,1580113740,1580199660,1580290380,1580372040,1580458440,1580544300,1580630820,1580716680,1580803200,1580889360,1580976120,1581062340,1581149640,1581235800,1581321960,1581408420,1581494760,1581581460,1581668040,1581753660,1581840360,1581926520,1582013280,1582099560,1582186800,1582272420,1582358340,1582444680,1582531440,1582618020,1582705080,1582790820,1582881780,1582963680,1583049360,1583136120,1583222580,1583309280,1583395500,1583482620,1583568600,1583661240,1583747520,1583833860,1583920200,1584000480,1584085860,1584180060,1584266100,1584352740,1584438600
apparentTemperatureMax,89.84,88.39,94.18,93.36,92.8,93.7,88.35,87.42,92.95,94.89,89.28,92.51,88.36,82.54,82.05,83.74,89.9,93.9,95.28,94.17,92.89,86.37,82.01,88.01,89.4,87.71,77.41,91.74,91.17,94.46,87.98,86.22,84.54,77.15,88.22,92.21,92.33,92.4,95,88.91,89.03,91.42,92.62,93.95,93.34,88.5,89.31,92.46,92.93,90.39,86.77,83.54,86.45,87.32,83.41
apparentTemperatureMaxTime,1579719000,1579808940,1579896000,1579982280,1580068560,1580154720,1580231820,1580328240,1580414100,1580500800,1580582040,1580671500,1580760000,1580846400,1580932920,1581019140,1581105420,1581191760,1581278280,1581364620,1581451020,1581536100,1581623700,1581709800,1581796620,1581882720,1581969360,1582055820,1582141740,1582228260,1582314180,1582401600,1582487040,1582574400,1582660620,1582747020,1582833300,1582919760,1583005980,1583092200,1583179320,1583265540,1583352000,1583438040,1583524740,1583610600,1583697660,1583783760,1583870220,1583956020,1584042840,1584129600,1584215700,1584302220,1584388620
apparentTemperatureMin,56.16,57.49,58.49,53.45,58.65,59.04,58.96,51.95,52.52,53.42,57.5,54.85,45,50.23,44.32,45.98,44.53,47.93,54.8,55.53,56.42,53.5,45.81,42.4,47.15,48.6,53.97,43.85,49.04,46.92,52.15,51.11,50.2,46.8,44.38,47.4,50.48,51.56,53.02,54.5,52.36,52.08,50.72,52.01,52.25,51.91,48.94,51.01,51.85,52.36,52.92,52.77,47.77,44.32,44.35
apparentTemperatureMinTime,1579685460,1579766520,1579853520,1579945560,1580026800,1580113740,1580199660,1580290380,1580372040,1580458440,1580544300,1580630820,1580716680,1580803200,1580889360,1580976120,1581062340,1581149640,1581235800,1581321960,1581408420,1581494760,1581581460,1581668040,1581753660,1581840360,1581926520,1582013280,1582099560,1582186800,1582272420,1582358340,1582444680,1582531440,1582618020,1582705080,1582790820,1582881780,1582963680,1583049360,1583136120,1583222580,1583309280,1583395500,1583482620,1583568600,1583661240,1583747520,1583833860,1583920200,1584000480,1584085860,1584180060,1584266100,1584352740
cloudCover,0,0.46,0.38,0,0.04,0.04,0.15,0.07,0.03,0.02,0.01,0.04,0,0.02,0,0,0,0,0,0,0,0.35,0,0,0.02,0,0.02,0.01,0,0,0,0,0,0.39,0,0.14,0,0,0,0,0.01,0,0.01,0.3,0.16,0.37,0.22,0.3,0.03,0.95,0.39,0.42,0.63,0,0.15
