,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257,31.8257
Long,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264,117.2264
Province/State,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui,Anhui
apparentTemperatureHigh,42.94,44.22,39.54,40.36,30.23,37.64,43.82,51.5,50.2,53.79,56.23,57.42,54.78,58.58,54.51,31.01,40.29,48.92,57.55,59.56,59.69,63.05,65.87,63.09,28.32,39.57,51.68,55.86,58.37,64.5,61.78,63.64,67.39,75.67,66.56,57.57,57,47.17,54.22,53.36,53.73,56.9,59.11,59.19,58.61,67.03,58.7,51.61,59.16,65.77,65.86,61.22,63.5,70.92,67.3
apparentTemperatureHighTime,1579680480,1579765920,1579841460,1579928640,1580003520,1580109060,1580195940,1580283360,1580367660,1580454600,1580540400,1580629380,1580713020,1580802120,1580885880,1580951100,1581062220,1581148800,1581234720,1581317820,1581406320,1581492720,1581577860,1581667200,1581721200,1581838500,1581924660,1582009140,1582098480,1582182900,1582271520,1582356360,1582443840,1582520700,1582617000,1582703340,1582788060,1582881960,1582962960,1583047680,1583125260,1583220420,1583305140,1583392920,1583470920,1583567340,1583652720,1583730540,1583825460,1583911620,1583988540,1584075480,1584170280,1584256380,1584343380
apparentTemperatureLow,38.9,35.91,30.38,28.43,28.21,27.19,26.59,27.51,30.61,29.09,33.24,33.22,31.63,32.71,29.03,31.01,33.8,31.81,33.4,42.74,41.25,43.86,53.73,27.01,16.73,18.96,29.25,35.03,35.67,40.73,36.52,36.83,55.75,59.56,43.13,33.13,42.45,41.85,40.73,34.62,36.9,36.25,32.52,37.93,41.61,44.51,50.69,41.07,40.29,45.64,47.97,36.96,37.76,43.85,48.89
apparentTemperatureLowTime,1579710300,1579816800,1579905720,1579987320,1580039400,1580164200,1580248980,1580334660,1580423220,1580510640,1580594160,1580680920,1580770200,1580859240,1580943540,1580986800,1581115980,1581205920,1581285660,1581368220,1581458340,1581543720,1581622980,1581724800,1581803160,1581893220,1581978300,1582048560,1582149540,1582241340,1582322340,1582401600,1582487820,1582588800,1582671240,1582754100,1582842120,1582905000,1583012520,1583099640,1583179140,1583272800,1583352360,1583428200,1583525580,1583612400,1583712000,1583790300,1583875740,1583956860,1584052620,1584128340,1584216180,1584311280,1584395640
apparentTemperatureMax,43.31,44.22,39.54,40.36,32.61,37.64,43.82,51.5,50.2,53.79,56.23,57.42,54.78,58.58,54.51,32.42,41.91,48.92,57.55,59.56,59.69,63.05,65.87,63.09,51.76,39.57,51.68,55.86,58.37,64.5,61.78,63.64,67.39,75.67,66.56,57.57,57,47.55,54.22,53.36,53.73,56.9,59.11,59.19,58.61,67.03,58.7,54.22,59.16,65.77,65.86,61.22,63.5,70.92,67.3
apparentTemperatureMaxTime,1579697880,1579765920,1579841460,1579928640,1579968000,1580109060,1580195940,1580283360,1580367660,1580454600,1580540400,1580629380,1580713020,1580802120,1580885880,1580918400,1581077460,1581148800,1581234720,1581317820,1581406320,1581492720,1581577860,1581667200,1581696000,1581838500,1581924660,1582009140,1582098480,1582182900,1582271520,1582356360,1582443840,1582520700,1582617000,1582703340,1582788060,1582890300,1582962960,1583047680,1583125260,1583220420,1583305140,1583392920,1583470920,1583567340,1583652720,1583683200,1583825460,1583911620,1583988540,1584075480,1584170280,1584256380,1584343380
apparentTemperatureMin,37.03,38.9,35.91,30.38,27.22,28.72,27.19,26.59,27.51,30.61,29.09,33.24,33.22,31.63,32.71,29.03,32.39,33.8,31.81,33.4,42.74,41.25,43.86,53.73,20.42,16.73,18.96,29.25,35.03,35.67,40.73,36.52,36.83,55.75,53,43.13,33.13,41.88,41.86,40.73,34.62,36.9,36.25,32.52,37.93,41.61,44.51,43.31,41.07,40.29,45.64,40.99,36.96,37.76,43.85
apparentTemperatureMinTime,1579640100,1579710300,1579816800,1579905720,1580019540,1580072220,1580164200,1580248980,1580334660,1580423220,1580510640,1580594160,1580680920,1580770200,1580859240,1580943540,1581004800,1581115980,1581205920,1581285660,1581368220,1581458340,1581543720,1581622980,1581765720,1581803160,1581893220,1581978300,1582048560,1582149540,1582241340,1582322340,1582401600,1582487820,1582642800,1582671240,1582754100,1582852680,1582905600,1583012520,1583099640,1583179140,1583272800,1583352360,1583428200,1583525580,1583612400,1583749440,1583790300,1583875740,1583956860,1584111600,1584128340,1584216180,1584311280
cloudCover,0.99,1,1,0.99,1,1,0.57,0.15,0,0,0.37,0.61,0.56,0.09,0.13,0.94,1,0.73,0.18,0.72,0.73,0.04,0.45,0.57,0.98,0.58,0.05,0.54,0.93,0.07,0.58,0.12,0.54,0.76,0.6,0.88,0.74,1,0.99,0.92,0.73,0.85,0.87,0.13,0.77,0.42,0.61,1,0.64,0.59,0.79,0.78,0.32,0.21,0.85
dewPoint,39.92,42.34,39.57,36.11,35.79,34.33,31.63,33.47,30.42,29.6,30.67,31.5,34.7,36.78,36.94,36.09,38.04,37.68,34.84,38.76,44.89,44.73,51.42,56.14,34.42,23.29,21.97,24.81,33.06,35.52,40.11,32.68,39.31,52.42,53.73,43.71,38.66,43.87,44.08,42.98,33.99,37.72,36.94,31.39,42.5,47.01,48.9,48.81,43.27,40.44,46.39,46.99,37.52,35.77,41.3
