,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824,40.1824
Long,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142,116.4142
Province/State,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing,Beijing
apparentTemperatureHigh,42.18,44.53,35.54,40.06,39.44,41.16,46.12,47.88,43.38,50.59,41.41,37.07,35.09,30.17,22.15,29.75,38.63,43.29,50.27,53.21,54.55,56.67,56.65,36.77,24.32,32.79,46.96,51.97,51.47,46.08,51.57,51.41,52.42,54,52.03,51.92,44.74,52.91,45.23,51.58,53.1,42.42,47.67,53.73,56.25,62.3,48.94,56.39,55.59,61.21,58.85,55.81,62.19,67.08,63.01
apparentTemperatureHighTime,1579672860,1579756020,1579856280,1579935540,1580014800,1580101740,1580195700,1580281020,1580370540,1580454000,1580541240,1580622720,1580715660,1580800920,1580889420,1580975640,1581059940,1581138480,1581231900,1581319320,1581406620,1581492540,1581579060,1581666840,1581743100,1581829500,1581925020,1582010520,1582097640,1582185840,1582266960,1582356600,1582444440,1582520580,1582607640,1582702380,1582788300,1582877160,1582963320,1583039820,1583134680,1583211780,1583308140,1583394600,1583480580,1583566020,1583654040,1583740140,1583825580,1583913780,1583989260,1584085860,1584171180,1584258720,1584347460
apparentTemperatureLow,17.87,23.07,13.72,19,27.18,29.01,25.5,23.83,21.84,16.85,27.55,14.39,11.14,9.54,14.87,10.23,11.74,15.27,21.54,26.69,26.55,28.38,33.56,11.59,15.64,19.05,19.29,27.37,27.94,28.86,27.32,22.15,28.15,40.85,30.5,30.69,27.66,33.21,28.95,27.94,25.08,19.92,18.8,29.61,29.7,36.89,40.76,29.93,28.89,33.25,27.88,35.49,45.25,28.73,39.2
apparentTemperatureLowTime,1579735980,1579822740,1579906560,1579989120,1580079360,1580167620,1580255880,1580340660,1580424660,1580513700,1580586120,1580676720,1580771880,1580859240,1580927880,1581025800,1581116280,1581204360,1581288600,1581375360,1581461040,1581545580,1581630780,1581723360,1581807360,1581892740,1581980100,1582044720,1582150740,1582240980,1582324080,1582405320,1582495560,1582586940,1582669980,1582753440,1582843860,1582919400,1583015580,1583101440,1583191500,1583271060,1583358060,1583444820,1583533740,1583604000,1583698620,1583788200,1583876160,1583957820,1584048780,1584133200,1584219600,1584305100,1584389760
apparentTemperatureMax,42.18,44.53,35.54,40.06,39.44,41.16,46.12,47.88,43.38,50.59,41.41,37.07,35.09,30.17,22.25,29.75,38.63,43.29,50.27,53.21,54.55,56.67,56.65,44.92,24.32,32.79,46.96,51.97,51.47,46.08,51.57,51.41,52.42,54,52.03,51.92,44.74,52.91,45.23,51.58,53.1,42.42,47.67,53.73,56.25,62.3,48.94,56.39,55.59,61.21,58.85,55.81,62.19,67.08,63.01
apparentTemperatureMaxTime,1579672860,1579756020,1579856280,1579935540,1580014800,1580101740,1580195700,1580281020,1580370540,1580454000,1580541240,1580622720,1580715660,1580800920,1580832000,1580975640,1581059940,1581138480,1581231900,1581319320,1581406620,1581492540,1581579060,1581609600,1581743100,1581829500,1581925020,1582010520,1582097640,1582185840,1582266960,1582356600,1582444440,1582520580,1582607640,1582702380,1582788300,1582877160,1582963320,1583039820,1583134680,1583211780,1583308140,1583394600,1583480580,1583566020,1583654040,1583740140,1583825580,1583913780,1583989260,1584085860,1584171180,1584258720,1584347460
