,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959,19.1959
Long,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453,109.7453
Province/State,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan,Hainan
apparentTemperatureHigh,78.91,81.46,79.07,79.68,54.84,54.43,54.31,57.18,62.26,65.83,67.3,73.81,74.62,74.12,70.27,77.17,74.84,65.31,62.25,63.57,72.19,78.51,77.1,78.7,83.95,58.17,56.39,60.98,69.79,69.34,69.92,71.69,72.58,77.11,79.86,79.05,77.48,73.52,79.08,81.85,79.73,80.02,77.29,65.21,74.76,85.61,89.49,92.66,75.19,77.31,87.22,92.34,72.07,70.55,75.44
apparentTemperatureHighTime,1579675920,1579762680,1579847460,1579935780,1579993200,1580110740,1580187180,1580280000,1580368320,1580453220,1580537400,1580627340,1580712540,1580799480,1580879160,1580971680,1581058560,1581138180,1581231120,1581320100,1581407160,1581484860,1581580080,1581656460,1581743640,1581807600,1581925620,1582012020,1582096020,1582183800,1582260840,1582355520,1582441560,1582530180,1582613580,1582700040,1582779660,1582879860,1582952580,1583048280,1583125500,1583218200,1583304780,1583388540,1583471100,1583564760,1583650620,1583735820,1583810580,1583906640,1583989920,1584076080,1584160680,1584255120,1584334980
apparentTemperatureLow,58.25,60.87,60.88,54.28,51.14,50.21,48.73,45.19,45.03,49.6,52.24,55.89,56.65,58.3,58.12,58.73,60.39,55.85,53.87,56.19,57.99,63.04,66.11,66.74,56.69,50.4,50.35,53.19,58.13,57.16,57.53,52.95,58.84,57.54,60.55,61.08,60.09,61.5,62.37,63.04,63.02,61.45,59.02,62.06,62.8,64.55,68,67.12,62.25,66,67.41,67.32,63.03,65.31,65.13
apparentTemperatureLowTime,1579733880,1579820100,1579906560,1579996800,1580079300,1580161560,1580254560,1580338020,1580419980,1580507760,1580593140,1580678940,1580767140,1580856660,1580938920,1581028560,1581113280,1581202440,1581260820,1581369540,1581460620,1581526200,1581613920,1581699480,1581811200,1581896100,1581959820,1582038420,1582149480,1582235820,1582322340,1582405140,1582495860,1582580520,1582666860,1582755480,1582838640,1582924920,1583013060,1583102580,1583182860,1583268540,1583357400,1583408820,1583530620,1583616840,1583697540,1583787960,1583874720,1583948700,1584048780,1584133440,1584222900,1584283680,1584391500
apparentTemperatureMax,78.91,81.46,79.07,79.68,60.17,54.43,54.31,57.18,62.26,65.83,67.3,73.81,74.62,74.12,70.27,77.17,74.84,65.31,62.25,63.57,72.19,78.51,77.1,78.7,83.95,66.22,56.39,60.98,69.79,69.34,69.92,71.69,72.58,77.11,79.86,79.05,77.48,73.52,79.08,81.85,79.73,80.02,77.29,65.21,74.76,85.61,89.49,92.66,75.19,77.31,87.22,92.34,72.07,70.55,75.44
apparentTemperatureMaxTime,1579675920,1579762680,1579847460,1579935780,1579968000,1580110740,1580187180,1580280000,1580368320,1580453220,1580537400,1580627340,1580712540,1580799480,1580879160,1580971680,1581058560,1581138180,1581231120,1581320100,1581407160,1581484860,1581580080,1581656460,1581743640,1581782400,1581925620,1582012020,1582096020,1582183800,1582260840,1582355520,1582441560,1582530180,1582613580,1582700040,1582779660,1582879860,1582952580,1583048280,1583125500,1583218200,1583304780,1583388540,1583471100,1583564760,1583650620,1583735820,1583810580,1583906640,1583989920,1584076080,1584160680,1584255120,1584334980
