,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572,30.0572
Long,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874,107.874
Province/State,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing,Chongqing
apparentTemperatureHigh,58.89,52.28,51.08,49.89,53.37,55.16,56.66,57.86,60.74,55.67,52.59,51.07,54.04,60.03,56.51,51.47,57.56,59.92,62.3,56.29,63.98,67.27,68.72,63.03,41.91,51.7,57.95,57.96,59.55,55.66,58.94,60.17,61.77,58.12,60.22,67.61,71.71,59.19,67.77,70.05,53.19,53.89,57.66,61.25,60.66,67.29,64.05,56.09,65.23,59.52,68.56,63.79,66.44,65.54,64.03
apparentTemperatureHighTime,1579679940,1579755840,1579841700,1579937520,1580025300,1580111220,1580197680,1580284020,1580370660,1580457480,1580543760,1580630100,1580716500,1580802720,1580877720,1580975220,1581061860,1581147960,1581234120,1581311100,1581407340,1581493680,1581580020,1581663540,1581728400,1581839400,1581924960,1582002360,1582099020,1582185000,1582271760,1582359240,1582444440,1582530840,1582617120,1582701780,1582786680,1582884480,1582962180,1583039040,1583143560,1583222460,1583308740,1583395080,1583482920,1583568000,1583644560,1583720100,1583825940,1583911380,1583999580,1584075480,1584172740,1584253380,1584334740
apparentTemperatureLow,47.16,45.89,43.79,43.25,37.61,39.17,39.83,37.77,41.99,44.41,44.3,43.73,36.29,37.87,45.43,39.83,45.84,47.54,48.94,44.71,43.56,45.33,49.45,39.93,40.1,35.96,41.54,44.54,39.26,46.59,42.08,48.22,50.11,48.24,49.35,54.54,55.61,48.75,50.67,51.7,47.09,47.94,40.66,46.52,46.13,50.4,54.13,48.7,51.82,49.8,54.29,51.74,51.38,55.61,52.59
apparentTemperatureLowTime,1579736640,1579822680,1579910400,1579996800,1580081280,1580167620,1580254200,1580340420,1580424600,1580513760,1580599920,1580685840,1580772960,1580858580,1580945700,1581029820,1581119460,1581204540,1581292020,1581378480,1581463320,1581550200,1581636480,1581724620,1581810420,1581896220,1581982740,1582068720,1582150620,1582241760,1582327680,1582411860,1582501680,1582564560,1582659240,1582759560,1582848000,1582932540,1583018460,1583107200,1583192820,1583278500,1583364300,1583438160,1583531220,1583605320,1583710800,1583796060,1583877840,1583969160,1584049500,1584140460,1584224100,1584315060,1584399660
apparentTemperatureMax,58.89,52.28,51.08,49.89,53.37,55.16,56.66,57.86,60.74,55.67,52.59,51.07,54.04,60.03,56.51,51.47,57.56,59.92,62.3,56.29,63.98,67.27,68.72,63.03,54.73,51.7,57.95,57.96,59.55,55.66,58.94,60.17,61.77,58.12,60.22,67.61,71.71,59.19,67.77,70.05,56.49,53.89,57.66,61.25,60.66,67.29,64.05,56.09,65.23,59.52,68.56,63.79,66.44,65.54,64.03
apparentTemperatureMaxTime,1579679940,1579755840,1579841700,1579937520,1580025300,1580111220,1580197680,1580284020,1580370660,1580457480,1580543760,1580630100,1580716500,1580802720,1580877720,1580975220,1581061860,1581147960,1581234120,1581311100,1581407340,1581493680,1581580020,1581663540,1581696000,1581839400,1581924960,1582002360,1582099020,1582185000,1582271760,1582359240,1582444440,1582530840,1582617120,1582701780,1582786680,1582884480,1582962180,1583039040,1583078400,1583222460,1583308740,1583395080,1583482920,1583568000,1583644560,1583720100,1583825940,1583911380,1583999580,1584075480,1584172740,1584253380,1584334740
