,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789,26.0789
Long,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874,117.9874
Province/State,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian,Fujian
apparentTemperatureHigh,72,74.21,70.72,61.14,50.05,44.51,46.1,46.12,46.73,55.02,57.72,54.8,47.26,50.48,53.9,52.3,55.03,56.29,57.76,64.33,66.7,65,65.2,61.98,68,38.25,46.25,54.33,59.65,66.29,71.83,70.16,70.37,75.32,77.06,77.65,73.17,75.59,74.74,68.63,63.93,65.92,55.03,55.79,66.26,69.54,68.53,66,59.75,61.76,53.7,68.57,61.99,65.52,68.1
apparentTemperatureHighTime,1579672380,1579762320,1579842060,1579927440,1579993200,1580103120,1580194740,1580274540,1580360520,1580446920,1580533500,1580622780,1580716380,1580802900,1580879340,1580965140,1581058260,1581138000,1581230700,1581317880,1581397320,1581483960,1581566700,1581653040,1581743280,1581850800,1581916020,1582002240,1582088520,1582181220,1582267560,1582354140,1582440360,1582527360,1582613400,1582690080,1582785660,1582872600,1582953720,1583043300,1583132580,1583217780,1583295600,1583384820,1583471640,1583557500,1583644440,1583725680,1583815920,1583910780,1584008400,1584075960,1584165600,1584248520,1584342060
apparentTemperatureLow,53.44,57.79,54.86,49.7,35.26,36.75,33.44,29.99,29.24,32.28,36.14,41.41,44.43,46.27,39.76,45.35,43.17,41.3,37.74,45.3,54.57,55.04,51.93,56.54,34.15,31.38,29.69,33.1,38.92,42.41,48.59,47.25,47.04,53.33,54.94,56.28,51.75,56.31,58.34,52.07,51.43,53.7,45.2,43.66,52.95,58.71,58.82,52.89,43.79,48.71,52.56,52.52,42.95,46.87,51.62
apparentTemperatureLowTime,1579733580,1579821120,1579908060,1579996800,1580083200,1580166540,1580246700,1580338380,1580424120,1580507100,1580593920,1580682180,1580770500,1580859180,1580931420,1581029400,1581118740,1581204420,1581284640,1581371760,1581460320,1581544740,1581630180,1581718440,1581810600,1581889260,1581975720,1582061220,1582149060,1582235340,1582322160,1582409400,1582492620,1582580160,1582665780,1582758900,1582840140,1582926120,1583016780,1583100780,1583187600,1583277780,1583362680,1583443320,1583529480,1583617740,1583699040,1583796780,1583873400,1583970840,1584036780,1584140820,1584219900,1584303480,1584390060
apparentTemperatureMax,72,74.21,70.72,61.14,51.77,44.51,46.1,46.12,46.73,55.02,57.72,54.8,47.26,50.48,53.9,52.3,55.03,56.29,57.76,64.33,66.7,65,65.2,61.98,68,44.64,46.25,54.33,59.65,66.29,71.83,70.16,70.37,75.32,77.06,77.65,73.17,75.59,74.74,68.63,63.93,65.92,55.05,55.79,66.26,69.54,68.53,66,59.75,61.76,53.7,68.57,61.99,65.52,68.1
apparentTemperatureMaxTime,1579672380,1579762320,1579842060,1579927440,1579968000,1580103120,1580194740,1580274540,1580360520,1580446920,1580533500,1580622780,1580716380,1580802900,1580879340,1580965140,1581058260,1581138000,1581230700,1581317880,1581397320,1581483960,1581566700,1581653040,1581743280,1581782400,1581916020,1582002240,1582088520,1582181220,1582267560,1582354140,1582440360,1582527360,1582613400,1582690080,1582785660,1582872600,1582953720,1583043300,1583132580,1583217780,1583258640,1583384820,1583471640,1583557500,1583644440,1583725680,1583815920,1583910780,1584008400,1584075960,1584165600,1584248520,1584342060
