,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099,37.8099
Long,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583,101.0583
Province/State,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu,Gansu
apparentTemperatureHigh,9.86,18.16,16.11,4.67,14.46,13.5,13.21,15.17,16.37,17.66,11.16,13.39,12.33,13.77,18.43,15.35,21.06,18.6,22.99,19.18,28.39,27.15,15.04,-5.48,7.35,13.23,25.58,11.51,23.02,5.2,19.65,30.48,36.4,30.45,32.61,26.06,29.27,36.99,20.11,19.86,22.25,19.59,21.86,25.4,30.19,38.49,12.08,14.6,20.23,22.66,10.1,22.73,33.4,23.05,22.76
apparentTemperatureHighTime,1579676400,1579762020,1579850760,1579936980,1580021160,1580110080,1580190900,1580282160,1580368380,1580456400,1580535600,1580629200,1580716020,1580801160,1580885280,1580975280,1581058080,1581144660,1581231480,1581320520,1581407100,1581492840,1581568980,1581657180,1581751380,1581836520,1581925560,1582007400,1582098120,1582182960,1582270980,1582357740,1582441440,1582530480,1582610880,1582694700,1582786200,1582877280,1582952640,1583045280,1583128860,1583221260,1583308020,1583391660,1583481120,1583567100,1583652060,1583740380,1583826480,1583907300,1583987700,1584085860,1584169020,1584241560,1584339060
apparentTemperatureLow,-3.15,-8.57,-12.22,-23.36,-24.12,-17.33,-24.23,-23.68,-21.2,-3.31,-25.1,-26.76,-18.19,-16.05,-18.55,-13.75,-13.32,-15.22,-14.92,-15.68,-12.69,-2.62,-20.95,-27.54,-6.63,-14.53,-14.52,-12.07,-14.72,-9.02,-6.89,-3.97,-1.61,-5.22,0.48,5.68,-7.04,-2.05,1.49,-5.5,-0.81,-13.26,-7.61,-8.28,-3.11,-1.72,-5.52,-13.18,-12.33,-1.53,-19.67,-10.96,6.29,5.47,-6.14
apparentTemperatureLowTime,1579736880,1579810800,1579894740,1579995960,1580081040,1580147220,1580254200,1580340780,1580425200,1580494320,1580598060,1580686020,1580773140,1580859180,1580945160,1581029280,1581115680,1581204720,1581290940,1581378000,1581463500,1581550200,1581638340,1581722520,1581786300,1581896220,1581982680,1582067760,1582128540,1582219500,1582327320,1582414260,1582500060,1582586760,1582659600,1582731420,1582846680,1582932720,1583020800,1583107140,1583156760,1583277300,1583364480,1583448840,1583536620,1583623980,1583712000,1583797080,1583880600,1583969940,1584056580,1584140340,1584226620,1584313260,1584401100
apparentTemperatureMax,9.86,18.16,16.11,4.67,14.46,13.5,13.21,15.17,16.37,17.66,11.16,13.39,12.33,13.77,18.43,15.35,21.06,18.6,22.99,19.18,28.39,27.15,15.04,-5.48,7.35,13.23,25.58,11.51,23.02,5.2,19.65,30.48,36.4,30.45,32.61,26.06,29.27,36.99,20.11,19.86,22.25,19.59,21.86,25.4,30.19,38.49,12.08,14.6,20.23,22.66,10.1,22.73,33.4,23.05,22.76
apparentTemperatureMaxTime,1579676400,1579762020,1579850760,1579936980,1580021160,1580110080,1580190900,1580282160,1580368380,1580456400,1580535600,1580629200,1580716020,1580801160,1580885280,1580975280,1581058080,1581144660,1581231480,1581320520,1581407100,1581492840,1581568980,1581657180,1581751380,1581836520,1581925560,1582007400,1582098120,1582182960,1582270980,1582357740,1582441440,1582530480,1582610880,1582694700,1582786200,1582877280,1582952640,1583045280,1583128860,1583221260,1583308020,1583391660,1583481120,1583567100,1583652060,1583740380,1583826480,1583907300,1583987700,1584085860,1584169020,1584241560,1584339060
