,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154,26.8154
Long,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748,106.8748
Province/State,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou,Guizhou
apparentTemperatureHigh,59.27,44.85,34.98,28.99,38.32,36.45,37.37,44.89,51.06,43.16,45.82,40.21,39.62,47.91,42.27,44.89,38.77,37.78,44.14,46.99,53.36,62.01,65.57,67.03,37.03,36.74,44.25,51.24,59.08,54.08,47.09,53.1,60.49,68.13,67.03,66.93,68.21,58.01,63.98,53.44,52.92,42.73,46.49,54.76,60.68,61.32,72.71,59.44,51.95,56.58,63.16,58.63,57.83,60.37,51.93
apparentTemperatureHighTime,1579679340,1579755720,1579841880,1579938960,1580024520,1580106180,1580195280,1580282820,1580366340,1580457420,1580541420,1580628720,1580716380,1580802780,1580887320,1580975100,1581052320,1581137880,1581224880,1581320760,1581407400,1581493920,1581580080,1581662940,1581728820,1581839460,1581924180,1582011600,1582098900,1582184100,1582271580,1582356060,1582444260,1582530240,1582617000,1582703640,1582788960,1582855680,1582958040,1583048880,1583129580,1583219280,1583307180,1583392860,1583479680,1583568060,1583644500,1583736660,1583826120,1583913420,1583999340,1584081660,1584171720,1584255240,1584338400
apparentTemperatureLow,38.23,34.08,26.6,25.76,23.42,25.93,28.28,29.05,35.08,36.12,34.08,33.1,34.52,37.92,35.88,33.96,32.45,31.9,37.24,43.35,45.66,48.64,49.39,33.3,21.29,30.28,33.25,35.21,39.05,36.25,41.85,46.68,52.14,50.75,54.39,56.65,57.04,52.63,48.08,43.88,37.6,34.56,36.06,45.81,47.36,53.81,44.72,35.93,42.31,43.48,46.21,43.01,47.63,47.57,42.15
apparentTemperatureLowTime,1579737240,1579824000,1579910400,1579996140,1580082120,1580138940,1580251680,1580340000,1580424060,1580514360,1580601600,1580687340,1580744640,1580838900,1580947200,1581029580,1581107460,1581202560,1581283620,1581347160,1581430560,1581523500,1581636540,1581724440,1581799320,1581885960,1581951540,1582068720,1582137000,1582241820,1582291140,1582414860,1582497900,1582586700,1582671420,1582760040,1582844340,1582896480,1583019960,1583099340,1583192640,1583278800,1583347800,1583431500,1583539200,1583592960,1583710140,1583796900,1583853900,1583971020,1584056220,1584142740,1584200580,1584316800,1584402180
apparentTemperatureMax,59.27,44.85,36.53,28.99,38.32,36.45,37.37,44.89,51.06,43.16,45.82,42.13,39.62,47.91,43,45.5,38.77,37.78,44.14,46.99,53.36,62.01,65.57,67.03,53.51,36.74,44.25,51.24,59.08,54.08,47.09,53.1,60.49,68.13,67.03,66.93,68.21,60.07,63.98,53.44,52.92,42.73,46.49,54.76,60.68,61.32,72.71,59.44,51.95,56.58,63.16,58.63,57.83,60.37,51.93
apparentTemperatureMaxTime,1579679340,1579755720,1579795200,1579938960,1580024520,1580106180,1580195280,1580282820,1580366340,1580457420,1580541420,1580572800,1580716380,1580802780,1580914800,1580922420,1581052320,1581137880,1581224880,1581320760,1581407400,1581493920,1581580080,1581662940,1581696000,1581839460,1581924180,1582011600,1582098900,1582184100,1582271580,1582356060,1582444260,1582530240,1582617000,1582703640,1582788960,1582819200,1582958040,1583048880,1583129580,1583219280,1583307180,1583392860,1583479680,1583568060,1583644500,1583736660,1583826120,1583913420,1583999340,1584081660,1584171720,1584255240,1584338400
apparentTemperatureMin,41.21,36.94,28.33,26.52,25.67,23.42,26.01,28.28,29.05,35.08,36.12,32.9,33.1,34.63,37.68,33.7,33.96,32.45,31.9,37.24,43.44,46.02,48.64,49.39,25.57,21.29,30.28,34.02,35.21,37.8,36.25,42.29,46.68,52.14,50.75,54.39,56.65,52.63,51.77,44.45,39.21,37.21,34.56,36.06,45.81,46.76,53.92,42.05,35.93,42.41,43.48,44.68,43.01,47.67,46.06
apparentTemperatureMinTime,1579654560,1579791600,1579878000,1579924800,1580050800,1580082120,1580140800,1580251680,1580340000,1580424060,1580514360,1580605140,1580687340,1580745600,1580865000,1580951100,1581029580,1581107460,1581202560,1581283620,1581350400,1581436800,1581523500,1581636540,1581778800,1581799320,1581885960,1581979980,1582068720,1582204980,1582241820,1582326780,1582414860,1582497900,1582586700,1582671420,1582760040,1582896480,1582988400,1583074800,1583161200,1583247600,1583278800,1583347800,1583431500,1583542200,1583679600,1583766000,1583796900,1583856000,1583971020,1584111600,1584142740,1584201600,1584359880
cloudCover,0.81,0.99,1,0.99,0.93,0.9,0.84,0.49,0.35,0.94,0.97,0.99,0.99,0.88,0.91,0.92,0.95,0.99,0.92,0.86,0.94,0.88,0.73,0.4,0.99,0.95,0.74,0.84,0.5,0.77,0.99,0.99,0.99,0.75,0.95,0.85,1,1,0.75,0.69,0.98,1,0.97,0.9,0.99,0.94,0.57,0.65,0.93,0.99,0.79,0.9,0.89,0.96,1
