,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549,39.549
Long,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306,116.1306
Province/State,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei,Hebei
apparentTemperatureHigh,44.79,45.06,36.72,42.76,40.95,42.73,43.61,48.57,41.51,48.98,40.13,35.27,33.42,35.93,30.94,27.9,40.26,43.82,51.9,57.21,58.06,59.57,58.16,26.27,23.07,30.95,47.01,51.8,51.08,44.23,53.36,52.05,56.52,54.12,52.4,50.9,42.46,53.5,46.92,53.28,54.05,43.08,45.19,54.89,59.93,63.34,54.53,54.54,56.71,66.28,59.4,55.82,63.01,67.89,64.49
apparentTemperatureHighTime,1579676520,1579762740,1579850040,1579936680,1580025480,1580111760,1580197500,1580282760,1580369820,1580456580,1580542380,1580623200,1580716560,1580805900,1580891100,1580976240,1581061620,1581145500,1581234480,1581320820,1581407460,1581493860,1581580320,1581678000,1581749820,1581837120,1581925680,1582011060,1582097760,1582185720,1582269180,1582357680,1582444500,1582527360,1582616700,1582702800,1582788720,1582878660,1582962960,1583047620,1583135280,1583218860,1583306460,1583395020,1583480520,1583567220,1583654400,1583739600,1583826540,1583913120,1583988780,1584086280,1584172080,1584258480,1584348660
apparentTemperatureLow,16.84,16.86,16.92,14.11,26.11,22.95,27.32,19.57,16.05,16.61,24.42,11.24,10.18,8.81,15.05,18.65,12.77,20.2,19.78,18.72,24.91,24.82,23.95,11.83,16.98,15.55,20.13,18.41,20.07,30.2,23.59,20.76,25.67,38.35,26.2,29.3,26.8,30.23,29.21,25.76,22.51,21.54,16.29,24.45,33.17,30.82,36.09,28.6,24.45,31.31,27.72,30.1,37.58,27.66,36.91
apparentTemperatureLowTime,1579729380,1579818900,1579906440,1579993740,1580075880,1580162400,1580250780,1580331120,1580424960,1580512440,1580599680,1580687160,1580771040,1580859300,1580940720,1581027780,1581115920,1581200160,1581285780,1581375060,1581458820,1581544980,1581638400,1581717780,1581807000,1581893280,1581983160,1582062780,1582148580,1582236420,1582323180,1582412940,1582494720,1582580880,1582669320,1582747500,1582843740,1582924440,1583013780,1583106900,1583180100,1583264940,1583357880,1583445900,1583531100,1583618400,1583707080,1583784540,1583876220,1583957400,1584049620,1584129240,1584216540,1584308400,1584388800
apparentTemperatureMax,44.79,45.06,36.72,42.76,40.95,42.73,43.61,48.57,41.51,48.98,40.13,35.27,33.42,35.93,30.94,27.9,40.26,43.82,51.9,57.21,58.06,59.57,58.16,41.19,23.07,30.95,47.01,51.8,51.08,44.23,53.36,52.05,56.52,54.12,52.4,50.9,42.46,53.5,46.92,53.28,54.05,43.08,45.19,54.89,59.93,63.34,54.53,54.54,56.71,66.28,59.4,55.82,63.01,67.89,64.49
apparentTemperatureMaxTime,1579676520,1579762740,1579850040,1579936680,1580025480,1580111760,1580197500,1580282760,1580369820,1580456580,1580542380,1580623200,1580716560,1580805900,1580891100,1580976240,1581061620,1581145500,1581234480,1581320820,1581407460,1581493860,1581580320,1581609600,1581749820,1581837120,1581925680,1582011060,1582097760,1582185720,1582269180,1582357680,1582444500,1582527360,1582616700,1582702800,1582788720,1582878660,1582962960,1583047620,1583135280,1583218860,1583306460,1583395020,1583480520,1583567220,1583654400,1583739600,1583826540,1583913120,1583988780,1584086280,1584172080,1584258480,1584348660
