,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995,47.861999999999995
Long,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615,127.7615
Province/State,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang
apparentTemperatureHigh,-1.88,3.62,-8.85,-1.53,-2.63,15.77,11.61,5.92,11.63,17.86,-4.5,-8.65,-11.96,-6,-11.48,-15.16,-3.24,-0.91,11.56,5.18,20.85,23.53,4.02,5.76,9.72,-1.57,8.5,4.38,11.41,12.09,14.82,14.53,13.16,14.5,22.97,24.1,19.97,22.12,24.67,27.67,28.84,28.84,22.25,17.85,26.5,26.22,24.54,25.79,24.06,23.84,13.17,6.66,24.06,20.86,18.32
apparentTemperatureHighTime,1579671660,1579740900,1579841760,1579928580,1580015220,1580101380,1580187720,1580274000,1580361300,1580446260,1580533080,1580619960,1580706000,1580781840,1580878320,1580973180,1581050520,1581136140,1581232380,1581309960,1581418800,1581483060,1581560940,1581657180,1581742500,1581830280,1581915900,1582009500,1582087200,1582174560,1582261500,1582347780,1582434480,1582533540,1582606020,1582689720,1582779000,1582864620,1582963620,1583038500,1583124300,1583207640,1583299260,1583384700,1583467740,1583556000,1583651640,1583730420,1583816220,1583897280,1583979120,1584083220,1584179820,1584265860,1584342540
apparentTemperatureLow,-7.53,-19.49,-19.19,-25.98,-13.69,-12.26,-15.77,-16.27,-14.64,-13.8,-20.22,-26.22,-20.15,-29.1,-35.07,-17.06,-19.68,-15.19,-13.64,-5.76,16.99,0.15,-16.01,-10.5,-17.91,-19.83,-14.24,-3.84,-7.47,-6.64,-2.71,-10.28,5.97,3.22,-0.78,4.25,-1.02,6.95,3.84,12.88,11.29,8.25,1.29,-2.51,10.71,12.91,3.37,-2.58,3.32,9.35,-10.15,4.24,1.87,-2.55,5.93
apparentTemperatureLowTime,1579711260,1579819800,1579887780,1579992840,1580053320,1580165280,1580240220,1580336040,1580409900,1580509500,1580594520,1580680860,1580730420,1580845680,1580941560,1581027960,1581086820,1581191700,1581281100,1581356580,1581463200,1581545160,1581624840,1581698460,1581806940,1581883140,1581979140,1582061760,1582149240,1582223040,1582315260,1582409760,1582494900,1582563060,1582660440,1582747860,1582832160,1582920180,1583002200,1583092680,1583180580,1583266440,1583363340,1583438760,1583507520,1583611500,1583699880,1583784120,1583871900,1583968740,1584047520,1584117900,1584216000,1584303300,1584375960
apparentTemperatureMax,-1.57,3.62,-8.85,-1.53,-2.63,15.77,11.61,5.92,11.63,17.86,-4.5,-8.65,-11.96,-6,-11.48,-15.16,-3.24,-0.91,11.56,5.18,22.9,23.53,11.26,5.76,9.72,-1.57,8.5,9.34,11.41,12.09,14.82,14.53,19.61,17.74,22.97,24.1,19.97,22.12,24.67,27.67,28.84,28.84,22.25,17.85,26.5,26.22,24.54,25.79,24.06,23.84,13.17,6.95,24.06,20.86,18.32
apparentTemperatureMaxTime,1579622400,1579740900,1579841760,1579928580,1580015220,1580101380,1580187720,1580274000,1580361300,1580446260,1580533080,1580619960,1580706000,1580781840,1580878320,1580973180,1581050520,1581136140,1581232380,1581309960,1581426360,1581483060,1581523200,1581657180,1581742500,1581830280,1581915900,1582035420,1582087200,1582174560,1582261500,1582347780,1582463580,1582475700,1582606020,1582689720,1582779000,1582864620,1582963620,1583038500,1583124300,1583207640,1583299260,1583384700,1583467740,1583556000,1583651640,1583730420,1583816220,1583897280,1583979120,1584103860,1584179820,1584265860,1584342540
