,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3
Long,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2
Province/State,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong
apparentTemperatureHigh,71.33,74.69,74.16,69.13,62.66,59.64,62.02,63.65,65.13,63.12,64.91,65.87,68.1,66.24,65.68,65.55,69.96,68.64,65.09,64.84,69,73.19,70.38,72.35,73.35,59.3,62.42,63.09,67,68.28,70.22,72.55,71.05,70.65,75.22,76.62,70.06,72.33,75.26,77.72,70.33,71.49,72.08,67.02,68.02,74.85,75.65,75.71,76.33,68.96,72.74,77.45,73.72,70.61,71.73
apparentTemperatureHighTime,1579676460,1579755600,1579840980,1579923780,1580025000,1580111820,1580203020,1580285160,1580371140,1580452440,1580543220,1580627760,1580707440,1580802060,1580878500,1580976540,1581057360,1581148380,1581235260,1581321540,1581415380,1581493320,1581570420,1581662340,1581754020,1581829800,1581926100,1582011480,1582093920,1582176900,1582271160,1582344540,1582435500,1582524780,1582611780,1582702440,1582779960,1582874160,1582953840,1583040540,1583123760,1583215560,1583298180,1583390580,1583478900,1583561280,1583644500,1583730180,1583826540,1583899440,1584004920,1584080100,1584162720,1584242940,1584343080
apparentTemperatureLow,67.15,68.92,65.91,58.71,50.55,50.09,50.43,52.92,54.81,59.09,61.36,63.33,59.68,62.07,61.65,62.89,59.44,56.91,57.48,62.2,65.54,66.78,67.6,69.41,52.49,42.28,53.2,59.08,61.4,61.84,62.55,63.48,64.77,66.39,68.71,67.75,65.16,67.35,68.67,67.93,64.83,66.21,61.22,64.03,66.68,70.04,71.21,66.67,65.06,65.96,70.66,65.25,65.49,66.88,68.24
apparentTemperatureLowTime,1579711440,1579809120,1579909320,1579996800,1580076240,1580162400,1580248680,1580335140,1580422380,1580490900,1580575560,1580662380,1580770440,1580853000,1580942940,1581029040,1581115800,1581198660,1581277980,1581353340,1581441900,1581536040,1581609300,1581710880,1581808920,1581893040,1581979740,1582063260,1582149120,1582235100,1582320660,1582411140,1582495260,1582563360,1582660020,1582761600,1582843560,1582925100,1583006580,1583106900,1583179320,1583277360,1583359680,1583452440,1583499660,1583595780,1583707920,1583797020,1583877180,1583932680,1584019020,1584136320,1584222720,1584302820,1584388860
apparentTemperatureMax,71.33,74.69,74.16,69.13,62.66,59.64,62.02,63.65,65.13,63.12,64.91,65.87,68.1,66.24,65.68,65.55,69.96,68.64,65.09,64.84,69.26,73.19,70.38,72.35,73.35,66.09,62.42,63.09,67,68.28,70.22,72.55,71.05,70.65,75.22,76.62,70.06,72.33,75.26,77.72,70.33,71.49,72.08,67.02,68.02,74.85,75.65,75.71,76.33,68.96,72.74,77.45,73.72,70.61,71.73
apparentTemperatureMaxTime,1579676460,1579755600,1579840980,1579923780,1580025000,1580111820,1580203020,1580285160,1580371140,1580452440,1580543220,1580627760,1580707440,1580802060,1580878500,1580976540,1581057360,1581148380,1581235260,1581321540,1581421800,1581493320,1581570420,1581662340,1581754020,1581782400,1581926100,1582011480,1582093920,1582176900,1582271160,1582344540,1582435500,1582524780,1582611780,1582702440,1582779960,1582874160,1582953840,1583040540,1583123760,1583215560,1583298180,1583390580,1583478900,1583561280,1583644500,1583730180,1583826540,1583899440,1584004920,1584080100,1584162720,1584242940,1584343080
