,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711,32.9711
Long,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455,119.455
Province/State,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu,Jiangsu
apparentTemperatureHigh,47.56,51.25,41.99,40.36,35.66,39,39.79,41.81,38.44,48.05,53.41,54.45,50.82,54.69,38.99,37.49,46.3,47.3,55.41,59.63,47.35,58.82,64.39,60.7,35.47,31.33,38.46,52.06,54.45,61.67,58.01,58.65,62.53,69.14,63.4,56.95,56,46.34,52.18,52.12,53.56,55.42,55.43,54.84,59.15,64.35,65.39,51.62,57.47,60.88,64.2,53.04,59.12,67.26,62.96
apparentTemperatureHighTime,1579671120,1579755840,1579841580,1579928640,1580010900,1580109840,1580187480,1580274060,1580368620,1580456940,1580533620,1580620020,1580707020,1580799120,1580878080,1580965320,1581064260,1581147540,1581232200,1581311220,1581409740,1581492660,1581576720,1581665460,1581721200,1581829260,1581924180,1582008780,1582095420,1582181940,1582270080,1582347600,1582441200,1582529820,1582607340,1582699680,1582786380,1582880100,1582962480,1583039760,1583125200,1583219700,1583298300,1583393280,1583471580,1583566080,1583650440,1583731920,1583824140,1583912580,1583989500,1584068760,1584170820,1584255600,1584341880
apparentTemperatureLow,34.7,33.01,29.96,31.64,27.43,27.47,24.39,20.81,24.29,26.07,30.35,27.23,26.28,26.44,24.41,30.52,34.72,29.21,32.76,39.93,38.43,36.16,51.66,30.75,14.76,20.04,22.62,25.27,29.49,34.35,33.8,27.62,43.56,53.89,36.18,28.03,35.78,38.14,38.54,30.26,32.09,32.87,26.14,26.79,44.14,37.18,44.52,37.23,41.04,36.3,43.46,32.57,36.55,35.83,42.79
apparentTemperatureLowTime,1579736580,1579807980,1579904460,1579972320,1580075400,1580162100,1580249460,1580335320,1580410020,1580511300,1580594340,1580680560,1580769780,1580847060,1580931840,1581025680,1581105600,1581198660,1581276480,1581362640,1581457260,1581537660,1581613500,1581724800,1581796020,1581883320,1581964920,1582055160,1582149060,1582228680,1582321680,1582401480,1582474500,1582573320,1582661160,1582747500,1582826220,1582913040,1583003220,1583091600,1583179320,1583271120,1583352000,1583437800,1583521740,1583611200,1583685000,1583794680,1583871060,1583956200,1584056100,1584133440,1584215820,1584302640,1584388800
apparentTemperatureMax,47.56,51.25,41.99,40.36,35.66,39,39.79,41.81,38.44,48.05,53.41,54.45,50.82,54.69,38.99,37.49,46.3,47.3,55.41,59.63,47.35,58.82,64.39,60.7,54.22,31.33,38.46,52.06,54.45,61.67,58.01,58.65,62.53,69.14,63.4,56.95,56,46.34,52.18,52.12,53.56,55.42,55.43,54.84,59.15,64.35,65.39,51.62,57.47,60.88,64.2,53.04,59.12,67.26,62.96
apparentTemperatureMaxTime,1579671120,1579755840,1579841580,1579928640,1580010900,1580109840,1580187480,1580274060,1580368620,1580456940,1580533620,1580620020,1580707020,1580799120,1580878080,1580965320,1581064260,1581147540,1581232200,1581311220,1581409740,1581492660,1581576720,1581665460,1581696000,1581829260,1581924180,1582008780,1582095420,1582181940,1582270080,1582347600,1582441200,1582529820,1582607340,1582699680,1582786380,1582880100,1582962480,1583039760,1583125200,1583219700,1583298300,1583393280,1583471580,1583566080,1583650440,1583731920,1583824140,1583912580,1583989500,1584068760,1584170820,1584255600,1584341880
apparentTemperatureMin,36.66,34.7,33.01,29.96,31.64,27.43,27.47,24.39,20.81,24.29,26.07,30.35,27.23,26.28,26.3,24.41,30.52,34.72,29.21,32.76,39.93,38.43,36.16,51.66,18.38,14.76,20.04,22.62,25.27,29.49,34.35,32.82,27.62,43.56,40.92,34.3,28.03,35.78,38.14,38.18,30.26,32.09,31.44,26.14,26.79,41.76,37.18,41.6,37.23,40.87,36.3,39.09,32.57,36.55,35.83
apparentTemperatureMinTime,1579646040,1579736580,1579807980,1579904460,1579972320,1580075400,1580162100,1580249460,1580335320,1580410020,1580511300,1580594340,1580680560,1580769780,1580914800,1580931840,1581025680,1581105600,1581198660,1581276480,1581362640,1581457260,1581537660,1581613500,1581778800,1581796020,1581883320,1581964920,1582055160,1582149060,1582228680,1582383600,1582401480,1582474500,1582642800,1582729200,1582747500,1582826220,1582913040,1583074800,1583091600,1583179320,1583334000,1583352000,1583437800,1583593200,1583611200,1583766000,1583794680,1583938800,1583956200,1584111600,1584133440,1584215820,1584302640
cloudCover,0.99,0.99,0.98,1,1,0.67,0.54,0.25,0.01,0,0.31,0.46,0.67,0.2,0.49,0.91,0.99,0.88,0.14,0.32,0.95,0.18,0.55,0.82,1,0.39,0,0.12,0.95,0.21,0.7,0.02,0.07,0.92,0.72,0.55,0.46,1,0.98,1,0.65,0.6,0.54,0.04,0.56,0.3,0.29,1,0.58,0.35,0.87,0.93,0.29,0.08,0.87
dewPoint,42.08,38.62,36.28,34,38.58,34.7,32.98,30.26,24.97,21.9,27.31,29.18,30.8,33.77,32.56,31.31,36.06,35.45,35.15,36.24,44.24,44.56,47.41,53.63,37.52,17.69,18.38,19.83,29.71,36.64,41.03,31.62,34.61,49.35,51.41,39.58,34.79,42.61,42.34,43.11,32.37,37.21,30.26,27.59,37.6,45.33,43.36,49.54,40.87,38.38,45.14,43.52,38.04,37.34,38.71
humidity,0.92,0.8,0.78,0.74,0.93,0.86,0.8,0.71,0.64,0.56,0.6,0.58,0.66,0.72,0.78,0.75,0.82,0.76,0.76,0.67,0.91,0.86,0.87,0.93,0.92,0.56,0.52,0.51,0.61,0.71,0.79,0.59,0.63,0.75,0.86,0.76,0.69,0.91,0.86,0.87,0.66,0.71,0.59,0.59,0.7,0.77,0.74,0.98,0.76,0.66,0.74,0.83,0.73,0.58,0.63
icon,rain,cloudy,rain,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,cloudy,clear-day,partly-cloudy-day,rain,clear-day,partly-cloudy-day,rain,snow,partly-cloudy-day,clear-day,clear-day,cloudy,clear-day,partly-cloudy-day,clear-day,clear-day,cloudy,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,cloudy,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,partly-cloudy-day
moonPhase,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.62,0.66,0.7,0.74,0.77,0.8,0.84,0.87,0.9,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
ozone,301.8,308.4,301.1,309.9,332.6,360.3,353.5,345.1,317.2,273.6,269.6,266.2,275.5,301.9,316,321.3,321.7,307.2,328.8,328.7,325.7,315.9,331.6,320.3,310.8,333.8,345.5,309.1,295.9,305.6,307.8,333,333.4,295.5,287.8,302,303.9,306.6,321.5,313,309.6,309.2,316.3,319.1,308.3,319.3,326.9,322.7,341,346.3,343.4,333.3,348.9,360.2,338.9
precipAccumulation,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,2.26,0.04,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
precipIntensity,0.0014,0.0001,0.0014,0.0011,0.0277,0.0054,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0003,0.0003,0,0.0001,0.0002,0.007,0.0002,0.0003,0.0025,0.0179,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0031,0.0001,0.0003,0.0169,0.0036,0.0006,0.0001,0.0001,0,0,0.0001,0.0001,0.001,0.0228,0.0012,0.0002,0.0001,0.0007,0.0002,0.0001,0
precipIntensityMax,0.008,0.0004,0.0067,0.0063,0.0697,0.0303,0.0007,0.0005,0.0003,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0017,0.0015,0.0003,0.0003,0.0004,0.0182,0.0007,0.0015,0.0131,0.0624,0.0043,0.0003,0.0004,0.0004,0.0004,0.0003,0.0004,0.0003,0.0003,0.014,0.0003,0.0048,0.0549,0.0266,0.0012,0.0002,0.0002,0.0002,0.0003,0.0008,0.0006,0.0085,0.0384,0.0182,0.0004,0.0004,0.0037,0.0007,0.0004,0.0001
