,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661,43.6661
Long,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923,126.1923
Province/State,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin,Jilin
apparentTemperatureHigh,18.73,12.07,7.69,18.63,20.49,27.36,19.64,5.51,7.23,16.56,0.23,4.66,-6.53,-14.78,-11.03,-2,3.22,6.82,9.05,24.15,31.15,34.04,30.81,3.42,5.72,-4.6,4.36,9.48,19.54,23.89,31.32,10.66,22.18,23.89,16.06,20.25,25.33,20.03,21.71,23.04,23.23,22.39,13.67,17.2,27.29,27.77,32.28,24.51,23.94,25.36,22.2,21.21,26.94,13.27,29.8
apparentTemperatureHighTime,1579683960,1579742040,1579853160,1579928580,1580015640,1580101500,1580180400,1580273880,1580353200,1580447100,1580533860,1580634540,1580706900,1580791920,1580897280,1580965200,1581070140,1581145440,1581224460,1581311700,1581396900,1581483600,1581569340,1581656160,1581742920,1581829020,1581934200,1582002720,1582106820,1582174440,1582276080,1582326000,1582444380,1582531320,1582606440,1582707660,1582779300,1582866120,1582966860,1583050140,1583133120,1583211960,1583297160,1583384880,1583470920,1583557080,1583657700,1583729760,1583802000,1583903280,1583984460,1584085500,1584161880,1584259320,1584345900
apparentTemperatureLow,9.39,-6.13,-10.85,-10.9,-1.78,7.13,-6.29,-7.42,-9.19,-11.09,-14.55,-15.77,-19.95,-29.39,-29.7,-12.4,-8.58,-13.26,-1.64,6.62,24.2,23.99,-0.95,-3.12,-6.36,-11.96,-13.17,0.35,2.55,13.68,9.51,3.07,10.75,7.2,4.2,5.46,5.69,7.99,12.12,12.98,2.31,10.2,1.57,8.39,22.31,22.75,18.96,16.59,9.69,18.62,-1.57,13.41,6.48,2.35,20
apparentTemperatureLowTime,1579713060,1579804980,1579896720,1579996380,1580049960,1580163480,1580246880,1580312640,1580421060,1580512200,1580594280,1580680980,1580773980,1580851560,1580933340,1581007260,1581114540,1581178140,1581278820,1581343560,1581460020,1581537780,1581638400,1581709920,1581809820,1581893040,1581969360,1582052340,1582143360,1582200120,1582329600,1582400820,1582493880,1582581420,1582666680,1582758300,1582823460,1582920120,1583006160,1583091720,1583180760,1583280000,1583354580,1583438160,1583536560,1583582100,1583711640,1583768760,1583872080,1583971200,1584045060,1584130320,1584227160,1584304200,1584359940
apparentTemperatureMax,18.73,13.78,7.69,18.63,20.49,27.36,19.64,5.51,7.23,16.56,0.23,4.66,-0.52,-8.62,-11.03,-2,3.22,6.82,9.05,24.15,31.15,34.04,30.81,9.16,5.72,-3.69,4.36,9.48,19.54,23.89,31.32,20.4,22.18,23.89,16.06,20.25,25.33,20.03,21.71,23.04,23.23,22.39,16.76,17.2,27.29,27.77,32.28,29.76,24.33,25.36,23.67,21.21,26.94,17.51,29.8
apparentTemperatureMaxTime,1579683960,1579708800,1579853160,1579928580,1580015640,1580101500,1580180400,1580273880,1580353200,1580447100,1580533860,1580634540,1580661480,1580750760,1580897280,1580965200,1581070140,1581145440,1581224460,1581311700,1581396900,1581483600,1581569340,1581609600,1581742920,1581782400,1581934200,1582002720,1582106820,1582174440,1582276080,1582300800,1582444380,1582531320,1582606440,1582707660,1582779300,1582866120,1582966860,1583050140,1583133120,1583211960,1583334000,1583384880,1583470920,1583557080,1583657700,1583683200,1583843820,1583903280,1583956020,1584085500,1584161880,1584201600,1584345900
apparentTemperatureMin,7.59,-5.59,-6.13,-10.85,-10.9,0.08,0.09,-6.42,-7.07,-9.19,-11.09,-14.55,-15.77,-22.72,-29.39,-29.7,-12.4,-12.85,-13.26,-1.64,8.5,24.2,10.89,-1.09,-3.12,-8.64,-11.96,-13.17,0.35,2.55,14.35,7.2,3.07,10.75,7.2,4.2,5.46,5.69,7.99,12.12,12.44,2.31,10.02,1.57,8.39,22.31,25.03,17.37,15.8,9.69,4.37,-1.57,13.41,6.12,2.35
apparentTemperatureMinTime,1579624320,1579791600,1579804980,1579896720,1579996380,1580075340,1580223600,1580310000,1580313600,1580421060,1580512200,1580594280,1580680980,1580816700,1580851560,1580933340,1581007260,1581174000,1581178140,1581278820,1581350400,1581460020,1581606000,1581692400,1581709920,1581865200,1581893040,1581969360,1582052340,1582143360,1582214400,1582334280,1582400820,1582493880,1582581420,1582666680,1582758300,1582823460,1582920120,1583006160,1583161200,1583180760,1583282460,1583354580,1583438160,1583536560,1583596800,1583766000,1583852400,1583872080,1584025200,1584045060,1584130320,1584241500,1584304200
cloudCover,0.65,0.5,0.01,0.06,0,0.26,1,1,0.89,0.21,0.69,0.67,0.31,0.56,0.89,0.29,0.82,0.43,0.57,0.35,0.27,0.57,1,0.99,1,1,0.78,0.14,0.22,0.24,1,0.94,0.57,0.4,0.85,0.58,0.05,0.79,0.39,0.9,0.86,0.87,0.99,0.2,0.45,0.91,0.98,1,0.7,0.3,0.6,0.01,0.37,0.75,0.13
dewPoint,17.09,9.41,-6.57,-4.58,0.12,4.28,8.2,4.28,-2.62,-2.11,1.51,-3.43,-6.72,-11.58,-18.33,-12.17,1.23,-5.21,6.12,7.18,25.53,30.74,29.81,8.78,6.04,3.23,-3.45,4.29,11.46,10.26,26.55,17.32,16.77,15.69,14.56,12.8,11.94,19.77,14.38,14.66,13.85,15.29,19.06,13.69,22.91,29.09,31.54,25.9,18.98,15.53,10.83,-2.07,15.23,13.15,11.61
humidity,0.89,0.79,0.62,0.62,0.78,0.72,0.83,0.89,0.85,0.83,0.85,0.77,0.73,0.74,0.75,0.71,0.81,0.79,0.81,0.84,0.79,0.86,0.94,0.82,0.77,0.79,0.79,0.78,0.8,0.7,0.92,0.87,0.75,0.79,0.85,0.86,0.79,0.86,0.83,0.86,0.86,0.86,0.9,0.82,0.82,0.91,0.89,0.89,0.82,0.68,0.51,0.38,0.57,0.73,0.63
icon,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,cloudy,cloudy,cloudy,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,cloudy,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,wind,wind,snow,cloudy,cloudy,cloudy,partly-cloudy-day,clear-day,clear-day,clear-day,snow,snow,wind,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,snow,partly-cloudy-day,cloudy,snow,snow,snow,clear-day,partly-cloudy-day,snow,cloudy,snow,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,snow,clear-day
moonPhase,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.62,0.66,0.7,0.74,0.77,0.8,0.84,0.87,0.9,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
ozone,370.5,412.5,410.4,404.3,410.8,396.3,403.2,375.7,363.4,390.8,374.7,416.8,454.3,463.2,458.7,412.9,396.1,385.5,411.2,393.3,353.9,356.3,362.9,357.4,355,397.9,408.7,384.8,423.8,441.4,414,428.3,383.5,344.3,354.3,394.9,399.2,405.4,395.6,393.6,411.5,389.1,425.3,383.5,381.1,396.1,373.5,384.4,411.1,406.9,405.4,409.7,402,412.8,385.3
precipAccumulation,0.22,0.48,,,0.07,0.04,,0.16,0.11,0.06,0.13,0.05,,0.17,0.12,0.1,0.27,,0.21,0.12,0.01,,0.27,0.28,0.81,1.17,0.09,0.09,0.05,0.03,3.31,1.97,0.07,,0.04,0.04,0.02,2.09,0.04,0.07,0.16,0.41,2.72,0.02,0.05,1.17,0.01,1.7,0.2,0.04,0.41,0.04,0.45,1,
precipIntensity,0.0007,0.0012,0,0,0.0001,0.0001,0,0.0003,0.0002,0.0001,0.0002,0.0001,0,0.0002,0.0001,0.0001,0.0005,0,0.0005,0.0002,0.0001,0.0001,0.0018,0.0006,0.0018,0.0021,0.0001,0.0002,0.0001,0.0001,0.0152,0.0055,0.0002,0,0.0001,0.0001,0.0001,0.0083,0.0001,0.0002,0.0005,0.0013,0.0079,0.0001,0.0003,0.0059,0.0002,0.0109,0.0007,0.0001,0.0021,0.0001,0.0019,0.0027,0
precipIntensityMax,0.0021,0.0065,0.0002,0.0002,0.0003,0.0004,0.0003,0.0005,0.0005,0.0002,0.0007,0.0003,0.0002,0.0007,0.0003,0.0003,0.0018,0.0003,0.0022,0.0007,0.0002,0.0004,0.0045,0.0041,0.0055,0.0034,0.0008,0.0004,0.0004,0.0004,0.0418,0.0101,0.0008,0.0003,0.0003,0.0003,0.0003,0.0264,0.0003,0.0005,0.0018,0.0054,0.0176,0.0003,0.0008,0.0189,0.0028,0.0536,0.0027,0.0004,0.01,0.0004,0.0173,0.0142,0
precipIntensityMaxTime,1579662840,1579717080,1579845600,1579905000,1580032800,1580119200,1580147760,1580295120,1580363880,1580418000,1580536320,1580589960,1580666580,1580763420,1580836080,1580947200,1581023820,1581152400,1581238860,1581271140,1581368400,1581518820,1581606000,1581609600,1581767640,1581801480,1581871560,1582005780,1582053900,1582194900,1582274760,1582355640,1582459740,1582524000,1582567200,1582664160,1582772400,1582879080,1582912920,1583063700,1583121060,1583236320,1583268720,1583377200,1583488860,1583531100,1583679600,1583692080,1583808120,1583924880,1583959320,1584043800,1584190740,1584231600,1584306000
precipProbability,0.22,0.22,0.03,0.02,0.02,0.01,0.01,0.07,0.05,0.03,0.08,0.01,0.02,0.07,0.07,0.03,0.07,0.02,0.1,0.05,0.04,0.05,0.36,0.08,0.15,0.19,0.02,0.06,0.03,0.03,0.94,0.55,0.15,0.09,0.13,0.14,0.1,0.55,0.06,0.15,0.25,0.35,0.64,0.06,0.07,0.75,0.13,0.86,0.18,0.05,0.12,0.01,0.18,0.43,0
precipType,snow,snow,,,snow,snow,,snow,snow,snow,snow,snow,,snow,snow,snow,snow,,snow,snow,snow,rain,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,
pressure,1024.4,1027.8,1038.9,1035.1,1035.6,1028.6,1025.9,1026.6,1026.1,1024.4,1027,1029.7,1027,1029.9,1038.4,1036.4,1028.9,1032.6,1021.1,1023.8,1018.3,1014.9,1014.9,1031.2,1028.3,1020.8,1023.6,1025.3,1028.6,1033.1,1024,1020.8,1019.8,1024.3,1027.9,1031.7,1031.4,1018.7,1021.5,1023.1,1027,1025.1,1022.9,1023.8,1017.7,1017.4,1016.3,1019.9,1012,1014.1,1015.7,1022.6,1009.7,1015.7,1017.2
