,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956,41.2956
Long,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085,122.6085
Province/State,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning,Liaoning
apparentTemperatureHigh,27.09,23.41,15.07,29,18.5,23.06,19.68,7.48,7.93,29.06,24.49,12.26,17.58,5.07,0.16,13.89,24.67,20.5,36.05,42.86,55.09,54.3,56.48,10.96,9.61,5.94,10.18,31.13,29.98,39.76,29.91,29.2,36.56,36.55,30.05,31.21,40.58,35.33,31.73,33.99,41.55,34.37,24.26,33.45,51.63,42.38,44.37,30.88,36.04,43.71,40.27,37.84,52.1,23.06,35.98
apparentTemperatureHighTime,1579674720,1579753620,1579849020,1579934640,1580021580,1580101860,1580187660,1580274180,1580367420,1580454600,1580540640,1580620380,1580712120,1580796000,1580885820,1580971800,1581058020,1581145140,1581231120,1581316740,1581397320,1581483420,1581569700,1581647040,1581759180,1581835440,1581922860,1582003380,1582095180,1582181040,1582270680,1582354920,1582433760,1582520760,1582606140,1582701240,1582779780,1582860240,1582952760,1583038860,1583134740,1583205240,1583308620,1583384340,1583471580,1583567400,1583653800,1583740560,1583811660,1583910780,1583989920,1584080640,1584171240,1584247320,1584343380
apparentTemperatureLow,17.02,-2.62,5.85,-12.22,-6.41,6.9,-3.98,-9.7,-8.74,-0.16,-0.82,5.74,-7.96,-16.04,-16.41,4.18,-3.23,-0.18,12.12,19.41,29.77,29.12,8.77,-0.19,-2.19,-6.71,-4.94,11.89,8.81,22,10.54,13.3,17.75,19.82,11.35,13.46,21.81,21.38,20.08,12.34,20.58,11.82,8.41,18.57,30.83,23.09,23.04,14.88,15.6,29.77,17.87,20.52,20.72,7.62,22.55
apparentTemperatureLowTime,1579736640,1579821240,1579877100,1579993200,1580075760,1580168580,1580248980,1580335680,1580421300,1580510100,1580594100,1580681460,1580771520,1580858340,1580939400,1580990580,1581116340,1581191460,1581286200,1581350820,1581451200,1581526920,1581635280,1581717180,1581807420,1581892620,1581969000,1582069080,1582148640,1582212600,1582321860,1582398240,1582495080,1582574280,1582667400,1582747200,1582819680,1582927560,1583013480,1583093280,1583171040,1583265840,1583352420,1583423400,1583529780,1583610540,1583712000,1583783940,1583870220,1583965980,1584035520,1584129540,1584225300,1584303720,1584388980
apparentTemperatureMax,27.09,23.41,15.07,29,18.5,23.06,19.68,7.48,7.93,29.06,24.49,12.26,17.58,7.77,0.16,13.89,24.67,20.5,36.05,42.86,55.09,54.3,56.48,16.68,9.61,5.94,15.35,31.13,29.98,39.76,29.91,29.2,36.56,36.55,30.05,31.21,40.58,35.33,31.73,33.99,41.55,34.37,24.26,33.45,51.63,42.38,44.37,37.95,36.04,43.71,40.27,37.84,52.1,31.43,35.98
apparentTemperatureMaxTime,1579674720,1579753620,1579849020,1579934640,1580021580,1580101860,1580187660,1580274180,1580367420,1580454600,1580540640,1580620380,1580712120,1580745600,1580885820,1580971800,1581058020,1581145140,1581231120,1581316740,1581397320,1581483420,1581569700,1581609600,1581759180,1581835440,1581945180,1582003380,1582095180,1582181040,1582270680,1582354920,1582433760,1582520760,1582606140,1582701240,1582779780,1582860240,1582952760,1583038860,1583134740,1583205240,1583308620,1583384340,1583471580,1583567400,1583653800,1583687520,1583811660,1583910780,1583989920,1584080640,1584171240,1584201600,1584343380
apparentTemperatureMin,19.36,6.71,-2.62,1.85,-12.22,-6.41,5.23,-3.98,-9.7,-8.74,-0.16,-0.82,5.74,-7.96,-16.04,-16.41,5.5,-3.23,-0.18,12.12,19.41,29.77,18.77,2.96,-0.19,-2.19,-6.71,-4.94,11.89,8.81,21.5,10.54,13.3,17.75,19.11,11.35,13.46,21.81,21.38,20.08,12.34,16.27,11.82,8.41,18.58,30.83,23.09,22.65,14.88,15.6,21.61,17.87,20.52,16.63,7.62
apparentTemperatureMinTime,1579694220,1579791600,1579821240,1579964400,1579993200,1580075760,1580223600,1580248980,1580335680,1580421300,1580510100,1580594100,1580681460,1580771520,1580858340,1580939400,1581004800,1581116340,1581191460,1581286200,1581350820,1581451200,1581606000,1581692400,1581717180,1581807420,1581892620,1581969000,1582069080,1582148640,1582297200,1582321860,1582398240,1582495080,1582642800,1582667400,1582747200,1582819680,1582927560,1583013480,1583093280,1583247600,1583265840,1583352420,1583424000,1583529780,1583610540,1583766000,1583783940,1583870220,1584025200,1584035520,1584129540,1584283680,1584303720
cloudCover,0.68,0.31,0,0,0.03,0.93,1,1,0.4,0.03,0.03,0.9,0.07,0.22,0,0.04,0.58,0,0.17,0,0,0.16,0.39,0.99,1,0.68,0.22,0.09,0.5,0.45,0.99,0.1,0.27,0.58,0.79,0,0.32,0.75,0.66,0.64,0.11,0.93,0.57,0.01,0.38,0.97,0.79,1,0.32,0.11,0.64,0.05,0.39,0.13,0.17
dewPoint,22.24,13.83,-3.29,0.19,2.96,6.92,11.56,7.56,3.09,0.46,4.19,3.91,0.22,-9.99,-18.91,-9.17,8.86,5.19,14.04,20.04,29.9,36.54,34.78,14.4,12.43,7.67,3.25,13.96,16.29,19.59,31.87,15.58,21.03,23.78,17.49,13.16,8.63,20.14,21.14,17.6,10.47,22.68,16.33,14.11,25.91,36.16,35.74,32.32,15.58,11.51,10.04,0.68,14.31,1.28,5.84
humidity,0.77,0.65,0.44,0.49,0.64,0.65,0.63,0.67,0.64,0.6,0.57,0.58,0.54,0.39,0.31,0.5,0.63,0.62,0.65,0.71,0.68,0.77,0.73,0.68,0.74,0.62,0.61,0.73,0.7,0.69,0.93,0.59,0.59,0.67,0.5,0.5,0.43,0.54,0.64,0.53,0.44,0.72,0.64,0.56,0.55,0.87,0.83,0.86,0.51,0.37,0.33,0.29,0.42,0.28,0.35
icon,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,cloudy,cloudy,cloudy,partly-cloudy-day,clear-day,clear-day,cloudy,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,snow,snow,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,partly-cloudy-day,clear-day,snow,partly-cloudy-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,rain,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day
moonPhase,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.62,0.66,0.7,0.74,0.77,0.8,0.84,0.87,0.9,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
ozone,353.7,361.6,386.6,387.1,406,374.4,394,369.5,367.2,363,347.4,386.2,404.9,434,415.1,393.3,364.4,360.9,404.8,366.7,330.4,362,354.2,347.4,360.7,402.7,424.1,379.9,417.1,427.1,408.4,399.3,376.9,321.5,330.1,385.2,389,396.2,366.7,378.7,393,371,422.3,374.4,367.3,377.6,366,377.8,424.3,409.3,385.1,395.6,398.4,387.3,361.7
precipAccumulation,0.03,0.03,,,0.05,0.02,,0.07,0.05,0.04,0.05,0.19,,0.06,0.06,0.08,0.04,,0.01,0.02,0,,,1.15,4.22,0.34,0.03,0.05,0.04,0.01,2.12,0.02,0.03,,0.01,0.02,0.01,,0.15,0.09,0,1.26,0.05,,0.01,,,,,0.01,,0.03,0.01,,
precipIntensity,0.0001,0.0001,0,0,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0005,0,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0002,0.0001,0.0001,0.0008,0.0035,0.0111,0.0009,0.0001,0.0002,0.0001,0.0001,0.0189,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0007,0.0019,0.0007,0.0001,0.01,0.0002,0,0.0001,0.0072,0.0003,0.011,0,0.0002,0.0003,0.0001,0.0001,0.0001,0
precipIntensityMax,0.0012,0.0002,0.0002,0.0002,0.0003,0.0004,0.0003,0.0003,0.0003,0.0002,0.0003,0.0031,0.0002,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0004,0.0002,0.0004,0.0063,0.0142,0.0282,0.0025,0.0003,0.0004,0.0004,0.0004,0.0698,0.0005,0.0003,0.0003,0.0005,0.0003,0.0003,0.0052,0.0066,0.0049,0.0002,0.0568,0.0022,0.0003,0.0008,0.02,0.0032,0.027,0.0004,0.0004,0.001,0.0004,0.0004,0.0004,0
precipIntensityMaxTime,1579651380,1579726440,1579845600,1579905000,1580032800,1580119500,1580147760,1580287200,1580365500,1580418000,1580505900,1580633940,1580666580,1580762520,1580837760,1581001200,1581051240,1581152400,1581237300,1581328800,1581368400,1581518820,1581606000,1581685860,1581735900,1581809640,1581935400,1582005960,1582053900,1582194900,1582246260,1582300800,1582412880,1582524000,1582599900,1582664160,1582772400,1582869780,1582966080,1583063940,1583138160,1583215500,1583251200,1583377200,1583506800,1583525760,1583679600,1583705340,1583787600,1583924700,1583983200,1584043800,1584122400,1584218820,1584360060
precipProbability,0.09,0.05,0.02,0.03,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.11,0.02,0.05,0.02,0.02,0.04,0.01,0.04,0.02,0.04,0.04,0.09,0.31,0.66,0.13,0.01,0.04,0.02,0.05,0.98,0.07,0.03,0.03,0.1,0.06,0.02,0.17,0.27,0.2,0.02,0.93,0.08,0.02,0.03,0.83,0.1,0.93,0.01,0.02,0.05,0.02,0.04,0.03,0
precipType,snow,snow,,,snow,snow,,snow,snow,snow,snow,snow,,snow,snow,snow,snow,,snow,snow,snow,rain,rain,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,,snow,snow,snow,rain,snow,snow,snow,snow,snow,,snow,rain,rain,rain,,snow,rain,snow,snow,rain,
pressure,1024.4,1029.3,1038.6,1034.4,1034.1,1026.6,1025.1,1026.2,1025.5,1023.5,1029,1029.9,1027.9,1031.6,1039.1,1035.9,1029.2,1031.6,1022.1,1021,1019.5,1015.3,1015.2,1028.1,1025.7,1021.8,1025.4,1026.6,1029.5,1031.8,1024.3,1025.3,1021.5,1023.1,1024.1,1031.6,1030.4,1019.4,1021.8,1022.7,1026.4,1021.9,1027.5,1024.1,1016.1,1017.7,1016.8,1018.9,1015.1,1015.4,1019.2,1025,1012.9,1019.1,1017.9
summary,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy overnight.,Snow (1–4 in.) overnight.,Snow (2–4 in.) in the morning.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Snow (1–3 in.) until evening.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Light snow (1–2 in.) until evening.,Mostly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Light rain in the morning.,Possible light rain overnight.,Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.
sunriseTime,1579648260,1579734600,1579821000,1579907340,1579993680,1580080020,1580166360,1580252760,1580339100,1580425440,1580511780,1580598120,1580684460,1580770800,1580857140,1580943480,1581029820,1581116100,1581202440,1581288780,1581375120,1581461460,1581547740,1581634080,1581720420,1581806760,1581893040,1581979380,1582065660,1582152000,1582238340,1582324620,1582410960,1582497240,1582583580,1582669860,1582756200,1582842480,1582928820,1583015100,1583101440,1583187720,1583274000,1583360340,1583446620,1583532960,1583619240,1583705520,1583791860,1583878140,1583964420,1584050760,1584137040,1584223320,1584309660
sunsetTime,1579683180,1579769640,1579856160,1579942620,1580029080,1580115540,1580202060,1580288520,1580374980,1580461440,1580547960,1580634420,1580720880,1580807400,1580893860,1580980320,1581066780,1581153300,1581239760,1581326220,1581412680,1581499200,1581585660,1581672120,1581758580,1581845100,1581931560,1582018020,1582104480,1582191000,1582277460,1582363920,1582450380,1582536840,1582623360,1582709820,1582796280,1582882740,1582969200,1583055720,1583142180,1583228640,1583315100,1583401560,1583488020,1583574480,1583660940,1583747460,1583833920,1583920380,1584006840,1584093300,1584179760,1584266220,1584352680
temperatureHigh,33.54,33.53,24.68,29.24,27.14,29.62,30.2,22.87,21.37,29.56,30.33,22.52,26.99,19.04,12.19,23.81,30.87,28.46,41.78,46.89,55.59,54.8,56.98,25.78,23.38,22.69,21.89,36.14,35.5,42.93,37.27,37.64,45.89,43.44,39.77,39.68,43.33,44.48,38.08,40.65,41.9,41.2,34.05,42.68,51.74,45.56,50.62,39.3,43.64,50.2,47.15,44.45,52.36,35.53,45.25
temperatureHighTime,1579672980,1579754640,1579842840,1579935060,1580016360,1580101980,1580187840,1580274120,1580361480,1580454600,1580539980,1580620080,1580712600,1580796000,1580885160,1580972640,1581053460,1581144000,1581225180,1581316260,1581397320,1581483420,1581569700,1581647940,1581754380,1581833520,1581919680,1582003200,1582095060,1582181280,1582270920,1582352880,1582433820,1582520820,1582606020,1582699980,1582779900,1582860180,1582952400,1583038920,1583134740,1583204940,1583305320,1583384520,1583470980,1583567760,1583653020,1583740200,1583815140,1583910900,1583990400,1584082500,1584170100,1584246900,1584342900
temperatureLow,19.73,9.52,5.49,1.08,4.32,16.28,11.5,6.95,-0.41,6.93,10.96,5.25,5.82,-0.29,-7.35,14.15,6.03,9.82,16.75,25.78,37.7,35.84,22.6,15.39,15.21,8.48,6.01,16.61,15.98,28.71,19.49,22.03,25.78,30.19,22.79,17.68,30.09,27.54,26.29,21.03,24.18,23.08,14.32,28.6,36.7,29.64,32.72,23.22,20.43,36.02,18.15,25.19,30.24,14.26,29.19
temperatureLowTime,1579712160,1579822080,1579906320,1579993020,1580075820,1580162400,1580248860,1580335860,1580422620,1580511600,1580594160,1580681460,1580772000,1580856540,1580940480,1581029340,1581115740,1581181260,1581286320,1581350820,1581451200,1581523800,1581635040,1581717300,1581807240,1581891720,1581969000,1582062300,1582149240,1582212240,1582321500,1582391100,1582489080,1582574040,1582667160,1582747200,1582813140,1582926960,1583013300,1583093460,1583165040,1583265780,1583351700,1583424120,1583531580,1583610060,1583712000,1583784300,1583870760,1583962920,1584044100,1584130500,1584217620,1584302340,1584388980
temperatureMax,33.54,33.53,24.68,29.24,27.14,29.62,30.2,22.87,21.37,29.56,30.33,22.52,26.99,19.22,12.19,23.81,30.87,28.46,41.78,46.89,55.59,54.8,56.98,29.31,23.38,22.69,21.89,36.14,35.5,42.93,37.27,37.64,45.89,43.44,39.77,39.68,43.33,44.48,38.08,40.65,41.9,41.2,34.05,42.68,51.74,45.56,50.62,40.87,43.64,50.2,47.15,44.45,52.36,38.57,45.25
temperatureMaxTime,1579672980,1579754640,1579842840,1579935060,1580016360,1580101980,1580187840,1580274120,1580361480,1580454600,1580539980,1580620080,1580712600,1580745600,1580885160,1580972640,1581053460,1581144000,1581225180,1581316260,1581397320,1581483420,1581569700,1581609600,1581754380,1581833520,1581919680,1582003200,1582095060,1582181280,1582270920,1582352880,1582433820,1582520820,1582606020,1582699980,1582779900,1582860180,1582952400,1583038920,1583134740,1583204940,1583305320,1583384520,1583470980,1583567760,1583653020,1583683200,1583815140,1583910900,1583990400,1584082500,1584170100,1584201600,1584342900
temperatureMin,22.13,16.45,9.52,5.49,1.08,4.32,16.28,11.5,6.95,-0.41,6.93,10.96,5.25,5.82,-0.29,-7.35,13.64,6.03,9.82,16.75,25.78,36.26,29.89,18.41,15.39,15.21,8.48,6.01,16.61,15.98,28.49,19.49,22.03,25.78,28.95,22.79,17.68,28.83,27.54,26.29,21.03,24.18,18.66,14.32,28.6,35.06,29.64,30.65,23.22,20.43,29.35,18.15,25.19,21.06,14.26
temperatureMinTime,1579705200,1579791600,1579822080,1579906320,1579993020,1580075820,1580162400,1580248860,1580335860,1580422620,1580511600,1580594160,1580681460,1580772000,1580856540,1580940480,1581087600,1581115740,1581181260,1581286320,1581350820,1581519600,1581606000,1581692400,1581717300,1581807240,1581891720,1581969000,1582062300,1582149240,1582297200,1582321500,1582391100,1582489080,1582642800,1582667160,1582747200,1582902000,1582926960,1583013300,1583093460,1583165040,1583334000,1583351700,1583424120,1583593200,1583610060,1583766000,1583784300,1583870760,1584025200,1584044100,1584130500,1584284400,1584302340
