,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667,22.1667
Long,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55,113.55
Province/State,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau,Macau
apparentTemperatureHigh,69.86,73.36,74.67,70.48,60.08,56.95,58.97,60.85,63.64,63.14,64.42,65.35,67.87,63.38,64.67,65.21,67.12,65.07,63.05,63.53,65.5,70.55,67.57,71.33,71.07,57.08,60.12,62.34,64.84,67.72,69.51,72.71,70.74,69.3,73.58,76.03,70.19,72.6,74.9,75.85,70.35,69.77,70.92,66,67.19,71.91,73.25,76.89,74.25,67.12,72.16,74.16,73.85,71.29,70.54
apparentTemperatureHighTime,1579671660,1579755480,1579839000,1579921260,1580014920,1580120400,1580206020,1580294220,1580373660,1580456580,1580542740,1580626920,1580712960,1580810100,1580894760,1580970120,1581048180,1581148980,1581241200,1581322800,1581418800,1581497700,1581588720,1581660180,1581741780,1581822780,1581927540,1582005780,1582092480,1582179840,1582268100,1582352580,1582434240,1582523880,1582615860,1582698600,1582783380,1582873260,1582956780,1583044440,1583126400,1583211360,1583297580,1583395080,1583475240,1583564640,1583640240,1583725560,1583826780,1583903160,1583999400,1584076740,1584172020,1584245160,1584335220
apparentTemperatureLow,66.99,68.5,67.67,55.48,51.4,43.6,52.09,54.65,55.89,59.63,62.34,62.44,58.74,61.02,62.09,64.06,61.4,58.41,59.84,62.09,64.45,65.94,66.92,68.12,53.71,50.16,55.02,58.26,59.32,62.2,60.17,64.34,64.64,65.81,66.16,68.42,66.24,67.06,67.72,69.5,66.19,67.63,61.11,64.71,66.82,69.69,71.33,67.45,65.88,66.52,70.29,66.13,67.21,66.35,68.81
apparentTemperatureLowTime,1579733880,1579798080,1579907460,1579996800,1580077080,1580162400,1580248860,1580338800,1580402640,1580511540,1580574720,1580680740,1580767980,1580847120,1580940060,1581029880,1581115860,1581202860,1581278280,1581375240,1581433260,1581527820,1581599520,1581720060,1581810120,1581889140,1581979680,1582048680,1582145760,1582235640,1582325640,1582414320,1582496820,1582556520,1582670220,1582754040,1582842900,1582909560,1583013540,1583089260,1583185980,1583274720,1583363700,1583452620,1583499600,1583594940,1583690820,1583792040,1583871180,1583931420,1584031800,1584136980,1584221460,1584303060,1584389400
apparentTemperatureMax,69.86,73.36,74.67,70.48,63.47,56.99,59.09,60.85,63.64,63.14,64.42,65.35,67.87,63.38,64.67,65.21,67.12,65.07,63.05,63.53,65.7,70.55,67.57,71.33,71.07,63.93,61.08,62.34,64.84,67.72,69.51,72.71,70.74,69.3,73.58,76.03,70.19,72.6,74.9,75.85,70.69,69.77,70.92,66,67.19,71.91,73.25,76.89,74.29,69.26,72.16,74.16,73.85,71.29,70.54
apparentTemperatureMaxTime,1579671660,1579755480,1579839000,1579921260,1579968000,1580125020,1580218260,1580294220,1580373660,1580456580,1580542740,1580626920,1580712960,1580810100,1580894760,1580970120,1581048180,1581148980,1581241200,1581322800,1581425940,1581497700,1581588720,1581660180,1581741780,1581782400,1581941940,1582005780,1582092480,1582179840,1582268100,1582352580,1582434240,1582523880,1582615860,1582698600,1582783380,1582873260,1582956780,1583044440,1583078400,1583211360,1583297580,1583395080,1583475240,1583564640,1583640240,1583725560,1583769600,1583856000,1583999400,1584076740,1584172020,1584245160,1584335220
apparentTemperatureMin,64.72,66.99,68.5,62.55,54.54,51.4,43.6,52.09,54.65,55.89,59.63,62.34,61.46,58.74,61.02,62.09,64.06,61.4,58.41,59.84,61.93,65.21,65.94,67.03,66.2,51.47,50.16,55.02,58.26,59.32,62.2,60.17,64.34,64.64,66.44,66.16,68.01,66.24,67.06,67.72,66.92,66.19,65.13,61.11,64.71,67.43,69.72,71.33,67.45,65.88,67.04,70.29,66.13,67.21,66.35
apparentTemperatureMinTime,1579647780,1579733880,1579798080,1579964400,1580050800,1580077080,1580162400,1580248860,1580338800,1580402640,1580511540,1580574720,1580742000,1580767980,1580847120,1580940060,1581029880,1581115860,1581202860,1581278280,1581382380,1581439860,1581527820,1581611820,1581778800,1581841080,1581889140,1581979680,1582048680,1582145760,1582235640,1582325640,1582414320,1582496820,1582567800,1582670220,1582815600,1582842900,1582909560,1583013540,1583161200,1583185980,1583329140,1583363700,1583452620,1583510400,1583596800,1583690820,1583792040,1583871180,1583942400,1584031800,1584136980,1584221460,1584303060
