,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692,37.2692
Long,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655,106.1655
Province/State,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia,Ningxia
apparentTemperatureHigh,35.28,31.27,36.23,32.83,29.95,32.71,32.83,39.03,44.75,40.2,30.46,32.69,45.1,45.16,41.46,47.48,41.66,38.13,52.08,57.11,56.81,61.64,38.39,10.5,15.53,29.84,44.26,40.34,54.93,31.46,37.06,57.27,66.57,55.51,62.62,58.57,52.4,64.59,52.35,48.28,43.12,54.16,60.13,61.2,54.42,66.45,36.87,32.34,52.62,57.09,45.5,40.75,54.08,60.93,59.33
apparentTemperatureHighTime,1579681260,1579765920,1579851900,1579937760,1580024280,1580110740,1580197860,1580284800,1580367540,1580455860,1580543700,1580630040,1580716440,1580802000,1580887680,1580975580,1581061500,1581148320,1581233820,1581320940,1581406980,1581493320,1581570000,1581655980,1581753240,1581839340,1581925860,1582012320,1582098780,1582185240,1582271700,1582358160,1582444440,1582529280,1582617120,1582703400,1582789980,1582877460,1582961700,1583049000,1583128620,1583221860,1583308620,1583394660,1583480820,1583567520,1583654280,1583739960,1583826420,1583906340,1583989320,1584086040,1584172380,1584258600,1584346080
apparentTemperatureLow,14.59,21.38,10.07,9.27,16.31,17.61,9.34,10.59,18.4,18.73,7.18,9.17,12.09,15.36,13.64,16.54,11.99,12.06,17.92,22.39,21.3,21.72,4.08,-10.14,-1.62,3.84,12.32,15.55,12.27,18.18,15.21,23.7,28.8,23.74,31.64,34.5,23.89,26.15,23.81,25.24,16.08,22.21,28.95,32.87,26.68,27.16,14.79,14.6,23,29.04,22.05,16.79,22.79,31.57,26.38
apparentTemperatureLowTime,1579718520,1579823700,1579909740,1579996140,1580056980,1580169180,1580254200,1580340600,1580425020,1580514300,1580600400,1580686200,1580772660,1580859000,1580945520,1581030540,1581118140,1581204600,1581290820,1581377880,1581461940,1581551280,1581638280,1581722700,1581809160,1581895620,1581981480,1582068960,1582155300,1582212780,1582327980,1582412100,1582501740,1582586520,1582669920,1582754760,1582844100,1582933320,1583015940,1583106180,1583191800,1583272380,1583364420,1583431740,1583521020,1583624940,1583711100,1583796360,1583880540,1583968440,1584057180,1584139620,1584226320,1584313380,1584400680
apparentTemperatureMax,35.28,31.27,36.23,32.83,29.95,32.71,32.83,39.03,44.75,40.2,30.46,32.69,45.1,45.16,41.46,47.48,41.66,38.13,52.08,57.11,56.81,61.64,38.39,16.52,15.53,29.84,44.26,40.34,54.93,31.46,37.06,57.27,66.57,55.51,62.62,58.57,52.4,64.59,52.35,48.28,43.12,54.16,60.13,61.2,54.42,66.45,41.37,32.34,52.62,57.09,45.5,40.75,54.08,60.93,59.33
apparentTemperatureMaxTime,1579681260,1579765920,1579851900,1579937760,1580024280,1580110740,1580197860,1580284800,1580367540,1580455860,1580543700,1580630040,1580716440,1580802000,1580887680,1580975580,1581061500,1581148320,1581233820,1581320940,1581406980,1581493320,1581570000,1581609600,1581753240,1581839340,1581925860,1582012320,1582098780,1582185240,1582271700,1582358160,1582444440,1582529280,1582617120,1582703400,1582789980,1582877460,1582961700,1583049000,1583128620,1583221860,1583308620,1583394660,1583480820,1583567520,1583596800,1583739960,1583826420,1583906340,1583989320,1584086040,1584172380,1584258600,1584346080
