,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452,35.7452
Long,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956,95.9956
Province/State,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai,Qinghai
apparentTemperatureHigh,3.63,6.95,-1.49,-2.64,13.28,2.81,2.32,14.87,17.11,4.91,2.68,7.79,2.62,6.2,13.34,5.96,8.92,1.38,14.3,8.67,14.28,15.9,14.64,9.59,5.62,20.04,12.53,8.53,16.58,2.09,16.72,16.94,20.76,19.88,21.7,19.47,11.74,20.01,27.08,15.54,10.63,9.83,21.53,16.3,20.13,19.42,10.5,7.27,14.3,17.09,12.62,22.16,27.33,17.34,14.36
apparentTemperatureHighTime,1579676880,1579755660,1579838460,1579938480,1580025840,1580111280,1580197080,1580284080,1580370360,1580456700,1580533260,1580629740,1580716320,1580802300,1580885580,1580975280,1581051900,1581144240,1581235380,1581321180,1581407700,1581493920,1581579660,1581665100,1581751740,1581839520,1581921960,1581998280,1582096320,1582184940,1582271640,1582360560,1582444260,1582530420,1582616880,1582702620,1582789500,1582877940,1582960200,1583048940,1583131320,1583221800,1583309280,1583394600,1583481000,1583567640,1583650020,1583740020,1583826360,1583912520,1583998560,1584085620,1584172500,1584241500,1584345360
apparentTemperatureLow,-18.3,-21.24,-20.97,-27.87,-26.29,-27.69,-32.31,-25.58,-14.72,-24.94,-25.24,-36.7,-35.97,-21.88,-20.2,-17.33,-13.86,-23.88,-29.56,-31.29,-28.7,-23.14,-7.79,-17.66,-22.18,-12.52,-9.3,-18.84,-13.24,-23.89,-25.87,-10.11,-3.82,-20.25,-3.67,-5.34,-22.35,-16.15,-5.87,-4.51,-12.6,-24.96,-19.4,-24.72,-17.09,1.02,-6.88,-11.07,-13.2,-18.41,-16.02,-8.51,4.76,-16.54,-15.82
apparentTemperatureLowTime,1579729320,1579801380,1579884720,1579996140,1580081700,1580169600,1580254200,1580341860,1580405460,1580511720,1580571900,1580685360,1580770980,1580852940,1580946000,1581007140,1581092340,1581197820,1581291120,1581378120,1581462540,1581551580,1581635400,1581721320,1581806820,1581874740,1581982620,1582053600,1582147920,1582241340,1582328040,1582400880,1582501560,1582587360,1582656420,1582761600,1582846860,1582930260,1583015940,1583073900,1583174400,1583277360,1583364900,1583448660,1583537400,1583625600,1583711760,1583797680,1583876880,1583970120,1584057600,1584140340,1584230340,1584316800,1584400980
apparentTemperatureMax,3.63,6.95,-1.49,-2.64,13.28,2.81,2.32,14.87,17.11,4.91,2.68,7.79,2.62,6.2,13.34,5.96,8.92,1.38,14.3,8.67,14.28,15.9,14.64,9.59,5.62,20.04,12.53,8.53,16.58,2.09,16.72,16.94,20.76,19.88,21.7,19.47,11.74,20.01,27.08,15.54,10.63,9.83,21.53,16.3,20.13,19.42,10.5,7.27,14.3,17.09,12.62,22.16,27.33,17.34,14.36
apparentTemperatureMaxTime,1579676880,1579755660,1579838460,1579938480,1580025840,1580111280,1580197080,1580284080,1580370360,1580456700,1580533260,1580629740,1580716320,1580802300,1580885580,1580975280,1581051900,1581144240,1581235380,1581321180,1581407700,1581493920,1581579660,1581665100,1581751740,1581839520,1581921960,1581998280,1582096320,1582184940,1582271640,1582360560,1582444260,1582530420,1582616880,1582702620,1582789500,1582877940,1582960200,1583048940,1583131320,1583221800,1583309280,1583394600,1583481000,1583567640,1583650020,1583740020,1583826360,1583912520,1583998560,1584085620,1584172500,1584241500,1584345360
