,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917,35.1917
Long,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701,108.8701
Province/State,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi,Shaanxi
apparentTemperatureHigh,42.64,39.12,34.14,34.05,28.42,35.8,39.52,42.6,45.67,45.33,38.95,41.35,43.51,48.51,39.51,37.03,46.95,50.46,54.43,56.31,58.54,61.54,62.4,29.44,25.92,37.31,45.44,52.15,54.95,36.96,53.25,54.16,60.6,63.02,65.01,52.39,36.95,56.37,60.59,52.2,47.74,51.07,58.31,52.88,61.77,60.49,56.32,52.05,55.45,61.28,58.82,54.68,59.29,61.75,60.51
apparentTemperatureHighTime,1579672920,1579755120,1579842000,1579921260,1580014740,1580101980,1580197800,1580283480,1580369220,1580455800,1580551020,1580628360,1580715840,1580791680,1580878560,1580974020,1581062400,1581148380,1581233820,1581320100,1581407280,1581493140,1581579420,1581666420,1581752520,1581839520,1581923400,1582011660,1582097700,1582161180,1582270980,1582357980,1582442580,1582529940,1582616520,1582688700,1582797780,1582874940,1582962360,1583048040,1583136240,1583221020,1583307360,1583392620,1583481180,1583566440,1583653980,1583739180,1583826720,1583912340,1583999400,1584085980,1584172320,1584256860,1584343020
apparentTemperatureLow,23.88,24.47,26.23,23.94,23.58,15.03,14.89,20.88,24.9,32.37,19.95,21.26,20.04,24.16,28.12,25.47,22.16,21.43,29.14,30.75,32.34,33.6,19.52,0.8,7.74,12.03,23.9,25.75,32.19,19.13,22.28,28.39,35.03,33.68,35.27,34.02,32.05,31.27,27.58,34.21,24.27,27.07,27.35,34.85,30.17,36.98,31.1,21.35,29.92,35.13,32.57,23.9,29.38,42.17,35.63
apparentTemperatureLowTime,1579725480,1579823640,1579909740,1579996800,1580052840,1580167980,1580254020,1580323440,1580424480,1580513700,1580600400,1580684940,1580769960,1580858460,1580947200,1580993880,1581115500,1581204420,1581290820,1581376620,1581461700,1581548100,1581637680,1581723120,1581809460,1581893760,1581979800,1582049280,1582125780,1582225440,1582321440,1582411860,1582501680,1582582680,1582667340,1582761600,1582844220,1582931820,1583019180,1583103900,1583192160,1583257740,1583348040,1583448180,1583530140,1583611740,1583710620,1583794500,1583870460,1583961420,1584056640,1584138180,1584222600,1584312900,1584398700
apparentTemperatureMax,42.64,39.12,34.14,34.05,30.05,35.8,39.52,42.6,45.67,45.33,38.95,41.35,43.51,48.51,39.51,37.03,46.95,50.46,54.43,56.31,58.54,61.54,62.4,34.39,25.92,37.31,45.44,52.15,54.95,36.96,53.25,54.16,60.6,63.02,65.01,52.39,36.95,56.37,60.59,52.2,47.74,51.07,58.31,52.88,61.77,60.49,56.32,52.05,55.45,61.28,58.82,54.68,59.29,61.75,60.51
apparentTemperatureMaxTime,1579672920,1579755120,1579842000,1579921260,1579968000,1580101980,1580197800,1580283480,1580369220,1580455800,1580551020,1580628360,1580715840,1580791680,1580878560,1580974020,1581062400,1581148380,1581233820,1581320100,1581407280,1581493140,1581579420,1581609600,1581752520,1581839520,1581923400,1582011660,1582097700,1582161180,1582270980,1582357980,1582442580,1582529940,1582616520,1582688700,1582797780,1582874940,1582962360,1583048040,1583136240,1583221020,1583307360,1583392620,1583481180,1583566440,1583653980,1583739180,1583826720,1583912340,1583999400,1584085980,1584172320,1584256860,1584343020
