,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998,31.201999999999998
Long,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491,121.4491
Province/State,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai
apparentTemperatureHigh,47.61,51.07,43.63,40.62,42.72,39.73,43.46,42.86,41.51,50.17,54.23,55.57,53.07,54.16,51.87,39.53,43.7,50.01,55.63,60.4,52.74,63.58,60.53,62.91,57,34.44,40.87,50.65,54.18,60.18,65.86,64.53,60.47,70.54,77.58,53.47,55.42,58.6,54.99,52.9,53.39,55.65,53.77,52.81,56.41,62.71,61.54,56.1,55.95,62.17,63.04,55.96,60.74,70.76,62.14
apparentTemperatureHighTime,1579672080,1579754340,1579839360,1579906800,1579993200,1580101320,1580188440,1580274240,1580368380,1580454000,1580533980,1580619720,1580705880,1580792700,1580873220,1580957580,1581056880,1581138000,1581232500,1581310980,1581418800,1581492180,1581570180,1581656340,1581734100,1581830100,1581916140,1582008360,1582088520,1582174200,1582261920,1582347840,1582433820,1582525680,1582606200,1582693620,1582780080,1582866960,1582961700,1583049300,1583125140,1583212020,1583298240,1583380980,1583467140,1583556960,1583643420,1583730060,1583826900,1583903340,1583988180,1584069060,1584170040,1584256620,1584334800
apparentTemperatureLow,43.26,41.26,40.4,39.74,36.39,29.82,29.56,28.14,24.34,33.15,37.08,42.02,38.52,36.11,34.41,35.68,35.95,32.19,32.85,43.13,47.81,43.22,51.89,55.21,16.38,22.7,26.02,30.71,39.46,40.16,41.12,36.74,50.47,58.17,44.16,38.2,41,44.48,43.92,38.73,40.83,43.69,35.57,33.61,45.53,43.09,53.41,41.66,40.63,44.82,52.7,40.5,40.76,43.08,51.1
apparentTemperatureLowTime,1579716780,1579809060,1579910400,1579950000,1580062380,1580154240,1580235660,1580335500,1580421420,1580509140,1580591640,1580687340,1580746440,1580857320,1580921160,1581004140,1581115140,1581199080,1581278460,1581379200,1581458820,1581537360,1581623520,1581710580,1581805500,1581876120,1581979140,1582050480,1582135080,1582228260,1582308060,1582401300,1582475520,1582574220,1582674660,1582746780,1582819680,1582926720,1583007360,1583093760,1583171880,1583277240,1583352300,1583437920,1583506800,1583610900,1583683260,1583794020,1583877360,1583956620,1584018840,1584124320,1584217560,1584301740,1584388620
apparentTemperatureMax,50.64,51.07,43.63,41.38,42.81,39.73,43.46,42.86,41.51,50.17,54.23,55.57,53.07,54.16,51.87,39.53,43.7,50.01,55.63,60.4,52.82,63.58,60.53,62.91,57,34.44,40.87,50.65,54.18,60.18,65.86,64.53,60.47,70.54,77.58,53.47,55.42,58.6,54.99,52.9,53.39,55.65,53.77,52.81,56.41,62.71,61.54,56.1,55.95,62.17,63.04,55.96,60.74,70.76,62.14
apparentTemperatureMaxTime,1579627980,1579754340,1579839360,1579964400,1579986360,1580101320,1580188440,1580274240,1580368380,1580454000,1580533980,1580619720,1580705880,1580792700,1580873220,1580957580,1581056880,1581138000,1581232500,1581310980,1581424980,1581492180,1581570180,1581656340,1581734100,1581830100,1581916140,1582008360,1582088520,1582174200,1582261920,1582347840,1582433820,1582525680,1582606200,1582693620,1582780080,1582866960,1582961700,1583049300,1583125140,1583212020,1583298240,1583380980,1583467140,1583556960,1583643420,1583730060,1583826900,1583903340,1583988180,1584069060,1584170040,1584256620,1584334800
