,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777,37.5777
Long,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922,112.2922
Province/State,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi,Shanxi
apparentTemperatureHigh,41.83,43.1,40.94,41.07,35.86,40.35,41.39,43.16,43.51,48.04,39.63,35.12,39.08,42.84,39.48,38.68,46.81,48.52,54.19,55.83,58.02,60.39,65.07,38.6,23.46,35.81,47.32,50.69,55.15,50.84,41.42,52.62,65.75,46.2,63.75,57.14,40.51,59.09,63.8,51.74,56.88,47.57,52.32,58.32,64.66,62.59,56.62,56.54,53.53,66.62,61.43,51.37,58.52,66.29,70.03
apparentTemperatureHighTime,1579678440,1579764660,1579852560,1579938060,1580024220,1580110800,1580194680,1580282280,1580370480,1580455320,1580540880,1580619360,1580715600,1580800380,1580889060,1580975640,1581062280,1581148140,1581233340,1581320880,1581407280,1581494040,1581580320,1581656160,1581750000,1581838440,1581925800,1582012080,1582098420,1582185420,1582260180,1582357800,1582444560,1582530060,1582617240,1582702260,1582801200,1582879740,1582962720,1583047740,1583134320,1583221800,1583308140,1583394960,1583480580,1583567580,1583653860,1583730120,1583826360,1583913000,1583991120,1584076260,1584171540,1584258600,1584345480
apparentTemperatureLow,14.16,18.19,20.29,19.98,24.65,19.22,16.45,12.9,17.99,15.55,20.13,14.22,14.94,10.68,14.52,21.13,17.35,16.99,22.61,24.6,26.7,29.7,29.29,5.2,7.87,10.27,18.15,22.29,21.65,21.28,16.56,24.78,31.83,33.75,26.67,30.53,28.94,32.75,27.44,29.9,19.35,17.09,24.14,30.79,29.1,31.42,34.22,22.21,26.94,34.8,30.44,23.92,28.9,38.75,37.21
apparentTemperatureLowTime,1579736280,1579821900,1579908780,1579994880,1580067780,1580168100,1580251680,1580340780,1580424180,1580512860,1580601420,1580684700,1580766720,1580854020,1580938740,1581004080,1581115200,1581204780,1581287040,1581375300,1581459780,1581545940,1581636960,1581719520,1581806880,1581893880,1581961800,1582063680,1582145100,1582236000,1582328040,1582411800,1582488480,1582586160,1582669560,1582742760,1582843920,1582916040,1583014320,1583099700,1583186400,1583273580,1583358900,1583446620,1583532060,1583616780,1583705880,1583793960,1583876880,1583964060,1584053460,1584131040,1584221880,1584308820,1584392340
apparentTemperatureMax,41.83,43.1,40.94,41.07,35.86,40.35,41.39,43.16,43.51,48.04,39.63,35.12,39.08,42.84,39.48,38.68,46.81,48.52,54.19,55.83,58.02,60.39,65.07,41.64,23.46,35.81,47.32,50.69,55.15,50.84,41.42,52.62,65.75,46.2,63.75,57.14,40.54,59.09,63.8,51.74,56.88,47.57,52.32,58.32,64.66,62.59,56.62,56.54,53.53,66.62,61.43,51.37,58.52,66.29,70.03
apparentTemperatureMaxTime,1579678440,1579764660,1579852560,1579938060,1580024220,1580110800,1580194680,1580282280,1580370480,1580455320,1580540880,1580619360,1580715600,1580800380,1580889060,1580975640,1581062280,1581148140,1581233340,1581320880,1581407280,1581494040,1581580320,1581609600,1581750000,1581838440,1581925800,1582012080,1582098420,1582185420,1582260180,1582357800,1582444560,1582530060,1582617240,1582702260,1582801800,1582879740,1582962720,1583047740,1583134320,1583221800,1583308140,1583394960,1583480580,1583567580,1583653860,1583730120,1583826360,1583913000,1583991120,1584076260,1584171540,1584258600,1584345480
