,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171,30.6171
Long,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103,102.7103
Province/State,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan,Sichuan
apparentTemperatureHigh,41.01,33.91,26.23,26.46,29.19,28.73,28.6,35.4,28.76,28.56,35.55,26.99,32.62,39.67,31.27,31.75,31.35,30.44,32.65,38.84,45.59,48.69,55.26,44.05,27.07,31.03,30.06,32.52,43.73,36.25,43.65,46.62,47.61,53.74,52.01,51.7,45.8,47,53.32,37.68,38.95,30.81,37.47,43.17,50.21,52.58,55.22,34.02,37.06,42.92,50.71,41.28,43.35,46.42,38.85
apparentTemperatureHighTime,1579668960,1579748580,1579841520,1579927980,1580011200,1580100600,1580181240,1580273640,1580360100,1580446200,1580532840,1580619120,1580703900,1580792340,1580878440,1580965140,1581051180,1581137460,1581223860,1581309360,1581396960,1581491280,1581577020,1581655260,1581721200,1581828960,1581915300,1582001760,1582087980,1582173240,1582261140,1582347420,1582434360,1582520520,1582606560,1582692960,1582789080,1582871100,1582952400,1583037900,1583114820,1583211600,1583297220,1583384100,1583467380,1583557140,1583643180,1583708400,1583815860,1583902080,1583988900,1584075360,1584161880,1584248040,1584334380
apparentTemperatureLow,23.25,20.21,15.95,15.84,15.27,15.58,17.72,19.03,17.26,20.05,20.42,17.41,16.06,20.75,19.83,19.89,20.47,18.91,22.53,19.72,20.67,23.78,28.16,24.49,15.48,18.76,18.87,18.6,26.91,24.96,27.87,28.42,28.34,30.94,30.31,32.46,33.2,23.55,34.99,29.72,26.85,23.46,23.42,25.86,30.38,32.82,32.17,23.77,24.82,30.33,32.6,28.19,28.99,30.37,26.46
apparentTemperatureLowTime,1579735380,1579824000,1579910400,1579996500,1580080860,1580167320,1580253840,1580340420,1580425560,1580514960,1580598900,1580685420,1580773560,1580858520,1580945520,1581030000,1581119820,1581204000,1581289800,1581378720,1581462720,1581549300,1581636000,1581724800,1581810840,1581896880,1581983640,1582068120,1582154100,1582240680,1582326300,1582415340,1582499760,1582585920,1582671660,1582758960,1582848000,1582932300,1583019360,1583104560,1583190780,1583277960,1583363820,1583443800,1583536440,1583620920,1583712000,1583797980,1583881080,1583967300,1584056520,1584141180,1584227100,1584313980,1584400860
apparentTemperatureMax,41.01,33.91,26.23,26.46,29.19,28.73,28.6,35.4,28.76,28.56,35.55,26.99,32.62,39.67,31.27,31.75,31.35,30.44,32.65,38.84,45.59,48.69,55.26,44.05,30.93,31.03,30.06,32.52,43.73,36.25,43.65,46.62,47.61,53.74,52.01,51.7,45.8,47,53.32,37.68,38.95,30.81,37.47,43.17,50.21,52.58,55.22,35.62,37.06,42.92,50.71,41.28,43.35,46.42,38.85
apparentTemperatureMaxTime,1579668960,1579748580,1579841520,1579927980,1580011200,1580100600,1580181240,1580273640,1580360100,1580446200,1580532840,1580619120,1580703900,1580792340,1580878440,1580965140,1581051180,1581137460,1581223860,1581309360,1581396960,1581491280,1581577020,1581655260,1581696300,1581828960,1581915300,1582001760,1582087980,1582173240,1582261140,1582347420,1582434360,1582520520,1582606560,1582692960,1582789080,1582871100,1582952400,1583037900,1583114820,1583211600,1583297220,1583384100,1583467380,1583557140,1583643180,1583683200,1583815860,1583902080,1583988900,1584075360,1584161880,1584248040,1584334380
