,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054,39.3054
Long,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323,117.323
Province/State,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin,Tianjin
apparentTemperatureHigh,46.95,44.74,33.81,39.65,38.99,42.66,42.87,44.1,40.36,47.34,39.27,34.7,32.31,27,19.33,27.97,37.18,40.92,51.93,56.73,60.94,63.39,61.98,23.15,21.56,28.58,39.67,50.82,42.74,43.75,51.49,45.63,61.81,53.1,47.67,47.92,41.77,52.67,43.77,52.21,51.43,42.5,40.47,54.43,61.4,60.27,56,46.02,52.43,65.49,58.24,53.54,60.81,61.66,63.56
apparentTemperatureHighTime,1579676280,1579761660,1579842720,1579936560,1580022120,1580111580,1580195820,1580281920,1580369280,1580454660,1580535120,1580629020,1580716380,1580799900,1580881980,1580986800,1581061860,1581138960,1581233700,1581320520,1581405900,1581493740,1581577800,1581634800,1581752760,1581841860,1581926280,1582010400,1582089240,1582185060,1582270320,1582358100,1582444260,1582518360,1582616760,1582702200,1582787820,1582878780,1582951500,1583047920,1583134500,1583220840,1583309040,1583395080,1583480700,1583566440,1583654040,1583739780,1583826480,1583912940,1583989380,1584085740,1584171120,1584251940,1584347940
apparentTemperatureLow,16.75,13.66,17.54,10.39,26.22,23.87,28.67,19.21,18.16,15.4,24.4,11.78,9.23,4.64,13.07,13.71,10.99,15.67,24.14,26.92,30.41,33.84,21.68,5.82,8.2,9.05,20.33,16.22,17.27,31.67,21.11,25.04,26.89,30.87,22.74,28.97,25.95,29.27,30.99,25.06,23.32,15.39,17.92,31.78,30.67,30.26,32.44,26.06,28.54,34.7,28.11,30.9,36.36,27.81,34.4
apparentTemperatureLowTime,1579736100,1579818300,1579906200,1579994040,1580075820,1580163240,1580227800,1580336580,1580416980,1580511240,1580595660,1580670120,1580760180,1580853600,1580940000,1581025020,1581115740,1581204900,1581285900,1581375240,1581455040,1581544080,1581638400,1581717840,1581807120,1581883260,1581979680,1582062960,1582149180,1582242420,1582322160,1582411740,1582494720,1582580580,1582669500,1582732140,1582843920,1582920180,1583006280,1583098560,1583186100,1583272500,1583351400,1583444520,1583531460,1583609220,1583712000,1583793720,1583869680,1583970360,1584045960,1584130320,1584215100,1584301560,1584389460
apparentTemperatureMax,46.95,44.74,33.81,39.65,38.99,42.66,42.87,44.1,40.36,47.34,39.27,34.7,32.31,27,19.33,27.98,37.18,40.92,51.93,56.73,60.94,63.39,61.98,37.34,21.56,28.58,39.67,50.82,42.74,43.75,51.49,45.63,61.81,53.1,47.67,47.92,41.77,52.67,43.77,52.21,51.43,42.5,40.47,54.43,61.4,60.27,56,46.02,52.43,65.49,58.24,53.54,60.81,61.66,63.56
apparentTemperatureMaxTime,1579676280,1579761660,1579842720,1579936560,1580022120,1580111580,1580195820,1580281920,1580369280,1580454660,1580535120,1580629020,1580716380,1580799900,1580881980,1580987040,1581061860,1581138960,1581233700,1581320520,1581405900,1581493740,1581577800,1581609600,1581752760,1581841860,1581926280,1582010400,1582089240,1582185060,1582270320,1582358100,1582444260,1582518360,1582616760,1582702200,1582787820,1582878780,1582951500,1583047920,1583134500,1583220840,1583309040,1583395080,1583480700,1583566440,1583654040,1583739780,1583826480,1583912940,1583989380,1584085740,1584171120,1584251940,1584347940
apparentTemperatureMin,24.42,16.75,13.66,17.54,10.39,26.22,23.87,23.74,19.21,18.16,15.4,16.6,11.78,9.23,4.64,13.07,13.71,10.99,15.67,24.14,26.92,30.41,33.84,14.01,5.82,8.2,9.05,20.33,16.22,17.27,29.96,21.11,25.04,26.89,30.87,22.74,28.98,25.95,29.27,30.99,25.06,23.32,15.39,17.92,31.78,30.67,30.26,30.9,26.06,28.54,34.7,28.11,30.9,30.62,27.81
apparentTemperatureMinTime,1579647420,1579736100,1579818300,1579906200,1579994040,1580075820,1580163240,1580310000,1580336580,1580416980,1580511240,1580655600,1580670120,1580760180,1580853600,1580940000,1581025020,1581115740,1581204900,1581285900,1581375240,1581455040,1581544080,1581659640,1581717840,1581807120,1581883260,1581979680,1582062960,1582149180,1582297200,1582322160,1582411740,1582494720,1582580580,1582669500,1582732800,1582843920,1582920180,1583006280,1583098560,1583186100,1583272500,1583351400,1583444520,1583531460,1583609220,1583719080,1583793720,1583869680,1583970360,1584045960,1584130320,1584284400,1584301560
cloudCover,0.35,0.24,0.44,0.26,0.58,1,0.96,0.75,0.01,0,0.34,0.87,0,0.25,0.54,0.94,0.12,0.2,0,0,0.15,0.15,0.07,0.98,0.48,0.09,0,0.26,0.02,0.44,0.76,0.06,0,0.78,0.44,0.32,0.85,0.36,0.43,0.39,0.27,0.24,0,0.08,0.68,0.26,0.59,0.98,0.3,0.02,0.63,0.35,0,0.06,0.45
dewPoint,20.74,16.4,11.89,15.99,16.58,19.6,19.32,20.62,7.53,13.71,5.61,22.52,4.38,6.14,12.35,17.76,18.78,14.11,19.55,20.42,27.75,33.69,39.56,26.66,6.92,5.48,10.34,17.63,25.67,28.83,24.73,6.72,15.83,26.95,16.34,17.77,15.96,24.18,33.57,17.86,13.4,11.68,-3.85,8.47,30.74,35.12,37.16,37.43,14.03,13.61,23.45,4.72,0.72,13.56,21.78
humidity,0.6,0.55,0.49,0.62,0.6,0.59,0.57,0.59,0.41,0.46,0.34,0.7,0.37,0.47,0.65,0.72,0.69,0.55,0.6,0.53,0.58,0.67,0.74,0.82,0.48,0.38,0.42,0.52,0.69,0.78,0.57,0.28,0.33,0.55,0.36,0.47,0.41,0.54,0.77,0.49,0.35,0.39,0.2,0.29,0.52,0.68,0.76,0.82,0.41,0.26,0.4,0.26,0.15,0.26,0.42
icon,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,cloudy,cloudy,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,snow,clear-day,clear-day,partly-cloudy-day,cloudy,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,snow,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day
moonPhase,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.62,0.66,0.7,0.74,0.77,0.8,0.84,0.87,0.9,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
ozone,351.8,352.5,357.4,369.9,374.5,396.3,388.8,363.9,361,332.7,333.2,361.3,366,395.7,389.1,356.1,345.9,367.4,396.3,339.6,341,354.2,351.6,351.1,368.2,412.3,391.9,370.6,409.6,415.6,402.2,358.2,342.4,313.7,321.8,357.3,347.2,371.3,345.4,358.8,356.9,355.7,402.2,336,353.8,370,350.5,369.6,422.6,407.9,394.7,420.4,405.6,357.9,358.5
precipAccumulation,,0.01,,,0.02,0.01,,0.02,0.01,0.01,0.03,0.91,,0.04,0.27,0.46,0,,0.01,0.01,,,,4.48,0.05,0.02,0.01,0.02,0.02,0.01,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,
precipIntensity,0,0.0001,0,0,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0002,0.0052,0,0.0001,0.001,0.0015,0.0001,0,0.0001,0.0002,0.0001,0.0001,0.0001,0.0235,0.0002,0.0001,0.0001,0.0002,0.0001,0.0007,0.0007,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0004,0.0001,0.0016,0.0011,0,0,0.0009,0.0005,0.0015,0.0208,0,0.0002,0.0001,0.0001,0.0001,0.0001,0
precipIntensityMax,0.0001,0.0002,0.0002,0.0002,0.0003,0.0004,0.0003,0.0003,0.0003,0.0002,0.0019,0.019,0.0002,0.0003,0.0042,0.0039,0.0003,0.0003,0.0003,0.0004,0.0002,0.0004,0.0004,0.0663,0.0009,0.0003,0.0003,0.0004,0.0004,0.0073,0.007,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.001,0.0003,0.0264,0.0193,0.0002,0.0003,0.013,0.0108,0.0233,0.0608,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0
precipIntensityMaxTime,1579651560,1579744800,1579845600,1579905000,1580032800,1580119500,1580147760,1580287200,1580365500,1580418000,1580569200,1580590320,1580666580,1580762100,1580879820,1580950860,1581056400,1581152400,1581237300,1581328800,1581368400,1581518820,1581580500,1581643560,1581696000,1581789600,1581935400,1582005960,1582053900,1582210800,1582214400,1582342080,1582412880,1582530120,1582567200,1582664160,1582772400,1582846800,1582937580,1583011380,1583161200,1583164800,1583312400,1583377200,1583506800,1583510400,1583679600,1583692440,1583787600,1583924700,1583992020,1584043800,1584122400,1584218820,1584342000
precipProbability,0.02,0.04,0.02,0.02,0.03,0.08,0.02,0.13,0.01,0.01,0.04,0.61,0.01,0.01,0.1,0.08,0.05,0.02,0.02,0.02,0.03,0.03,0.05,0.88,0.09,0.05,0.02,0.03,0.02,0.12,0.32,0.03,0.03,0.02,0.07,0.03,0.05,0.04,0.12,0.04,0.29,0.26,0.01,0.01,0.28,0.28,0.65,0.99,0.01,0.03,0.02,0.02,0.01,0.02,0
precipType,,snow,,,snow,snow,,snow,snow,snow,snow,snow,,snow,snow,snow,snow,,snow,snow,rain,rain,rain,snow,snow,snow,snow,snow,snow,snow,rain,rain,snow,rain,rain,snow,rain,rain,rain,rain,rain,rain,,,rain,rain,rain,rain,,rain,rain,rain,rain,rain,
pressure,1023.7,1028.4,1037.9,1034.3,1033.1,1026,1024.5,1025.9,1025.7,1023.1,1029.1,1028.6,1028.6,1029.7,1037,1035.2,1030.7,1032,1024.4,1019.1,1018.4,1014.7,1012,1023.8,1030.2,1028.2,1029.1,1026.4,1025.8,1030.4,1026.8,1030,1021.6,1018.6,1023.4,1032.5,1031.2,1020,1019.4,1024.2,1025.2,1023.8,1031.1,1024.1,1014.6,1016.5,1016,1018.4,1018.8,1014.1,1017.3,1027.6,1016.9,1018.8,1019.6
