,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927
Long,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924,88.0924
Province/State,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet,Tibet
apparentTemperatureHigh,0.48,1.25,-11.35,2.67,7.61,6.09,9.14,11.32,5.63,4.78,5.44,-6.09,1.09,4.1,-2,6.03,2.74,0.88,-5.59,7.12,10.57,18.16,25.39,21.95,18.58,23.05,18.35,16.31,16.39,17.28,22.03,15.72,17.94,14.47,18,15.37,8.75,19.74,16.15,20.07,14.53,15.7,16.88,19.67,18.2,20.13,16.08,17.95,21.24,18.96,25.91,29.98,26.54,17.24,14.04
apparentTemperatureHighTime,1579680300,1579745220,1579852620,1579941240,1580025180,1580111760,1580197740,1580284380,1580369460,1580457540,1580543460,1580630100,1580716320,1580803260,1580888880,1580976300,1581061500,1581131040,1581235320,1581321360,1581407940,1581494400,1581580620,1581666720,1581753600,1581839880,1581925860,1582012740,1582098600,1582185480,1582271700,1582357620,1582444740,1582530960,1582617660,1582703460,1582790400,1582883580,1582962360,1583049660,1583135700,1583222220,1583308500,1583394840,1583481060,1583567160,1583653860,1583740500,1583826660,1583913360,1583999220,1584086160,1584171840,1584255780,1584346620
apparentTemperatureLow,-10.2,-23.53,-22.97,-13.58,-17.43,-9.89,-13.37,-12.45,-15.81,-16.75,-16.28,-17.42,-25.25,-16.74,-21.69,-15.91,-6.59,-19.89,-21.98,-16.9,-10.92,-2.72,-0.25,-2.95,-6.4,1.38,-9.47,-8.19,3.28,-3.37,4.31,-5.18,-0.72,-7.47,-1.86,-8.66,-7.38,-6.26,-7.57,0.1,-6.27,0.62,-8.58,-4.33,-2.07,-6.94,-8.17,-5.03,-3.71,1.31,0.63,2.69,-0.35,-6.98,-11.16
apparentTemperatureLowTime,1579735980,1579823400,1579909320,1579995420,1580082360,1580169180,1580254980,1580341140,1580425140,1580513820,1580601600,1580665440,1580773440,1580859540,1580947200,1581029100,1581120000,1581206400,1581291180,1581378060,1581464460,1581550740,1581636540,1581724140,1581809400,1581895380,1581982560,1582068660,1582147920,1582242240,1582326240,1582413600,1582486980,1582586700,1582673280,1582761060,1582829280,1582933500,1583019180,1583107080,1583192340,1583269260,1583364480,1583448360,1583537940,1583624640,1583711100,1583797560,1583882880,1583967000,1584045720,1584143760,1584229260,1584315660,1584402000
apparentTemperatureMax,0.48,1.25,-11.04,2.67,7.61,6.09,10.05,11.32,5.63,7.02,5.44,-4.42,1.09,4.1,-2,6.03,2.74,0.88,-5.59,7.58,10.57,18.16,25.39,21.95,18.58,23.05,18.35,16.31,16.39,17.28,22.03,15.72,17.94,14.47,18,15.37,8.75,19.74,16.15,20.07,15.31,17.97,16.88,19.67,18.2,20.13,16.08,17.95,21.24,18.96,25.91,29.98,26.54,17.24,14.04
apparentTemperatureMaxTime,1579680300,1579745220,1579795200,1579941240,1580025180,1580111760,1580213460,1580284380,1580369460,1580477640,1580543460,1580572800,1580716320,1580803260,1580888880,1580976300,1581061500,1581131040,1581235320,1581337140,1581407940,1581494400,1581580620,1581666720,1581753600,1581839880,1581925860,1582012740,1582098600,1582185480,1582271700,1582357620,1582444740,1582530960,1582617660,1582703460,1582790400,1582883580,1582962360,1583049660,1583161200,1583240160,1583308500,1583394840,1583481060,1583567160,1583653860,1583740500,1583826660,1583913360,1583999220,1584086160,1584171840,1584255780,1584346620
apparentTemperatureMin,-10.35,-10.2,-23.53,-22.97,-13.58,-17.43,-9.89,-13.37,-12.45,-15.81,-16.75,-16.78,-17.42,-25.25,-16.74,-21.95,-15.91,-12.03,-19.93,-21.98,-16.9,-10.92,-2.72,-0.25,-2.95,-6.4,1.38,-9.47,-8.19,3.28,-3.37,4.31,-5.18,-0.72,-7.47,-1.86,-8.66,-7.38,-6.26,-7.57,0.1,-6.27,0.62,-8.58,-4.33,-2.07,-6.94,-8.17,-5.03,-3.71,1.31,0.63,2.69,-0.35,-6.98
apparentTemperatureMinTime,1579647000,1579735980,1579823400,1579909320,1579995420,1580082360,1580169180,1580254980,1580341140,1580425140,1580513820,1580607180,1580665440,1580773440,1580859540,1580947740,1581029100,1581123960,1581206880,1581291180,1581378060,1581464460,1581550740,1581636540,1581724140,1581809400,1581895380,1581982560,1582068660,1582147920,1582242240,1582326240,1582413600,1582486980,1582586700,1582673280,1582761060,1582829280,1582933500,1583019180,1583107080,1583192340,1583269260,1583364480,1583448360,1583537940,1583624640,1583711100,1583797560,1583882880,1583967000,1584045720,1584143760,1584229260,1584315660
cloudCover,0.49,0.53,0.11,0.18,0.52,0.07,0.44,0.08,0.38,0.3,0.32,0.69,0,0.03,0.82,0.46,0.52,0.84,0.52,0,0.19,0.31,0.05,0.03,0,0.25,0.46,0.11,0.65,0.88,0.71,0.89,0.23,0.75,0.72,0.89,0.52,0.18,0.47,0.68,0.78,0.63,0.68,0.32,0.89,0.84,0.41,0.4,0.3,0.42,0.19,0.31,0.67,0.88,0.84
dewPoint,-14.44,-19.55,-28.93,-28.32,-18.78,-22.13,-16.13,-18.57,-17.72,-21.06,-22.77,-20.24,-32.14,-32.3,-23.62,-26.4,-22.88,-20.72,-24.97,-30.03,-25.27,-15.18,-10.13,-11.77,-13.23,-16.1,-10.15,-20.28,-17.38,-4.07,-4.69,-2.7,-11.03,-12.27,-13.72,-7.15,-17.44,-22.67,-12.85,-8.7,-4.41,-9.78,-7.18,-13.62,-9.95,-7.97,-14.22,-16.72,-16.76,-10.97,-8.71,-12.02,-4.85,-4.64,-8.22
humidity,0.31,0.29,0.27,0.23,0.31,0.27,0.32,0.29,0.3,0.29,0.26,0.34,0.22,0.2,0.28,0.25,0.25,0.31,0.29,0.21,0.22,0.24,0.25,0.23,0.24,0.19,0.27,0.21,0.2,0.39,0.39,0.41,0.33,0.33,0.3,0.37,0.28,0.22,0.3,0.33,0.37,0.35,0.36,0.27,0.29,0.31,0.25,0.22,0.21,0.26,0.26,0.23,0.29,0.35,0.34
icon,wind,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,wind,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,wind,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,wind,partly-cloudy-day,partly-cloudy-day,clear-day,wind,wind,wind,wind,clear-day,wind,partly-cloudy-day,clear-day,wind,cloudy,partly-cloudy-day,snow,clear-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,wind,wind,wind,wind,wind,wind,clear-day,wind,cloudy,partly-cloudy-day
moonPhase,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.62,0.66,0.7,0.74,0.77,0.8,0.84,0.87,0.9,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.75
ozone,314.6,324.8,348.2,315.6,301.9,287.1,274.7,271.6,284.1,279.8,283.3,296.2,294.2,300.5,311.2,307.4,324.2,347.2,314.4,290.7,288.9,286.4,283.4,297.9,308.1,299.1,298,312.1,327.7,339.7,343.7,326.6,293.9,296.4,307.3,320.5,321.7,292.7,287.6,296.4,300.5,287.6,280.8,270.7,279.5,288.9,300.6,294.9,287.6,285.1,281.8,288.8,297.5,321.7,320.4
precipAccumulation,0.05,0.13,,0.06,0.09,0.11,0.23,0.13,0.06,0.2,1.02,0.3,,0.1,0.08,0.09,0.14,0.33,0.1,0.11,0.03,0.07,0.04,0.01,0.05,0.03,0.06,0.07,0.21,0.66,0.49,1.06,0.09,0.12,0.07,0.94,0.03,0.05,0.02,0.14,0.68,0.23,0.12,0.03,0.07,0.13,0.05,0.04,0.08,0.04,0.03,0.17,0.1,0.92,0.23
precipIntensity,0.0001,0.0002,0,0.0001,0.0001,0.0002,0.0003,0.0002,0.0001,0.0003,0.0019,0.0005,0,0.0001,0.0001,0.0001,0.0002,0.0005,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0003,0.0002,0.0006,0.0017,0.0011,0.0026,0.0002,0.0003,0.0002,0.0019,0.0001,0.0001,0.0001,0.0004,0.0016,0.0006,0.0003,0.0001,0.0002,0.0006,0.0001,0.0002,0.0001,0.0002,0.0001,0.0012,0.0007,0.0033,0.0007
