,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Lat,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129,41.1129
Long,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401,85.2401
Province/State,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang,Xinjiang
apparentTemperatureHigh,34.98,33.67,31.5,28.73,29.12,32.76,32.46,36.57,36.14,36.85,34.61,32.46,35.58,35.96,36.33,37.19,42.58,40.29,40.55,43.06,44.81,47.14,40.25,36.57,41.04,36.01,37.53,40.89,43.02,42.65,45.46,52.08,53.59,55.18,55.75,58.29,59.97,60.44,54.5,53.94,56.41,59.05,60.4,60.62,59.84,56.41,40.82,45.45,51.63,55.77,52.97,54.14,56.59,58.51,62.92
apparentTemperatureHighTime,1579684020,1579766640,1579849620,1579940160,1580026320,1580113740,1580199600,1580286300,1580372160,1580458500,1580544540,1580631060,1580717400,1580804100,1580890260,1580976840,1581063780,1581149700,1581235980,1581321960,1581408720,1581495540,1581581880,1581667380,1581754380,1581840540,1581926820,1582013520,1582099980,1582186200,1582272660,1582359780,1582446480,1582531560,1582618020,1582704600,1582791300,1582879980,1582963500,1583050020,1583136600,1583222880,1583309280,1583395440,1583482440,1583568000,1583661240,1583747700,1583828040,1583914140,1584000600,1584093120,1584173220,1584266040,1584350880
apparentTemperatureLow,17.01,16.35,10.87,7.13,10.8,8.83,13.59,10.86,11.19,14.49,13.21,7.15,10.9,12.44,10.98,17.24,13.14,14.44,10.28,16.05,17.1,16.13,18.31,19.82,15.81,18.74,18.75,19.99,14.08,15.13,15.38,17.59,21.46,27.14,29.52,28.13,37.78,32.94,28.96,29.24,25.52,25.4,30.41,30.52,33.66,34.02,14.51,17.18,19.25,20.78,21.88,22.35,27.21,34.58,26.85
apparentTemperatureLowTime,1579729740,1579827840,1579910460,1580002500,1580090400,1580176800,1580252340,1580349360,1580429700,1580511480,1580601780,1580691660,1580770680,1580865420,1580944200,1581015000,1581116880,1581210780,1581289080,1581383220,1581457980,1581544860,1581643560,1581722040,1581806700,1581893100,1581980520,1582062120,1582153260,1582239480,1582326060,1582412460,1582501920,1582581540,1582668120,1582754580,1582852320,1582938180,1583017860,1583108940,1583190060,1583276400,1583360760,1583446140,1583539020,1583621520,1583708520,1583795520,1583881320,1583968080,1584054540,1584140520,1584223140,1584309960,1584400080
apparentTemperatureMax,34.98,33.67,31.5,28.73,29.12,32.76,32.46,36.57,36.14,36.85,34.61,32.46,35.58,35.96,36.33,37.19,42.58,40.29,40.55,43.06,44.81,47.14,40.25,36.57,41.04,36.01,37.53,40.89,43.02,42.65,45.46,52.08,53.59,55.18,55.75,58.29,59.97,60.44,54.5,53.94,56.41,59.05,60.4,60.62,59.84,56.41,40.82,45.45,51.63,55.77,52.97,54.14,56.59,58.51,62.92
apparentTemperatureMaxTime,1579684020,1579766640,1579849620,1579940160,1580026320,1580113740,1580199600,1580286300,1580372160,1580458500,1580544540,1580631060,1580717400,1580804100,1580890260,1580976840,1581063780,1581149700,1581235980,1581321960,1581408720,1581495540,1581581880,1581667380,1581754380,1581840540,1581926820,1582013520,1582099980,1582186200,1582272660,1582359780,1582446480,1582531560,1582618020,1582704600,1582791300,1582879980,1582963500,1583050020,1583136600,1583222880,1583309280,1583395440,1583482440,1583568000,1583661240,1583747700,1583828040,1583914140,1584000600,1584093120,1584173220,1584266040,1584350880
apparentTemperatureMin,15.24,17.01,16.35,10.87,7.13,10.63,8.8,13.59,10.86,11.19,14.49,13.21,7.15,10.9,12.44,10.98,17.24,13.14,14.44,10.28,16.05,17.1,16.13,18.31,19.05,15.81,18.74,18.75,19.99,14.08,15.13,15.38,17.59,21.46,27.14,29.52,28.13,37.78,32.94,28.96,29.24,25.52,25.4,30.41,30.52,33.66,26.93,14.51,17.18,19.25,20.78,21.88,22.35,27.21,34.58
apparentTemperatureMinTime,1579652220,1579729740,1579827840,1579910460,1580002500,1580091180,1580177040,1580252340,1580349360,1580429700,1580511480,1580601780,1580691660,1580770680,1580865420,1580944200,1581015000,1581116880,1581210780,1581289080,1581383220,1581457980,1581544860,1581643560,1581786000,1581806700,1581893100,1581980520,1582062120,1582153260,1582239480,1582326060,1582412460,1582501920,1582581540,1582668120,1582754580,1582852320,1582938180,1583017860,1583108940,1583190060,1583276400,1583360760,1583446140,1583539020,1583686800,1583708520,1583795520,1583881320,1583968080,1584054540,1584140520,1584223140,1584309960
cloudCover,0.58,0.71,0.03,0.85,0.12,0.44,0.09,0,0.05,0.49,0,0.12,0.18,0.26,0.57,0.25,0.64,0,0.01,0.37,0.21,0.37,0.52,0.99,0.5,0.94,0.34,0.82,0.91,0.52,0,0.09,0.06,0.84,0.7,0.4,0.6,0.96,0.84,0.36,0,0.04,0.47,0.15,0.86,0.99,0.81,0,0.31,0.19,0.13,0.73,0.65,0.97,0.56
dewPoint,10.07,15.29,13.71,13.62,11.91,10.57,9.28,8.26,10.55,10.08,10.36,9.08,8.65,10.56,12.34,11.84,11.39,10.76,10.1,9.71,7.78,8.33,11.44,-3.4,-3.62,0.86,10.83,9.65,14.7,10.29,5.74,4.18,5.13,12.12,16.35,17.26,12.6,13.78,16.84,16.33,14.63,10.71,9.42,15.49,13.21,19,9.72,-3.31,1.22,-1.95,-1.25,-5.64,-6.83,0.44,7.3
humidity,0.58,0.65,0.67,0.68,0.66,0.61,0.57,0.54,0.59,0.56,0.57,0.56,0.52,0.55,0.57,0.56,0.52,0.49,0.48,0.45,0.42,0.41,0.41,0.21,0.23,0.29,0.42,0.45,0.49,0.43,0.35,0.31,0.3,0.36,0.4,0.39,0.34,0.26,0.35,0.38,0.35,0.3,0.27,0.33,0.31,0.35,0.27,0.24,0.25,0.2,0.2,0.17,0.15,0.18,0.26
