,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
Lat,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709,4.5709
Long,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973,-74.2973
apparentTemperatureLow,50.64,51.82,53.79,54.93,52.63,51.94,51.19,52.31,50.69,51.36,52.29,51.44,46.2,46.05,43.99,47.56,52.85,52.76,51.34,46.54,51.17,51.86,52.63,53.01,52.81,52.11,52.06,53.54,53.3,54.24,54.65,54.57,54.06,55.52,55.14,53.62,54.03,52.46,52.47,53.04,53.46,54.02,50.86,52.61,52.51,53.41,53.01,54.14,53.24,55.71,54.37,55.06,54.52,54.79,53.22
precipIntensity,0.0738,0.0566,0.0186,0.0289,0.0347,0.1195,0.123,0.168,0.0808,0.0138,0.0414,0.0678,0.0132,0.0036,0.0019,0.0003,0.0082,0.0558,0.0542,0.0012,0.0002,0.0022,0.0137,0.0267,0.0232,0.0105,0.0046,0.0066,0.0338,0.0276,0.0603,0.0691,0.0677,0.0566,0.0823,0.0808,0.0594,0.0251,0.0198,0.0273,0.0355,0.0314,0.0156,0.011,0.0309,0.0543,0.0486,0.0378,0.0512,0.0396,0.0525,0.0745,0.0638,0.0697,0.0595
temperatureHighTime,1579722180,1579797480,1579884180,1579968780,1580054160,1580142300,1580230500,1580313600,1580409660,1580496780,1580585880,1580662380,1580758680,1580842440,1580929140,1581016380,1581104160,1581179220,1581266940,1581362580,1581447780,1581533460,1581619980,1581704160,1581793080,1581879360,1581968460,1582052100,1582141020,1582214640,1582302120,1582388280,1582473960,1582559700,1582648980,1582737780,1582821720,1582915800,1582994700,1583081100,1583164800,1583250900,1583341200,1583434440,1583510820,1583599980,1583682600,1583772840,1583859300,1583942340,1584028500,1584116760,1584203100,1584291300,1584377940
temperatureMax,65.54,66.16,65.96,66.35,63.96,65.43,65.69,66.33,68.59,70.17,70.74,69.8,72.38,72.67,73.78,73.24,72.68,65.91,68.49,72.28,73.78,74.13,72.22,68.35,71.21,72.11,73.02,74.91,72.21,68.65,67.01,65.27,63.42,64.96,65.96,61.93,66.72,67.64,67.62,68.38,67.92,67.39,70.15,73.44,69.93,69.9,65.73,69.58,65.83,67.96,65.94,66.1,63.09,63.81,67.26
windSpeed,4.14,3.99,3.92,3.43,3.39,3.41,3.69,3.84,3.08,4.93,4.12,3.8,4.66,4.96,4.66,5.37,4.49,3.74,3.36,6,6.25,5.29,4.72,3.93,4.34,5.33,6.72,7.2,4.46,3.87,4.3,3.83,3.21,3.42,3.36,3.98,3.79,3.02,3.85,3.5,3.99,3.38,4.15,4.8,4.09,4.33,3.71,3.76,3.64,3.57,2.52,3.34,3.57,3.53,3.17
apparentTemperatureMin,53.62,50.64,51.82,53.79,54.93,52.63,51.94,51.19,52.31,50.69,51.36,52.29,51.44,46.2,46.05,43.99,47.56,52.85,52.76,51.34,46.54,51.17,51.86,52.63,53.01,52.81,52.11,52.06,53.54,53.3,54.24,54.65,54.57,54.06,55.52,55.14,53.62,54.03,52.46,52.47,53.04,53.46,53.73,50.86,52.61,52.51,53.41,53.01,54.14,53.24,55.71,54.37,55.06,54.52,54.79
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
apparentTemperatureMax,65.24,65.76,65.61,66.13,63.9,65.07,65.33,65.83,68.12,69.67,70.24,69.29,71.88,72.17,73.28,72.74,72.18,65.4,67.97,71.78,73.28,73.63,71.72,67.85,70.71,71.61,72.52,74.41,71.71,68.15,66.52,65.1,63.54,64.9,66.01,62.46,66.51,67.59,67.1,67.92,67.42,66.93,69.65,72.94,69.43,69.39,65.39,69.19,65.61,67.61,65.7,66.06,63.36,64.05,67.17
apparentTemperatureHigh,65.24,65.76,65.61,66.13,63.9,65.07,65.33,65.83,68.12,69.67,70.24,69.29,71.88,72.17,73.28,72.74,72.18,65.4,67.97,71.78,73.28,73.63,71.72,67.85,70.71,71.61,72.52,74.41,71.71,68.15,66.52,65.1,63.54,64.9,66.01,62.46,66.51,67.59,67.1,67.92,67.42,66.93,69.65,72.94,69.43,69.39,65.39,69.19,65.61,67.61,65.7,66.06,63.36,64.05,67.17
temperatureMinTime,1579693740,1579771740,1579863660,1579950840,1580036460,1580123640,1580209560,1580297100,1580382300,1580468460,1580549460,1580640600,1580725320,1580812980,1580898300,1580981520,1581071760,1581154560,1581246900,1581335100,1581418620,1581504780,1581591660,1581678000,1581764700,1581851340,1581934920,1582018320,1582109940,1582196340,1582284360,1582368000,1582454880,1582542060,1582627740,1582716060,1582801980,1582887120,1582976700,1583060460,1583145180,1583231520,1583380800,1583405820,1583492220,1583577720,1583665320,1583751840,1583838060,1583923860,1584011280,1584097200,1584183660,1584270000,1584358860
summary,Rain throughout the day.,Rain starting in the afternoon.,Possible light rain starting in the afternoon.,Possible light rain throughout the day.,Possible light rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Rain until evening.,Partly cloudy throughout the day.,Rain starting in the afternoon.,Rain throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Rain starting in the afternoon.,Rain until evening.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Rain in the evening and overnight.,Possible light rain in the afternoon and evening.,Rain starting in the afternoon.,Rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Possible light rain starting in the afternoon.,Possible light rain in the afternoon and evening.,Possible light rain starting in the afternoon.,Possible light rain throughout the day.,Possible light rain throughout the day.,Possible light rain in the morning and afternoon.,Partly cloudy throughout the day.,Rain starting in the afternoon.,Rain starting in the afternoon.,Rain throughout the day.,Possible light rain throughout the day.,Rain throughout the day.,Possible light rain throughout the day.,Light rain throughout the day.,Rain throughout the day.,Light rain throughout the day.,Rain throughout the day.,Rain throughout the day.
sunriseTime,1579691580,1579777980,1579864380,1579950780,1580037240,1580123640,1580210040,1580296440,1580382840,1580469240,1580555640,1580642040,1580728440,1580814840,1580901240,1580987640,1581074040,1581160440,1581246840,1581333240,1581419640,1581506040,1581592440,1581678840,1581765180,1581851580,1581937980,1582024380,1582110780,1582197180,1582283520,1582369920,1582456320,1582542720,1582629060,1582715460,1582801860,1582888200,1582974600,1583061000,1583147340,1583233740,1583320140,1583406480,1583492880,1583579280,1583665620,1583752020,1583838360,1583924760,1584011160,1584097500,1584183900,1584270240,1584356640
