,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa),Congo (Kinshasa)
Lat,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383,-4.0383
Long,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587,21.7587
time,1579644000,1579730400,1579816800,1579903200,1579989600,1580076000,1580162400,1580248800,1580335200,1580421600,1580508000,1580594400,1580680800,1580767200,1580853600,1580940000,1581026400,1581112800,1581199200,1581285600,1581372000,1581458400,1581544800,1581631200,1581717600,1581804000,1581890400,1581976800,1582063200,1582149600,1582236000,1582322400,1582408800,1582495200,1582581600,1582668000,1582754400,1582840800,1582927200,1583013600,1583100000,1583186400,1583272800,1583359200,1583445600,1583532000,1583618400,1583704800,1583791200,1583877600,1583964000,1584050400,1584136800,1584223200,1584309600
summary,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the evening and overnight.,Possible light rain in the afternoon.,Humid and mostly cloudy throughout the day.,Possible light rain until evening.,Possible light rain in the afternoon.,Possible light rain in the morning and overnight.,Rain and humid throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Heavy rain and humid throughout the day.,Rain in the morning and overnight.,Rain until evening.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain and humid throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Possible light rain overnight.,Possible light rain until evening.,Humid and mostly cloudy throughout the day.,Possible light rain overnight.,"Possible light rain until morning, starting again in the evening.",Rain overnight.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Rain in the afternoon.,Possible light rain in the evening and overnight.,Light rain in the evening and overnight.,Light rain in the morning.,Humid and mostly cloudy throughout the day.,Possible light rain in the evening and overnight.,Light rain until evening.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Possible light rain in the afternoon.,Light rain until evening.
icon,rain,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,cloudy,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,cloudy,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain
sunriseTime,1579667760,1579754220,1579840620,1579927020,1580013480,1580099880,1580186280,1580272680,1580359140,1580445540,1580531940,1580618340,1580704800,1580791200,1580877600,1580964000,1581050400,1581136860,1581223260,1581309660,1581396060,1581482460,1581568860,1581655260,1581741660,1581828060,1581914520,1582000920,1582087320,1582173720,1582260120,1582346520,1582432920,1582519320,1582605720,1582692060,1582778460,1582864860,1582951260,1583037660,1583124060,1583210460,1583296860,1583383260,1583469660,1583556060,1583642400,1583728800,1583815200,1583901600,1583988000,1584074400,1584160740,1584247140,1584333540
sunsetTime,1579712100,1579798500,1579884900,1579971300,1580057760,1580144160,1580230560,1580316960,1580403360,1580489760,1580576160,1580662560,1580748960,1580835360,1580921760,1581008160,1581094560,1581180960,1581267360,1581353760,1581440160,1581526560,1581612960,1581699360,1581785760,1581872100,1581958500,1582044900,1582131300,1582217700,1582304100,1582390440,1582476840,1582563240,1582649640,1582735980,1582822380,1582908780,1582995120,1583081520,1583167920,1583254260,1583340660,1583427060,1583513400,1583599800,1583686200,1583772540,1583858940,1583945340,1584031680,1584118080,1584204420,1584290820,1584377220
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
