,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
Lat,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489,9.7489
Long,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534,-83.7534
apparentTemperatureLow,58.77,58.38,58.77,56.64,60.57,58.61,61.71,61.75,52.84,55.82,60.8,56.89,55.23,58.42,52.12,53.57,54.76,56.48,50.94,54.2,58.57,57.98,59.72,54.5,58.27,56.27,56.91,58.17,59.51,57.1,50.98,48.7,49.75,61.45,58.51,58.12,56.29,55.79,53.73,51.14,53.26,55.66,53.92,52.44,53.62,51.88,53.02,53.61,52.33,54.18,58.05,57.54,54.51,56.01,51.19
precipIntensity,0.0264,0.0541,0.0426,0.0481,0.0424,0.0897,0.0946,0.1138,0.0423,0.015,0.0168,0.027,0.0202,0.0151,0.0279,0.038,0.0216,0.0158,0.0087,0.0117,0.0246,0.0255,0.0179,0.0187,0.0177,0.0299,0.0217,0.0144,0.0157,0.0191,0.0157,0.004,0.0014,0.0089,0.0332,0.0308,0.0059,0.0061,0.0102,0.0035,0.0045,0.018,0.014,0.0052,0.0124,0.0098,0.0105,0.0055,0.0048,0.0057,0.0095,0.0165,0.008,0.0071,0.0074
temperatureHighTime,1579712040,1579798860,1579885260,1579979580,1580058180,1580144580,1580230080,1580313360,1580403600,1580490000,1580576400,1580672760,1580750160,1580835660,1580922180,1581008280,1581091200,1581181920,1581268080,1581354060,1581441000,1581526680,1581613380,1581699660,1581786060,1581872520,1581959220,1582045440,1582131660,1582218420,1582309500,1582397580,1582484100,1582563540,1582649700,1582736280,1582830720,1582915020,1582995600,1583088960,1583168100,1583254500,1583341260,1583427540,1583513820,1583608080,1583687040,1583773260,1583859480,1583946240,1584032400,1584118680,1584205080,1584291900,1584378180
temperatureMax,69.04,70.79,71.42,71.46,71.47,72.2,74.19,70.81,74.71,73.85,74.86,69.67,69.48,74.66,72.65,75.99,76.72,70.43,69.59,73.88,70.71,71.94,72.67,69.77,70.79,67.6,66.57,68.78,71.93,71.08,69.25,73.18,75.28,77.2,76.41,78.65,78.77,70.96,71.05,77.07,77.12,74.59,77.68,78.09,72.97,72.22,70.48,73.38,75.28,76.49,76.18,75.71,73.83,73.1,72.64
windSpeed,4.36,3.19,3.73,4.97,3.27,2.7,2.43,3.04,4.26,4.07,4.29,6.62,6.2,5.08,4.34,3.45,3.94,5.31,6.49,6.68,5.43,5.21,5.22,6.59,7.72,6.77,6.88,7.19,7.71,6.52,5.82,5.45,4.87,3.39,2.55,3.05,4.98,7.04,7.7,6.22,4.88,4.24,4.15,4.61,5.59,6.62,7.11,7.14,6.07,5.43,5.11,4.81,5.24,5.93,5.52
apparentTemperatureMin,56.79,58.77,58.38,58.77,56.64,60.57,58.61,61.71,60.55,52.84,55.82,60.48,56.89,55.23,58.42,52.12,53.57,54.76,52.64,50.94,54.2,58.57,57.98,57.01,54.5,58.27,56.27,56.91,58.17,59.51,57.1,50.98,48.7,49.75,61.45,58.51,57.16,56.29,55.79,53.73,51.14,53.26,55.66,53.92,52.44,53.62,51.88,53.02,53.61,52.33,54.18,58.05,57.54,54.51,55.09
