,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire
Lat,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54
Long,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471,-5.5471
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,108.38,97.64,96.44,97.14,94.75,99.54,99.72,98.1,98.95,98.14,98.9,97.83,98.2,96.13,97.86,96.26,97.12,99.34,97.15,100.03,98.12,97.79,97.84,97.98,98.2,99.86,102.55,104.37,109.29,109.33,107.39,108.26,113.17,108.45,99.48,100.65,107.87,108.95,105.55,107.28,111.29,108.81,110.95,111.72,108.62,107.63,108.18,104.94,104.37,106.6,104.54,108.18,107.88,109.17,110.43
apparentTemperatureHighTime,1579698660,1579780860,1579874940,1579961520,1580045460,1580131560,1580214960,1580306280,1580392800,1580475960,1580559120,1580652480,1580739120,1580825280,1580910960,1580997660,1581084480,1581170820,1581256320,1581340800,1581432240,1581515760,1581602640,1581689340,1581775380,1581862260,1581947100,1582030260,1582113720,1582205580,1582290780,1582373760,1582459380,1582543860,1582639320,1582727280,1582808760,1582890480,1582976460,1583067540,1583150760,1583237880,1583320140,1583409120,1583500080,1583588400,1583674020,1583762400,1583845500,1583931540,1584012840,1584107400,1584190260,1584278880,1584363420
apparentTemperatureLow,74.46,70.83,67.14,65.68,68.13,71.6,69.13,65.28,63.52,67.55,64.28,64.67,61.95,61.06,63.63,63.95,64.39,64.56,75.27,75.16,73.04,66.39,64.69,63.25,63.08,63.77,74.4,77.14,76.08,77.08,75.73,76.11,76.92,73.6,68.44,69.55,74.43,73.93,72.07,78.05,77.94,76.04,78.33,74.74,75.93,76.59,75.63,74.81,76.13,77.6,78.84,77.81,78.08,78.53,80.79
apparentTemperatureLowTime,1579755660,1579841760,1579928400,1580016900,1580101320,1580188500,1580274360,1580360640,1580446800,1580533500,1580619600,1580706240,1580792400,1580878800,1580964600,1581051840,1581137820,1581224400,1581310680,1581396540,1581484020,1581570420,1581656340,1581742980,1581829200,1581914820,1582002300,1582088760,1582175100,1582261380,1582345320,1582433760,1582520160,1582606920,1582690440,1582779180,1582865640,1582952580,1583038560,1583126700,1583211480,1583297880,1583386320,1583468460,1583557260,1583643540,1583729520,1583816100,1583902740,1583990520,1584075600,1584161940,1584248160,1584340620,1584421620
apparentTemperatureMax,108.38,97.64,96.44,97.14,94.75,99.54,99.72,98.1,98.95,98.14,98.9,97.83,98.2,96.13,97.86,96.26,97.12,99.34,97.15,100.03,98.12,97.79,97.84,97.98,98.2,99.86,102.55,104.37,109.29,109.33,107.39,108.26,113.17,108.45,99.48,100.65,107.87,108.95,105.55,107.28,111.29,108.81,110.95,111.72,108.62,107.63,108.18,104.94,104.37,106.6,104.54,108.18,107.88,109.17,110.43
apparentTemperatureMaxTime,1579698660,1579780860,1579874940,1579961520,1580045460,1580131560,1580214960,1580306280,1580392800,1580475960,1580559120,1580652480,1580739120,1580825280,1580910960,1580997660,1581084480,1581170820,1581256320,1581340800,1581432240,1581515760,1581602640,1581689340,1581775380,1581862260,1581947100,1582030260,1582113720,1582205580,1582290780,1582373760,1582459380,1582543860,1582639320,1582727280,1582808760,1582890480,1582976460,1583067540,1583150760,1583237880,1583320140,1583409120,1583500080,1583588400,1583674020,1583762400,1583845500,1583931540,1584012840,1584107400,1584190260,1584278880,1584363420
apparentTemperatureMin,74.53,74.46,70.83,67.14,65.68,68.13,71.6,69.13,65.28,63.52,67.55,64.28,64.67,61.95,61.06,63.63,63.95,64.39,64.56,75.27,75.16,73.04,66.39,64.69,63.25,63.08,63.77,74.4,77.14,76.08,77.08,75.73,76.11,76.92,73.6,68.44,69.55,74.43,73.93,72.07,78.05,77.94,76.04,78.33,74.74,75.93,76.59,75.63,74.81,76.13,77.6,78.84,77.81,78.08,78.53
apparentTemperatureMinTime,1579671780,1579755660,1579841760,1579928400,1580016900,1580101320,1580188500,1580274360,1580360640,1580446800,1580533500,1580619600,1580706240,1580792400,1580878800,1580964600,1581051840,1581137820,1581224400,1581310680,1581396540,1581484020,1581570420,1581656340,1581742980,1581829200,1581914820,1582002300,1582088760,1582175100,1582261380,1582345320,1582433760,1582520160,1582606920,1582690440,1582779180,1582865640,1582952580,1583038560,1583126700,1583211480,1583297880,1583386320,1583468460,1583557260,1583643540,1583729520,1583816100,1583902740,1583990520,1584075600,1584161940,1584248160,1584340620
cloudCover,0.91,0.63,0.71,0.05,0.44,0.3,0.53,0.36,0.68,0.16,0.13,0.18,0.14,0.38,0.1,0.47,0.09,0.71,0.53,0.55,0.84,0.98,0.17,0.22,0.03,0,0.58,0.05,0.13,0.41,0.33,0.56,0.27,0.85,0.42,0.21,0.35,0.52,0.1,0,0.22,0.71,0.73,0.59,0.06,0.55,0.71,0.46,0.98,0.88,0.34,0.25,0.17,0.93,0.85
dewPoint,75.67,66.94,45.32,35.04,49.39,64.87,66.65,51.55,40.09,57.23,63.6,48.43,27.57,26.6,30.7,41.3,33,26.05,50.02,69.57,56.44,25.52,31.09,28.16,27.46,29.27,61.29,68.19,74.07,75.28,73.38,72.27,72.49,68.56,56.66,43.11,67.11,70.64,65.46,67.49,75.74,76.11,75.59,76.78,74.03,75.46,75.61,76.4,74.41,72.89,71.88,76.01,74.52,76.74,76.55
humidity,0.83,0.61,0.28,0.21,0.35,0.59,0.6,0.39,0.26,0.48,0.59,0.41,0.16,0.16,0.19,0.27,0.2,0.15,0.34,0.66,0.49,0.12,0.16,0.16,0.15,0.17,0.56,0.61,0.71,0.75,0.68,0.67,0.66,0.58,0.44,0.25,0.62,0.66,0.57,0.59,0.73,0.76,0.75,0.79,0.74,0.78,0.77,0.86,0.78,0.7,0.66,0.76,0.72,0.79,0.76
icon,rain,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,cloudy,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,partly-cloudy-day,rain,clear-day,partly-cloudy-day,rain,rain,cloudy,cloudy,partly-cloudy-day,clear-day,clear-day,rain,partly-cloudy-day
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.28,0.31,0.34,0.37,0.41,0.45,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.82,0.85,0.88,0.91,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.51,0.55,0.58,0.62,0.66,0.7,0.73,0.77
ozone,246.7,246.7,252.1,254.3,255.1,253.3,248.2,249.2,249.6,252.8,249.6,253.1,255.8,253.3,257.9,259.5,257.3,255.4,256.6,255.6,254.1,255,259.4,261,261.1,261.1,262.2,265,264.5,261.3,256.5,261.6,260.4,258.8,259,262,257.3,258.7,258.3,262.3,264.6,263.5,264.3,265,262.7,261.5,263.8,265.7,265.1,265.6,263.7,259.6,261.8,262,262.6
precipIntensity,0.0081,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0018,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0,0.003,0.0002,0.0006,0.0002,0.0002,0.0006,0.0001,0.0001,0.0001,0.0001,0.0003,0.001,0.001,0.0003,0.0052,0,0.0007,0.0113,0.0148,0.0004,0.0002,0.0002,0,0.0008,0.0016,0
precipIntensityMax,0.0264,0.0002,0.0002,0.0003,0.0004,0.0004,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0131,0.0008,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004,0.0001,0.0251,0.0007,0.0034,0.003,0.0008,0.0043,0.0003,0.0004,0.0004,0.0004,0.0023,0.0075,0.0067,0.0015,0.0227,0.0002,0.0077,0.0871,0.0578,0.0183,0.0004,0.0004,0.0002,0.0046,0.009,0
precipIntensityMaxTime,1579715700,1579744800,1579845600,1579985340,1580032800,1580120220,1580242800,1580284800,1580365440,1580505900,1580590440,1580666580,1580762100,1580837760,1580915100,1580947200,1581056400,1581152400,1581237300,1581361440,1581391500,1581517920,1581579000,1581692760,1581724800,1581843600,1581936900,1582053900,1582088280,1582221660,1582326000,1582412400,1582416000,1582534800,1582642620,1582689600,1582837080,1582873140,1583011500,1583096400,1583183760,1583240820,1583339940,1583432280,1583452800,1583543040,1583701800,1583733660,1583798400,1583926200,1583992020,1584122400,1584209280,1584311880,1584327780
