,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
Lat,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Long,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain overnight.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Rain in the evening and overnight.,Foggy overnight.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible light rain in the afternoon and evening.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Rain in the evening and overnight.,Mostly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.
icon,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,partly-cloudy-day,rain,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day
sunriseTime,1579694520,1579780920,1579867320,1579953720,1580040060,1580126460,1580212860,1580299260,1580385600,1580472000,1580558400,1580644740,1580731140,1580817480,1580903880,1580990280,1581076620,1581163020,1581249360,1581335760,1581422100,1581508500,1581594840,1581681180,1581767580,1581853920,1581940260,1582026660,1582113000,1582199340,1582285740,1582372080,1582458420,1582544820,1582631160,1582717500,1582803840,1582890180,1582976580,1583062920,1583149260,1583235600,1583321940,1583408280,1583494620,1583581020,1583667360,1583753700,1583840040,1583926380,1584012720,1584099060,1584185400,1584271740,1584358080
sunsetTime,1579734180,1579820640,1579907100,1579993500,1580079960,1580166420,1580252820,1580339280,1580425740,1580512140,1580598600,1580685060,1580771460,1580857920,1580944380,1581030780,1581117240,1581203640,1581290100,1581376560,1581462960,1581549420,1581635820,1581722280,1581808680,1581895140,1581981540,1582068000,1582154400,1582240860,1582327260,1582413720,1582500120,1582586580,1582672980,1582759440,1582845840,1582932300,1583018700,1583105160,1583191560,1583277960,1583364420,1583450820,1583537280,1583623680,1583710080,1583796540,1583882940,1583969340,1584055800,1584142200,1584228600,1584315060,1584401460
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
