,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus
Lat,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264,35.1264
Long,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299,33.4299
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,58.04,62.81,52.44,58.29,60.84,60.63,60.9,62.35,64.03,56.81,64.33,62.85,62.81,65.68,64.95,66.25,59.78,52.78,40.89,52.31,50.23,54.04,58.03,55.83,59.03,58.97,61.94,62.49,60.79,65.18,61.53,60.52,60.79,63.17,66.31,68.22,65.65,68.48,62.94,65.69,66.11,66.1,71,72.05,65.45,70.62,71.62,73.31,66.31,67.84,70.02,60.89,68.4,71.14,67.52
apparentTemperatureHighTime,1579690500,1579777140,1579858860,1579949940,1580033400,1580119680,1580204760,1580293620,1580382420,1580464260,1580554320,1580637900,1580724180,1580810640,1580896140,1580977680,1581069120,1581159000,1581242400,1581331560,1581415080,1581508440,1581588840,1581673440,1581760740,1581858600,1581939780,1582019280,1582116840,1582193400,1582273320,1582365660,1582451940,1582549980,1582627440,1582711440,1582800720,1582889880,1582968600,1583056980,1583146860,1583233500,1583319120,1583402460,1583487780,1583575380,1583665320,1583748180,1583835360,1583923260,1584010740,1584110940,1584181140,1584266640,1584356580
apparentTemperatureLow,36.45,38.67,33.47,36.15,41.08,47.38,46.49,43.24,50.59,39.44,42.2,41.96,43.85,49.98,57.59,44.72,41.46,29.76,31.14,30.63,42.58,51.02,40.8,45.02,44.05,43.09,42.56,50.86,44.68,46.4,40.78,43.28,48.29,45.75,43.59,45.88,50.75,51.1,43,42.51,45.4,45.33,50.39,50.9,50.63,46.69,48.48,50.81,43.59,53.71,60.35,56.69,51.21,52.39,50.44
apparentTemperatureLowTime,1579747860,1579834980,1579922040,1580005560,1580077920,1580180160,1580266500,1580352660,1580449020,1580525460,1580605260,1580692980,1580774340,1580859660,1580937000,1581043860,1581116640,1581218280,1581299640,1581380040,1581443580,1581531000,1581648720,1581728160,1581815340,1581908040,1581985260,1582069440,1582165080,1582242120,1582334940,1582423860,1582498740,1582579860,1582682580,1582770480,1582858200,1582945200,1583019300,1583115180,1583201820,1583287020,1583373360,1583462880,1583547120,1583632680,1583719140,1583809140,1583893080,1583958960,1584072360,1584123660,1584237840,1584315600,1584424800
apparentTemperatureMax,58.04,62.81,52.44,58.29,60.84,60.63,60.9,62.35,64.03,56.81,64.33,62.85,62.81,65.68,64.95,66.25,59.78,52.78,40.89,52.31,50.23,54.04,58.03,55.83,59.03,58.97,61.94,62.49,60.79,65.18,61.53,60.52,60.79,63.17,66.31,68.22,65.65,68.48,62.94,65.69,66.11,66.1,71,72.05,65.45,70.62,71.62,73.31,66.31,67.84,70.02,61.38,68.4,71.14,67.52
apparentTemperatureMaxTime,1579690500,1579777140,1579858860,1579949940,1580033400,1580119680,1580204760,1580293620,1580382420,1580464260,1580554320,1580637900,1580724180,1580810640,1580896140,1580977680,1581069120,1581159000,1581242400,1581331560,1581415080,1581508440,1581588840,1581673440,1581760740,1581858600,1581939780,1582019280,1582116840,1582193400,1582273320,1582365660,1582451940,1582549980,1582627440,1582711440,1582800720,1582889880,1582968600,1583056980,1583146860,1583233500,1583319120,1583402460,1583487780,1583575380,1583665320,1583748180,1583835360,1583923260,1584010740,1584050400,1584181140,1584266640,1584356580
apparentTemperatureMin,38.16,36.45,38.63,33.47,36.15,41.08,47.38,46.49,43.24,43.77,39.44,42.2,41.96,43.85,49.98,50.23,42.06,31.53,29.76,31.14,30.63,43.36,50.99,40.8,45.02,44.05,43.09,42.56,50.86,44.68,45.29,40.78,43.28,46.29,46.22,43.59,45.88,50.75,44.31,43,42.51,45.4,45.33,50.39,50.9,50.63,46.69,48.48,50.81,43.59,54.14,56.69,53.79,51.21,52.39
apparentTemperatureMinTime,1579667280,1579747860,1579899600,1579922040,1580005560,1580077920,1580180160,1580266500,1580352660,1580504400,1580525460,1580605260,1580692980,1580774340,1580859660,1581022800,1581109200,1581195600,1581218280,1581299640,1581380040,1581465600,1581627600,1581648720,1581728160,1581815340,1581908040,1581985260,1582069440,1582165080,1582318800,1582334940,1582423860,1582578000,1582581600,1582682580,1582770480,1582858200,1583010000,1583019300,1583115180,1583201820,1583287020,1583373360,1583462880,1583547120,1583632680,1583719140,1583809140,1583893080,1583964000,1584123660,1584219600,1584237840,1584315600
