,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
Lat,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639
Long,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018
Province/State,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
apparentTemperatureHigh,37.67,39.09,38.73,39.86,36.55,37.86,36.05,38.01,40.77,39.36,39.73,35.09,36.82,31.96,34.9,38.21,39.93,35.73,50.28,35.93,33.6,34.97,35.99,38.17,38.77,51.72,33.74,34.5,37.25,36.9,35.67,36.01,32.46,37.25,32.87,29.9,37.58,36.14,42.14,35.21,41.22,42.66,38.75,42.33,32.61,38.65,38.69,45.8,39.57,39.88,35.65,37.1,36.51,39.83,51.15
apparentTemperatureHighTime,1579699080,1579780380,1579878180,1579959060,1580031540,1580123460,1580208540,1580303340,1580391960,1580493600,1580540220,1580648760,1580737800,1580812140,1580904960,1580990400,1581081600,1581177660,1581271200,1581332520,1581430440,1581508200,1581592200,1581685500,1581789600,1581849720,1581962400,1582028160,1582110720,1582206720,1582285320,1582358640,1582469460,1582542240,1582638960,1582726620,1582812480,1582894080,1582990740,1583060220,1583154060,1583248500,1583327400,1583414160,1583496060,1583582640,1583690280,1583761380,1583856120,1583932080,1584018360,1584096720,1584193680,1584280920,1584364980
apparentTemperatureLow,30.85,35.14,32.77,32.88,32.24,34.25,29.9,31.77,35.72,39.36,30.27,30.8,30.52,23.64,31.74,34.63,25.4,30.24,33.53,27.92,27.65,28.19,30.76,27.55,38.77,29.58,30.6,31.47,28.76,29.71,32.97,28.74,28.62,26.15,23.94,21.06,25.9,25.97,27.5,28.87,31.65,25.47,26.25,24.36,23.77,30.1,33.8,30.87,31.27,31.69,29.91,23.83,30.45,35.79,29.91
apparentTemperatureLowTime,1579745160,1579849200,1579914900,1580009940,1580061600,1580194800,1580274420,1580324580,1580416980,1580493600,1580601660,1580668140,1580790420,1580880660,1580925900,1581050340,1581145200,1581228240,1581310320,1581397980,1581472260,1581570060,1581620880,1581711780,1581789600,1581914340,1582009200,1582092780,1582176420,1582261140,1582308000,1582415160,1582520340,1582584780,1582661580,1582779300,1582866060,1582949820,1583027340,1583127300,1583218800,1583297580,1583382300,1583472840,1583556720,1583615400,1583729520,1583823600,1583903100,1583996400,1584036000,1584162780,1584210180,1584340740,1584416160
apparentTemperatureMax,37.67,39.09,38.73,39.86,36.55,38.1,38.11,38.01,40.77,40.28,41.23,35.09,36.82,31.96,34.9,38.21,39.93,36.21,50.3,38.47,33.6,34.97,35.99,38.17,39.88,51.72,34.93,35.01,37.25,36.9,35.67,36.13,32.46,37.25,32.87,31.5,37.58,36.14,42.14,35.21,41.22,42.66,38.75,42.33,32.61,38.65,38.69,45.8,39.57,39.88,37.95,37.1,36.51,41.34,51.15
apparentTemperatureMaxTime,1579699080,1579780380,1579878180,1579959060,1580031540,1580162400,1580166000,1580303340,1580391960,1580508000,1580516580,1580648760,1580737800,1580812140,1580904960,1580990400,1581081600,1581195240,1581271260,1581289200,1581430440,1581508200,1581592200,1581685500,1581799920,1581849720,1581972720,1581987480,1582110720,1582206720,1582285320,1582333140,1582469460,1582542240,1582638960,1582751280,1582812480,1582894080,1582990740,1583060220,1583154060,1583248500,1583327400,1583414160,1583496060,1583582640,1583690280,1583761380,1583856120,1583932080,1583975100,1584096720,1584193680,1584299880,1584364980
